njEV,t9ZCGgAIaUI,"[159, 626, 1740, 2437]",
XiEV,pkqYGFXvN_w,"[15, 18, 67, 1434]","[{'text': 'Oh', 'start': 96.76, 'duration': 2.0}, {'text': ""so on Windows I'm afraid of sharks hunt"", 'start': 223.609, 'duration': 5.08}, {'text': ""trapped in the dark dance Kenzie's here"", 'start': 226.23, 'duration': 12.56}, {'text': 'sit wrist passaport', 'start': 228.689, 'duration': 10.101}, {'text': 'when was last time right dancer is', 'start': 250.53, 'duration': 8.489}, {'text': ""I'll see a little deeper lock the nose"", 'start': 254.17, 'duration': 8.18}, {'text': 'nobody to fine', 'start': 259.019, 'duration': 7.361}, {'text': ""this is breaking tell me that's not a"", 'start': 262.35, 'duration': 7.6}, {'text': 'job you find it so quick good boy good', 'start': 266.38, 'duration': 6.41}, {'text': 'boy good boy', 'start': 269.95, 'duration': 7.59}, {'text': 'all right miss see that we got once', 'start': 272.79, 'duration': 7.34}, {'text': ""again he'll bite you"", 'start': 277.54, 'duration': 5.34}, {'text': 'try to grab his dad', 'start': 280.13, 'duration': 5.35}, {'text': 'ray days', 'start': 282.88, 'duration': 2.6}, {'text': 'here all right there', 'start': 286.98, 'duration': 3.08}, {'text': 'so yeah good boy good boy erase here hit', 'start': 297.999, 'duration': 16.14}, {'text': ""the river it's like a fun"", 'start': 307.069, 'duration': 7.07}, {'text': ""that's dog heaven"", 'start': 320.8, 'duration': 2.839}, {'text': ""that's what working a great band"", 'start': 330.639, 'duration': 3.8}, {'text': ""that's 30 minutes on the slop mill and I"", 'start': 334.629, 'duration': 7.68}, {'text': ""know you've done pretty horrible"", 'start': 339.339, 'duration': 4.26}, {'text': 'I let him play with that for a while', 'start': 342.309, 'duration': 4.68}, {'text': 'finish dog now who bites beyond well', 'start': 343.599, 'duration': 5.93}, {'text': 'when he wears', 'start': 346.989, 'duration': 2.54}, {'text': 'check them out dr. Isaac he knows ace', 'start': 353.36, 'duration': 8.61}, {'text': 'amazing love working with dog', 'start': 357.419, 'duration': 4.551}, {'text': 'proud to say that', 'start': 363.59, 'duration': 3.2}, {'text': 'part of the line', 'start': 371.17, 'duration': 2.96}, {'text': ""my head's enjoying my plan right now"", 'start': 379.21, 'duration': 5.55}, {'text': 'guess who I caught peeing in the damn', 'start': 381.69, 'duration': 6.01}, {'text': 'water that guy right there was taking a', 'start': 384.76, 'duration': 4.38}, {'text': ""piss in the water he's probably doing it"", 'start': 387.7, 'duration': 6.48}, {'text': 'again just had to go workout session', 'start': 389.14, 'duration': 6.86}, {'text': ""he's like that only we can have to go"", 'start': 394.18, 'duration': 5.51}, {'text': 'held until now', 'start': 396.0, 'duration': 3.69}, {'text': 'happy pitbull right there look at that', 'start': 399.72, 'duration': 4.53}, {'text': 'guy', 'start': 402.01, 'duration': 2.24}, {'text': 'you', 'start': 408.02, 'duration': 2.06}]"
6REV,,"[6, 8]",
f3EV,VG7pn-bxUsU,"[25, 268, 682]",
F8EV,,"[4, 9, 10, 34]",
QSEV,VV_jbqrhRXw,"[100, 1069]","[{'text': ""hey guys how are you today I'm going to"", 'start': 0.03, 'duration': 4.17}, {'text': 'do a quick review on a new product at', 'start': 2.58, 'duration': 3.66}, {'text': 'the market in Australia upload but offer', 'start': 4.2, 'duration': 5.76}, {'text': 'nutrition straight up the bat when I', 'start': 6.24, 'duration': 5.939}, {'text': 'walked in the store you know good', 'start': 9.96, 'duration': 4.17}, {'text': ""packaging really stands out it's nice"", 'start': 12.179, 'duration': 3.841}, {'text': ""and bold there's a pack of they're"", 'start': 14.13, 'duration': 5.729}, {'text': 'ripped it a little bit but yeah you know', 'start': 16.02, 'duration': 5.429}, {'text': 'really stands it up you can you can', 'start': 19.859, 'duration': 2.67}, {'text': 'definitely notice it next to other', 'start': 21.449, 'duration': 5.191}, {'text': 'products on the show you know another', 'start': 22.529, 'duration': 7.201}, {'text': ""thing I noticed when I opened it up it's"", 'start': 26.64, 'duration': 5.28}, {'text': ""very full I've used it already you know"", 'start': 29.73, 'duration': 4.68}, {'text': ""for a week up to knee up so it's um I"", 'start': 31.92, 'duration': 6.54}, {'text': 'would pour myself a drill but um yes', 'start': 34.41, 'duration': 7.14}, {'text': 'very good can actually you can actually', 'start': 38.46, 'duration': 5.52}, {'text': 'smell gear when when you open that lid', 'start': 41.55, 'duration': 3.919}, {'text': 'as well which is interesting it smells', 'start': 43.98, 'duration': 3.66}, {'text': 'tastes as good as it smells to it and', 'start': 45.469, 'duration': 4.961}, {'text': ""that's applause let's just have a quick"", 'start': 47.64, 'duration': 5.21}, {'text': 'look the ingredient label here so', 'start': 50.43, 'duration': 9.809}, {'text': ""politically camera oh this is it I'll"", 'start': 52.85, 'duration': 8.59}, {'text': 'touch on a few of the ingredients not', 'start': 60.239, 'duration': 3.57}, {'text': ""all of them so we've got canvassing bad"", 'start': 61.44, 'duration': 5.039}, {'text': 'L&E very good at buffing like the gas', 'start': 63.809, 'duration': 4.291}, {'text': 'the other muscle so effectively you can', 'start': 66.479, 'duration': 2.82}, {'text': 'work out for longer throughout your', 'start': 68.1, 'duration': 3.42}, {'text': ""teens quickly it's got the agonal max"", 'start': 69.299, 'duration': 4.5}, {'text': 'agmatine sulfate in it', 'start': 71.52, 'duration': 4.98}, {'text': 'good vasodilator help pump you up get a', 'start': 73.799, 'duration': 4.261}, {'text': 'nice you know get the blood flow in your', 'start': 76.5, 'duration': 4.64}, {'text': 'muscles better than it normally would', 'start': 78.06, 'duration': 3.08}, {'text': ""yeah obviously it's got a crick try"", 'start': 81.29, 'duration': 5.59}, {'text': ""creating malate creatine carb a it's got"", 'start': 83.549, 'duration': 5.28}, {'text': 'rhodiola extract this is a good one', 'start': 86.88, 'duration': 4.68}, {'text': 'Dendrobium another definitely another', 'start': 88.829, 'duration': 4.321}, {'text': ""good one was i think it's you know sort"", 'start': 91.56, 'duration': 3.03}, {'text': 'of being used as a replacement for um', 'start': 93.15, 'duration': 7.44}, {'text': 'geranium caffeine very interesting one', 'start': 94.59, 'duration': 7.739}, {'text': 'here or coconut water concentrate', 'start': 100.59, 'duration': 3.51}, {'text': 'full of electrolytes all that sort of', 'start': 102.329, 'duration': 3.241}, {'text': ""thing you don't really see that I don't"", 'start': 104.1, 'duration': 2.61}, {'text': ""think I've seen any any other free"", 'start': 105.57, 'duration': 4.02}, {'text': 'market ever actually so interesting', 'start': 106.71, 'duration': 5.46}, {'text': ""ingredient you know I'm sure it doesn't"", 'start': 109.59, 'duration': 4.889}, {'text': ""does what it's meant to do there is"", 'start': 112.17, 'duration': 3.69}, {'text': ""other ingredients in there won't touch"", 'start': 114.479, 'duration': 6.03}, {'text': ""with more positives alright so I'm gonna"", 'start': 115.86, 'duration': 6.57}, {'text': 'have mix this up so the other mix', 'start': 120.509, 'duration': 6.0}, {'text': ""ability is taste and then I'll go to a"", 'start': 122.43, 'duration': 7.609}, {'text': ""workout I'll come back into another"", 'start': 126.509, 'duration': 3.53}, {'text': ""serving sizes is pretty average it's not"", 'start': 144.17, 'duration': 5.59}, {'text': 'the biggest give another small scoop of', 'start': 148.26, 'duration': 5.73}, {'text': 'that very very few are good quality', 'start': 149.76, 'duration': 7.59}, {'text': ""ingredients so suppose you don't need as"", 'start': 153.99, 'duration': 22.56}, {'text': 'much I like a little bit more mix', 'start': 157.35, 'duration': 22.59}, {'text': 'ability is good though no chance at all', 'start': 176.55, 'duration': 11.24}, {'text': ""really 11 up can't see any chance"", 'start': 179.94, 'duration': 7.85}, {'text': 'tastes like a dream cordial watermelon', 'start': 193.86, 'duration': 6.67}, {'text': 'splash by underside definitely it the', 'start': 198.069, 'duration': 26.79}, {'text': 'mark on that Holly just back from my', 'start': 200.53, 'duration': 26.72}, {'text': 'working out', 'start': 224.859, 'duration': 6.031}, {'text': 'definitely great product you know filter', 'start': 227.25, 'duration': 4.959}, {'text': 'beta-alanine within ten to fifteen', 'start': 230.89, 'duration': 4.34}, {'text': ""minutes they're pretty quick absorption"", 'start': 232.209, 'duration': 3.021}, {'text': 'got a pretty good pump you know probably', 'start': 235.829, 'duration': 6.91}, {'text': 'got an extra ten percent on all my lips', 'start': 240.43, 'duration': 4.29}, {'text': 'my heavy lips especially started off', 'start': 242.739, 'duration': 4.021}, {'text': 'heavy and then and then work to a bit of', 'start': 244.72, 'duration': 5.67}, {'text': 'volume at the end of the session and', 'start': 246.76, 'duration': 6.119}, {'text': 'idea what good personal best on six reps', 'start': 250.39, 'duration': 4.529}, {'text': 'on my bench so that was I was definitely', 'start': 252.879, 'duration': 3.14}, {'text': 'a big plus', 'start': 254.919, 'duration': 4.68}, {'text': 'definitely product at McCabe use good', 'start': 256.019, 'duration': 5.321}, {'text': 'mental drive throughout the entire', 'start': 259.599, 'duration': 3.091}, {'text': 'workout was only about forty five minute', 'start': 261.34, 'duration': 2.91}, {'text': ""walk out so I didn't didn't get to test"", 'start': 262.69, 'duration': 3.36}, {'text': 'it for you know an hour and fifteen one', 'start': 264.25, 'duration': 5.76}, {'text': 'of them but um great product would', 'start': 266.05, 'duration': 6.53}, {'text': 'recommend it', 'start': 270.01, 'duration': 2.57}]"
KHEV,RY_O0P79dtY,[4],
vlEV,RZzJe9A0siU,"[0, 1, 42, 223, 323]",
faEV,0mF2quM6lxU,"[5, 16, 84, 922]",
s6EV,0m9ouKEXK6M,"[0, 1, 643]",
FnEV,UgukH7qIyG8,"[0, 1, 35, 230, 1169, 3078]",
63EV,Uht1xEpeD-8,"[308, 453]",
oEEV,WK3WmuPKE00,[71],
ftEV,wQCl58o0-xw,[3],
hREV,wXKDLy-xfC0,"[410, 722]","[{'text': 'hey guys and welcome to the Rav 07', 'start': 0.0, 'duration': 5.13}, {'text': 'tactile today we have a review of the', 'start': 2.55, 'duration': 5.49}, {'text': 'SteelSeries Siberia version 2 gaming', 'start': 5.13, 'duration': 14.46}, {'text': 'headset so steelseries are well known in', 'start': 8.04, 'duration': 13.649}, {'text': 'the tech community for their high-end', 'start': 19.59, 'duration': 4.65}, {'text': 'gaming accessories based on the', 'start': 21.689, 'duration': 4.021}, {'text': 'award-winning SteelSeries Siberia', 'start': 24.24, 'duration': 4.26}, {'text': 'headset the version 2 features major', 'start': 25.71, 'duration': 4.62}, {'text': 'enhancements to the sound quality and', 'start': 28.5, 'duration': 4.59}, {'text': 'comfort not forgetting the addition of a', 'start': 30.33, 'duration': 6.06}, {'text': 'built-in microphone this particular', 'start': 33.09, 'duration': 5.43}, {'text': 'version we have is in white but the', 'start': 36.39, 'duration': 4.59}, {'text': 'headset is also available in red black', 'start': 38.52, 'duration': 6.39}, {'text': 'orange and blue in terms of design I', 'start': 40.98, 'duration': 5.55}, {'text': 'think the headset looks fantastic', 'start': 44.91, 'duration': 6.75}, {'text': 'because of the futuristic styling so if', 'start': 46.53, 'duration': 7.02}, {'text': ""you're going to be gaming on your PC for"", 'start': 51.66, 'duration': 3.719}, {'text': 'hours on end the headset has to be', 'start': 53.55, 'duration': 3.779}, {'text': 'comfortable and the steelseries siberia', 'start': 55.379, 'duration': 5.52}, {'text': 'v2 certainly is the earcups feature', 'start': 57.329, 'duration': 5.761}, {'text': 'padding to cushion your is and not only', 'start': 60.899, 'duration': 4.44}, {'text': 'that but the firm is also noise-reducing', 'start': 63.09, 'duration': 4.08}, {'text': ""to ensure that you won't be disturbed by"", 'start': 65.339, 'duration': 5.311}, {'text': ""outside noise whilst you're gaming the"", 'start': 67.17, 'duration': 5.61}, {'text': 'headband is spring-loaded something', 'start': 70.65, 'duration': 5.039}, {'text': 'steelseries car suspension control and I', 'start': 72.78, 'duration': 6.18}, {'text': 'must say it works very well indeed as', 'start': 75.689, 'duration': 4.981}, {'text': 'soon as you put them on the headband', 'start': 78.96, 'duration': 3.72}, {'text': 'conforms to the shape of your head to', 'start': 80.67, 'duration': 4.08}, {'text': 'make the Siberia version 2 extremely', 'start': 82.68, 'duration': 4.049}, {'text': 'comfortable to wear even over an', 'start': 84.75, 'duration': 5.49}, {'text': 'extended period of time the next major', 'start': 86.729, 'duration': 6.14}, {'text': 'update is the retractable microphone', 'start': 90.24, 'duration': 7.019}, {'text': 'located just under the left ear cup all', 'start': 92.869, 'duration': 6.281}, {'text': 'you have to do is simply pull it out and', 'start': 97.259, 'duration': 3.631}, {'text': 'adjust it to your preferred angle and', 'start': 99.15, 'duration': 4.32}, {'text': 'length the audio quality of the mic is', 'start': 100.89, 'duration': 4.799}, {'text': 'very good and should perform just fine', 'start': 103.47, 'duration': 5.429}, {'text': 'during in Game conversations there is', 'start': 105.689, 'duration': 5.43}, {'text': 'also an inline microphone toggle as well', 'start': 108.899, 'duration': 4.981}, {'text': 'as a volume controller on the card the', 'start': 111.119, 'duration': 4.68}, {'text': 'cable itself is relatively short but', 'start': 113.88, 'duration': 3.87}, {'text': 'that is due to the fact steelseries', 'start': 115.799, 'duration': 3.931}, {'text': 'keyboards feature an audio of micro', 'start': 117.75, 'duration': 4.62}, {'text': ""on input if you don't have a SteelSeries"", 'start': 119.73, 'duration': 4.47}, {'text': 'keyboard you can use the provided', 'start': 122.37, 'duration': 4.38}, {'text': 'extension cable which takes the total', 'start': 124.2, 'duration': 5.16}, {'text': 'length to just over three meters so that', 'start': 126.75, 'duration': 5.55}, {'text': 'should be plenty of length the card does', 'start': 129.36, 'duration': 4.77}, {'text': 'feel rather cheap and it gets tangled', 'start': 132.3, 'duration': 6.54}, {'text': ""very easily but it's not a huge deal so"", 'start': 134.13, 'duration': 6.78}, {'text': 'being a gaming headset sound quality has', 'start': 138.84, 'duration': 5.25}, {'text': 'to be good the Siberia v2 has a brand', 'start': 140.91, 'duration': 5.22}, {'text': 'new 50 millimeter driver to provide', 'start': 144.09, 'duration': 5.25}, {'text': 'crystal clear audio during testing I', 'start': 146.13, 'duration': 4.8}, {'text': 'used the headset whilst playing modern', 'start': 149.34, 'duration': 5.73}, {'text': 'warfare 2 and I was very impressed the', 'start': 150.93, 'duration': 5.52}, {'text': 'headphones are also suitable for', 'start': 155.07, 'duration': 4.32}, {'text': 'listening to music sound quality is good', 'start': 156.45, 'duration': 4.62}, {'text': 'enough for casual listeners like me and', 'start': 159.39, 'duration': 3.78}, {'text': ""there's a nice amount of detail in high"", 'start': 161.07, 'duration': 6.03}, {'text': 'low and mid ranges the earcups', 'start': 163.17, 'duration': 6.03}, {'text': 'themselves are rather large so that they', 'start': 167.1, 'duration': 4.17}, {'text': 'cover the holier and this provides a', 'start': 169.2, 'duration': 4.56}, {'text': 'very pleasing sound experience so', 'start': 171.27, 'duration': 4.35}, {'text': ""whether it's gaming listening to music"", 'start': 173.76, 'duration': 3.9}, {'text': ""or watching movies you're sure to be"", 'start': 175.62, 'duration': 5.76}, {'text': 'impressed so should you buy the Siberia', 'start': 177.66, 'duration': 6.27}, {'text': 'version too well I think steelseries', 'start': 181.38, 'duration': 4.53}, {'text': 'have created the ultimate gaming headset', 'start': 183.93, 'duration': 5.37}, {'text': 'great design crystal clear audio and a', 'start': 185.91, 'duration': 5.1}, {'text': 'decent mic that can be hidden if you', 'start': 189.3, 'duration': 4.65}, {'text': 'wish you can find this gaming headset', 'start': 191.01, 'duration': 5.52}, {'text': 'for around fifty pounds in the UK 80', 'start': 193.95, 'duration': 5.07}, {'text': 'euros for the rest of Europe are ninety', 'start': 196.53, 'duration': 4.86}, {'text': 'dollars in the u.s. thanks for watching', 'start': 199.02, 'duration': 4.65}, {'text': 'please remember to subscribe like and', 'start': 201.39, 'duration': 3.99}, {'text': 'comment and stay tuned to the rather', 'start': 203.67, 'duration': 4.17}, {'text': 'seven tech channel for more technology', 'start': 205.38, 'duration': 4.49}, {'text': 'videos', 'start': 207.84, 'duration': 2.03}, {'text': 'you', 'start': 212.06, 'duration': 2.09}]"
cVEV,r8oShbNLibI,"[0, 93, 102, 675]",
2UEV,eqHmepZaRUU,[14],
VTEV,explIZHF9_M,"[5, 81, 108]",
9sEV,f-ropFoHzXY,[884],"[{'text': 'Oh', 'start': 0.0, 'duration': 2.0}, {'text': 'back kick the back kick is the most', 'start': 14.509, 'duration': 5.231}, {'text': 'powerful of all tech window kicking', 'start': 17.7, 'duration': 4.379}, {'text': 'techniques the mechanics of the back', 'start': 19.74, 'duration': 4.43}, {'text': 'kick resemble those of the side kick', 'start': 22.079, 'duration': 4.86}, {'text': 'back kick is most frequently used as a', 'start': 24.17, 'duration': 5.71}, {'text': 'counter-attack proper technique in back', 'start': 26.939, 'duration': 4.98}, {'text': 'kick is achieved when the speed and', 'start': 29.88, 'duration': 5.249}, {'text': 'power generated by rotation of the upper', 'start': 31.919, 'duration': 5.401}, {'text': 'body is transferred into the linear', 'start': 35.129, 'duration': 5.75}, {'text': 'thrusting motion of the leg', 'start': 37.32, 'duration': 3.559}, {'text': 'back whip kick the back whip kick is the', 'start': 135.97, 'duration': 6.28}, {'text': 'trademark of Taekwondo and is the most', 'start': 139.909, 'duration': 4.491}, {'text': 'beautiful of all its kicking techniques', 'start': 142.25, 'duration': 4.86}, {'text': 'due to the difficulty of this technique', 'start': 144.4, 'duration': 5.649}, {'text': 'a high degree of strength flexibility', 'start': 147.11, 'duration': 6.53}, {'text': 'coordination and balance are called for', 'start': 150.049, 'duration': 5.91}, {'text': 'initial training should begin by', 'start': 153.64, 'duration': 4.78}, {'text': 'practicing the turn motion while keeping', 'start': 155.959, 'duration': 5.071}, {'text': 'the leg low and only partly extended', 'start': 158.42, 'duration': 5.429}, {'text': 'after becoming accustomed to the turning', 'start': 161.03, 'duration': 4.95}, {'text': 'motion the whipping motion of the knee', 'start': 163.849, 'duration': 4.17}, {'text': 'should be practiced gradually adding', 'start': 165.98, 'duration': 6.319}, {'text': 'speed power and height', 'start': 168.019, 'duration': 4.28}, {'text': 'you', 'start': 213.85, 'duration': 2.06}, {'text': 'Oh side whip kick the side whip kick', 'start': 229.38, 'duration': 12.57}, {'text': 'share certain mechanical characteristics', 'start': 240.06, 'duration': 4.62}, {'text': 'with the back whip kick in the way the', 'start': 241.95, 'duration': 5.52}, {'text': 'whipping action is executed this is an', 'start': 244.68, 'duration': 4.59}, {'text': 'especially difficult technique for', 'start': 247.47, 'duration': 4.29}, {'text': 'beginners as it requires uncommon hip', 'start': 249.27, 'duration': 6.2}, {'text': 'flexibility and leg strength', 'start': 251.76, 'duration': 3.71}, {'text': 'the ax kick the @ stick is one of the', 'start': 271.31, 'duration': 4.9}, {'text': 'unique skills developed through tech', 'start': 274.71, 'duration': 3.57}, {'text': 'window competition the initial', 'start': 276.21, 'duration': 3.96}, {'text': 'requirement in performing the ax kick is', 'start': 278.28, 'duration': 4.47}, {'text': 'the ability to lift the leg high in a', 'start': 280.17, 'duration': 5.34}, {'text': 'quick smooth fashion the ax kick is', 'start': 282.75, 'duration': 4.38}, {'text': ""applied by striking the opponent's face"", 'start': 285.51, 'duration': 3.54}, {'text': 'with the bottom of the foot on the', 'start': 287.13, 'duration': 4.8}, {'text': 'downward motion needless to say this', 'start': 289.05, 'duration': 5.61}, {'text': 'technique demands a good flexibility be', 'start': 291.93, 'duration': 5.3}, {'text': 'maintained', 'start': 294.66, 'duration': 2.57}, {'text': 'punching punching is allowed in picking', 'start': 308.029, 'duration': 5.26}, {'text': 'will only to the body punching', 'start': 311.069, 'duration': 4.71}, {'text': 'techniques take two main forms one is', 'start': 313.289, 'duration': 4.47}, {'text': 'delivered with the rear hand and the', 'start': 315.779, 'duration': 5.57}, {'text': 'other is delivered with the lead hand', 'start': 317.759, 'duration': 3.59}, {'text': 'flexibility all cut window kicking', 'start': 380.71, 'duration': 5.23}, {'text': 'techniques require a high degree of hip', 'start': 383.6, 'duration': 5.07}, {'text': 'and waist flexibility to be performed', 'start': 385.94, 'duration': 5.0}, {'text': 'well', 'start': 388.67, 'duration': 2.27}, {'text': 'you', 'start': 400.63, 'duration': 2.06}]"
yeEV,,"[39, 50, 65, 256]",
