htsr,tW1xHYMTL8A,"[0, 1, 467, 577]",
fesr,tctkdRXvuM4,[11],
7Fsr,Fp6t_uAiAb8,"[0, 1, 36, 94, 180]",
A4sr,Fq64B0at82Y,[727],
p5sr,KlktNNXgxiI,"[39, 181, 216]","[{'text': 'hi everyone this video is going to be a', 'start': 3.3, 'duration': 5.97}, {'text': ""swatch application video for Zoya's new"", 'start': 5.91, 'duration': 6.389}, {'text': 'natural satin collection this is a', 'start': 9.27, 'duration': 5.849}, {'text': 'transitions collection into spring I', 'start': 12.299, 'duration': 5.851}, {'text': 'believe and this collection contains six', 'start': 15.119, 'duration': 6.871}, {'text': 'set of nail polish colors they cost nine', 'start': 18.15, 'duration': 6.03}, {'text': 'dollars each and you can purchase them', 'start': 21.99, 'duration': 4.83}, {'text': 'through Zoya you can also purchase them', 'start': 24.18, 'duration': 5.28}, {'text': ""through Ulta now and I'll put a link in"", 'start': 26.82, 'duration': 4.65}, {'text': 'the description box below to where you', 'start': 29.46, 'duration': 4.77}, {'text': 'can purchase them I will also put a link', 'start': 31.47, 'duration': 4.38}, {'text': 'in the description box below for where', 'start': 34.23, 'duration': 3.78}, {'text': 'you can see photos of all of these', 'start': 35.85, 'duration': 4.74}, {'text': 'colors applied to the nails in this', 'start': 38.01, 'duration': 4.56}, {'text': 'video I will live swatch them for you so', 'start': 40.59, 'duration': 3.36}, {'text': 'that you can not only see what the', 'start': 42.57, 'duration': 3.24}, {'text': 'colors look like but you can also see', 'start': 43.95, 'duration': 4.949}, {'text': 'how they apply on to the nail this satin', 'start': 45.81, 'duration': 6.8}, {'text': 'formula is supposed to be new it is a', 'start': 48.899, 'duration': 8.191}, {'text': 'low Sheen or low shine satin finish and', 'start': 52.61, 'duration': 6.82}, {'text': ""it's supposed to be a hybrid between a"", 'start': 57.09, 'duration': 5.91}, {'text': 'matte and a glossy polish so it also', 'start': 59.43, 'duration': 5.369}, {'text': 'says that these lasts longer than a', 'start': 63.0, 'duration': 4.56}, {'text': 'regular matte nail polish they retail', 'start': 64.799, 'duration': 4.981}, {'text': 'for nine dollars each and as you can see', 'start': 67.56, 'duration': 5.489}, {'text': 'they come in frosted glass bottles these', 'start': 69.78, 'duration': 5.82}, {'text': 'are currently available for purchase and', 'start': 73.049, 'duration': 4.92}, {'text': ""let's get looking at what these colors"", 'start': 75.6, 'duration': 5.839}, {'text': 'look like first up is the shade rowan', 'start': 77.969, 'duration': 12.44}, {'text': 'here is the shade sage next up is anna', 'start': 81.439, 'duration': 8.97}, {'text': 'next is leia', 'start': 91.13, 'duration': 9.579}, {'text': 'here is the shade toes and last up is', 'start': 95.029, 'duration': 9.88}, {'text': ""brittany so I'm actually going to start"", 'start': 100.709, 'duration': 9.98}, {'text': 'with the shade Anna which is a very pale', 'start': 104.909, 'duration': 8.78}, {'text': 'pink', 'start': 110.689, 'duration': 3.0}, {'text': 'this is like a white creamed pink all', 'start': 116.38, 'duration': 9.31}, {'text': 'right so there is one coat you do see', 'start': 122.72, 'duration': 4.68}, {'text': ""streakiness there so I'm going to let"", 'start': 125.69, 'duration': 4.17}, {'text': 'this set and then apply a second coat', 'start': 127.4, 'duration': 5.31}, {'text': 'okay and that is what they look like', 'start': 129.86, 'duration': 7.2}, {'text': ""once two coats have been applied and I'm"", 'start': 132.71, 'duration': 6.96}, {'text': 'going to wait for these to dry so that', 'start': 137.06, 'duration': 5.85}, {'text': 'you can see the died down finish alright', 'start': 139.67, 'duration': 5.37}, {'text': ""and here's what the finish looks like"", 'start': 142.91, 'duration': 4.65}, {'text': 'after it fully dies down it takes a', 'start': 145.04, 'duration': 3.87}, {'text': ""while especially if you're putting on"", 'start': 147.56, 'duration': 3.93}, {'text': 'more than one coat but you can see how', 'start': 148.91, 'duration': 4.77}, {'text': ""it's not completely matte but it's also"", 'start': 151.49, 'duration': 4.8}, {'text': 'not glossy very interesting finish I', 'start': 153.68, 'duration': 3.51}, {'text': 'think I really like it', 'start': 156.29, 'duration': 6.21}, {'text': ""next i'm swatching leia and this is a"", 'start': 157.19, 'duration': 15.21}, {'text': 'very pale lilac tinted taupe alright', 'start': 162.5, 'duration': 12.06}, {'text': ""once again you can see it's streaky with"", 'start': 172.4, 'duration': 3.9}, {'text': ""just one coat so I'm going to apply a"", 'start': 174.56, 'duration': 2.61}, {'text': 'second one', 'start': 176.3, 'duration': 4.29}, {'text': ""okay so there's Leia with two coats"", 'start': 177.17, 'duration': 11.069}, {'text': 'applied Here I am flying Britney which', 'start': 180.59, 'duration': 15.899}, {'text': 'is a soft creamed pink not as pale or', 'start': 188.239, 'duration': 10.861}, {'text': 'nude as Anna which is the first shade', 'start': 196.489, 'duration': 4.591}, {'text': 'that i swatched this is what it looks', 'start': 199.1, 'duration': 5.31}, {'text': 'like with just one layer okay and here', 'start': 201.08, 'duration': 7.34}, {'text': 'is Brittany after two coats have dried', 'start': 204.41, 'duration': 11.43}, {'text': 'next up is Rowan which is a creamy suede', 'start': 208.42, 'duration': 12.25}, {'text': 'taupe this one is fairly smooth with one', 'start': 215.84, 'duration': 8.13}, {'text': ""coat but it's not opaque so I again will"", 'start': 220.67, 'duration': 5.25}, {'text': ""apply a second and that's what Rome"", 'start': 223.97, 'duration': 3.63}, {'text': 'looks like once two coats are applied', 'start': 225.92, 'duration': 9.03}, {'text': 'and dry next we have sage which is a', 'start': 227.6, 'duration': 13.859}, {'text': 'muted sage mint okay you got that same', 'start': 234.95, 'duration': 8.7}, {'text': ""streakiness with one coat so we're gonna"", 'start': 241.459, 'duration': 4.831}, {'text': 'apply - okay there is what sage looks', 'start': 243.65, 'duration': 5.4}, {'text': 'like with two coats dried', 'start': 246.29, 'duration': 9.74}, {'text': 'and last up we have Tove which is a', 'start': 249.05, 'duration': 13.95}, {'text': 'muted gray with a blue undertone okay we', 'start': 256.03, 'duration': 9.04}, {'text': ""got the same streaks with one coat we'll"", 'start': 263.0, 'duration': 5.1}, {'text': 'apply a second pink and there are two', 'start': 265.07, 'duration': 7.44}, {'text': ""coats applied so there you have Zoya's"", 'start': 268.1, 'duration': 7.41}, {'text': 'satin natural collection I really like', 'start': 272.51, 'duration': 5.01}, {'text': 'the finish of these colors I like how', 'start': 275.51, 'duration': 4.5}, {'text': ""they're kind of muted and they have that"", 'start': 277.52, 'duration': 5.34}, {'text': 'not quite matte but not quite glossy', 'start': 280.01, 'duration': 4.53}, {'text': 'finish to them let me know in the', 'start': 282.86, 'duration': 3.57}, {'text': 'comments section below which color is', 'start': 284.54, 'duration': 4.2}, {'text': ""your favorite I don't know yet I think I"", 'start': 286.43, 'duration': 3.9}, {'text': 'have to kind of wear them around in', 'start': 288.74, 'duration': 3.09}, {'text': 'order to say which one I think will be', 'start': 290.33, 'duration': 3.72}, {'text': 'my favorite to wear on my nails but let', 'start': 291.83, 'duration': 3.81}, {'text': 'me know what you think make sure you', 'start': 294.05, 'duration': 3.78}, {'text': 'stay tuned tons more makeup videos are', 'start': 295.64, 'duration': 4.35}, {'text': 'coming up I hope you enjoyed this video', 'start': 297.83, 'duration': 4.05}, {'text': 'and it was helpful to you in choosing', 'start': 299.99, 'duration': 4.11}, {'text': 'which colors you want - if you liked it', 'start': 301.88, 'duration': 4.17}, {'text': 'please give it a thumbs up thanks for', 'start': 304.1, 'duration': 3.45}, {'text': ""taking the time to watch and I'll see"", 'start': 306.05, 'duration': 3.36}, {'text': 'you in the next video and they are', 'start': 307.55, 'duration': 4.68}, {'text': 'called the 12 piece natural eyeshadow', 'start': 309.41, 'duration': 5.28}, {'text': 'palettes as you can see here there are', 'start': 312.23, 'duration': 4.62}, {'text': 'two different color combinations these', 'start': 314.69, 'duration': 4.88}, {'text': 'palettes come in', 'start': 316.85, 'duration': 2.72}]"
3Rsr,KpvpepXNZRQ,[3],
xRsr,Kvf87V3Yxpo,"[6, 8]",
kbsr,9GEgpTqKfzo,"[53, 58, 163, 214]",
iDsr,9MGK2azMNlo,"[0, 1, 144]",
Ajsr,unVVA11oMBg,"[11, 462, 483]",
z1sr,vLIJ1_vvrK8,"[0, 1, 27]",
Vvsr,,"[11, 20, 22, 29, 32, 406]",
1Csr,,"[5, 84]",
Ewsr,,"[218, 845]",
