GkEU,6N-HW4nwHM4,[0],
oJEU,hKO9_LcY1e8,"[0, 237, 538, 1137]",
VjEU,wvIPt5Uacxs,"[0, 193, 577]",
XxEU,3ijzEygbLNI,"[9, 13]",
KpEU,3t_QAmMekbE,[3],
0TEU,p6Ubpu8D7d8,"[53, 60, 427]",
FqEU,FGnKqT1RkAQ,"[15, 1646]",
T9EU,q0FARsYqP_o,"[0, 5, 42, 938, 1279]",
kjEU,q4C_PraqLcI,[14],
CbEU,EaDDdTlExHo,"[26, 370, 526]",
EiEU,EjhVLml94qI,"[11, 20, 22, 29, 32, 221, 406, 2296]","[{'text': ""hello there your money let's have a"", 'start': 0.86, 'duration': 4.09}, {'text': 'penis mark is here', 'start': 3.06, 'duration': 3.69}, {'text': ""I've got in Delhi of a fake it's my"", 'start': 4.95, 'duration': 7.95}, {'text': 'first time here my frame genie they', 'start': 6.75, 'duration': 7.53}, {'text': 'brought me to this place', 'start': 12.9, 'duration': 12.45}, {'text': 'hello but Alina a team on a plateau okay', 'start': 14.28, 'duration': 14.239}, {'text': 'the friend thanks for bringing us here', 'start': 25.35, 'duration': 4.62}, {'text': 'please', 'start': 28.519, 'duration': 6.461}, {'text': 'so we please just got fried chicken C', 'start': 29.97, 'duration': 6.839}, {'text': 'are you even wondering why we have this', 'start': 34.98, 'duration': 4.919}, {'text': ""much food on our plates it's because"", 'start': 36.809, 'duration': 6.18}, {'text': 'current area propane has over three', 'start': 39.899, 'duration': 7.951}, {'text': 'dozen fishes and desserts and appetizers', 'start': 42.989, 'duration': 6.781}, {'text': 'to choose from for chance', 'start': 47.85, 'duration': 5.09}, {'text': 'what are the best', 'start': 49.77, 'duration': 6.359}, {'text': '149 business per person and you can eat', 'start': 52.94, 'duration': 5.86}, {'text': ""to your heart's desire you want to see"", 'start': 56.129, 'duration': 8.36}, {'text': ""what they have some fake paper let's go"", 'start': 58.8, 'duration': 5.689}, {'text': 'uppers Reisman adiga rises here we have', 'start': 65.21, 'duration': 9.66}, {'text': 'Intel Atom VP no cucumber for the sweets', 'start': 71.12, 'duration': 6.24}, {'text': 'we have', 'start': 74.87, 'duration': 5.64}, {'text': 'Kanaka hands a king when a policeman', 'start': 77.36, 'duration': 11.42}, {'text': 'sagging this one is papa', 'start': 80.51, 'duration': 8.27}, {'text': 'about this one this one is going to go', 'start': 89.85, 'duration': 3.09}, {'text': 'hi', 'start': 91.84, 'duration': 7.84}, {'text': ""Aleya I've ever heard bogey danke"", 'start': 92.94, 'duration': 6.74}, {'text': 'and they just refill the desert oh boo', 'start': 100.25, 'duration': 4.1}, {'text': 'llama', 'start': 103.25, 'duration': 4.28}, {'text': 'Tina :', 'start': 104.35, 'duration': 3.18}, {'text': 'Sampo this is a local benefit in fancy', 'start': 108.77, 'duration': 9.12}, {'text': ""now that's just one part of the buffet"", 'start': 115.4, 'duration': 7.8}, {'text': 'table also have here this is seafood', 'start': 117.89, 'duration': 11.7}, {'text': 'chowder with the home Martha home with', 'start': 123.2, 'duration': 9.229}, {'text': 'chicken for you', 'start': 129.59, 'duration': 2.839}, {'text': 'or they even have smelled for wool or in', 'start': 134.28, 'duration': 9.8}, {'text': 'French escargot sinigang na boy', 'start': 138.78, 'duration': 5.3}, {'text': 'cheated on the fried chicken that we', 'start': 144.62, 'duration': 6.19}, {'text': 'just got lumpiang Shanghai fish table', 'start': 147.93, 'duration': 5.67}, {'text': 'and lots more this place is really', 'start': 150.81, 'duration': 8.19}, {'text': 'really huge can you see that it can', 'start': 153.6, 'duration': 10.16}, {'text': 'accommodate I think around 200 persons', 'start': 159.0, 'duration': 4.76}, {'text': 'you guys like the food so the place is', 'start': 165.65, 'duration': 11.38}, {'text': ""hosted in the area buffet and it's"", 'start': 174.709, 'duration': 6.011}, {'text': ""located at C Luna we're near the much"", 'start': 177.03, 'duration': 11.22}, {'text': 'medical what AFP Medical Center de Luna', 'start': 180.72, 'duration': 13.31}, {'text': 'yes we were not even halfway through', 'start': 188.25, 'duration': 8.13}, {'text': 'actually I just started taking the video', 'start': 194.03, 'duration': 4.42}, {'text': ""because I'm resting I just finished one"", 'start': 196.38, 'duration': 2.85}, {'text': 'round', 'start': 198.45, 'duration': 5.34}, {'text': 'but after f1 so there you go your mother', 'start': 199.23, 'duration': 6.42}, {'text': 'to date hanging out with my family and', 'start': 203.79, 'duration': 4.22}, {'text': ""friends here I've got in there"", 'start': 205.65, 'duration': 5.93}, {'text': ""you visit this place when you're hungry"", 'start': 208.01, 'duration': 7.339}, {'text': 'and on a tight budget okay', 'start': 211.58, 'duration': 3.769}]"
IDEU,GI_fGSuWuSI,[3],
6wEU,BrnXA1iAmpQ,"[9, 34]",
gnEU,Bw5NnwVubeY,"[2, 45, 51]",
i1EU,yKHHua1BwV0,[1046],"[{'text': 'four score and seven years ago our', 'start': 0.14, 'duration': 4.21}, {'text': 'fathers brought forth upon this', 'start': 2.46, 'duration': 4.859}, {'text': 'continent a new nation conceived in', 'start': 4.35, 'duration': 5.19}, {'text': 'Liberty and dedicated to the proposition', 'start': 7.319, 'duration': 5.331}, {'text': 'that all men are created equal', 'start': 9.54, 'duration': 6.26}, {'text': 'now we are engaged in a great Civil War', 'start': 12.65, 'duration': 6.1}, {'text': 'testing whether that nation or any', 'start': 15.8, 'duration': 5.47}, {'text': 'nation so conceived and so dedicated can', 'start': 18.75, 'duration': 6.57}, {'text': 'long endure we are met on a great', 'start': 21.27, 'duration': 7.29}, {'text': 'battlefield of that war we have come to', 'start': 25.32, 'duration': 5.94}, {'text': 'dedicate a portion of it as a final', 'start': 28.56, 'duration': 4.92}, {'text': 'resting place for those who died here', 'start': 31.26, 'duration': 6.45}, {'text': 'that the nation might live this we may', 'start': 33.48, 'duration': 7.59}, {'text': 'in all propriety do but in a larger', 'start': 37.71, 'duration': 6.72}, {'text': 'sense we cannot dedicate we cannot', 'start': 41.07, 'duration': 7.85}, {'text': 'consecrate we cannot hallow this ground', 'start': 44.43, 'duration': 7.019}, {'text': 'the brave men living and dead who', 'start': 48.92, 'duration': 5.5}, {'text': 'struggled here have hallowed it far', 'start': 51.449, 'duration': 7.071}, {'text': 'above our poor power to add or detract', 'start': 54.42, 'duration': 6.9}, {'text': 'the world will little note nor long', 'start': 58.52, 'duration': 6.219}, {'text': 'remember what we say here while it can', 'start': 61.32, 'duration': 7.65}, {'text': 'never forget what they did here it is', 'start': 64.739, 'duration': 8.821}, {'text': 'rather for us the living we here be', 'start': 68.97, 'duration': 6.689}, {'text': 'dedicated to the great task remaining', 'start': 73.56, 'duration': 5.43}, {'text': 'before us that from these honored dead', 'start': 75.659, 'duration': 5.911}, {'text': 'we take increased devotion to that cause', 'start': 78.99, 'duration': 5.94}, {'text': 'for which they here gave the last full', 'start': 81.57, 'duration': 7.53}, {'text': 'measure of devotion that we here highly', 'start': 84.93, 'duration': 6.99}, {'text': 'resolve these dead shall not have died', 'start': 89.1, 'duration': 6.51}, {'text': 'in vain that the nation shall have a new', 'start': 91.92, 'duration': 6.51}, {'text': 'birth of freedom and that government of', 'start': 95.61, 'duration': 6.829}, {'text': 'the people by the people for the people', 'start': 98.43, 'duration': 8.009}, {'text': 'shall not perish from the earth that', 'start': 102.439, 'duration': 6.521}, {'text': 'this nation under God shall have a new', 'start': 106.439, 'duration': 4.71}, {'text': 'birth of freedom that this nation under', 'start': 108.96, 'duration': 5.339}, {'text': 'God shall have a new birth of freedom', 'start': 111.149, 'duration': 6.031}, {'text': 'this nation under God shall have a new', 'start': 114.299, 'duration': 5.371}, {'text': 'birth of freedom this nation under God', 'start': 117.18, 'duration': 5.46}, {'text': 'shall have a new birth of freedom this', 'start': 119.67, 'duration': 4.92}, {'text': 'nation under God shall have a new birth', 'start': 122.64, 'duration': 4.5}, {'text': 'of freedom this nation under God shall', 'start': 124.59, 'duration': 4.919}, {'text': 'have a new birth of freedom this nation', 'start': 127.14, 'duration': 4.56}, {'text': 'under God shall have a new birth of', 'start': 129.509, 'duration': 3.601}, {'text': 'freedom this nation', 'start': 131.7, 'duration': 3.39}, {'text': 'under God shall have a new birth of', 'start': 133.11, 'duration': 5.4}, {'text': 'freedom this nation under God shall have', 'start': 135.09, 'duration': 5.52}, {'text': 'a new birth of freedom this nation under', 'start': 138.51, 'duration': 4.56}, {'text': 'God shall have a new birth of freedom', 'start': 140.61, 'duration': 5.22}, {'text': 'this nation under God shall have a new', 'start': 143.07, 'duration': 4.98}, {'text': 'birth of freedom this nation under God', 'start': 145.83, 'duration': 4.53}, {'text': 'shall have a new birth of freedom this', 'start': 148.05, 'duration': 7.86}, {'text': 'nation under God shall have a new birth', 'start': 150.36, 'duration': 7.89}, {'text': 'of freedom that this nation under God', 'start': 155.91, 'duration': 4.71}, {'text': 'shall have a new birth of freedom that', 'start': 158.25, 'duration': 4.41}, {'text': 'the nation shall have a new birth of', 'start': 160.62, 'duration': 4.43}, {'text': 'freedom', 'start': 162.66, 'duration': 2.39}]"
NJEU,yVBj8oBg1SM,"[6, 8]",
YlEU,,[1196],
X4EU,yZha8XEJnoY,"[11, 262, 601]",
euEU,y_q3Nc7MoXo,"[391, 1263]",
zWEU,NYATHIeycAM,"[21, 24]",
7DEU,SCmO1xeVCrw,"[0, 9, 1508, 1847]",
JwEU,SHA3aBY4xlQ,[3],
MSsQ,HuFVNxkou6Y,"[60, 160, 273]",
l0sQ,MTblLwhQFJw,"[81, 108]",
TJsQ,GTmY7KP6_YA,"[2, 7]",
0esQ,Gdos_JYFKPg,[8],
mUsQ,GjsKwNxvN0U,"[2, 320]","[{'text': 'all the guns right Chuck meet John the', 'start': 0.0, 'duration': 4.859}, {'text': 'whoremonger to stay guys the mother my', 'start': 2.46, 'duration': 4.68}, {'text': ""love it's Arriba shock you can hate but"", 'start': 4.859, 'duration': 4.291}, {'text': 'your bricks later wax watch me hey your', 'start': 7.14, 'duration': 5.55}, {'text': ""rock well yeah you know who you know I'm"", 'start': 9.15, 'duration': 5.609}, {'text': 'worth my meal why are you taking off', 'start': 12.69, 'duration': 4.86}, {'text': 'your chain I came here to cheat boys in', 'start': 14.759, 'duration': 5.091}, {'text': 'the hood', 'start': 17.55, 'duration': 2.3}, {'text': 'ninety-fourth 10 all I got in here is a', 'start': 25.8, 'duration': 13.64}, {'text': 'two-faced Kenwood head unit candle damp', 'start': 34.59, 'duration': 13.44}, {'text': 'D mono 1600 max in an RMS 12 inch w3', 'start': 39.44, 'duration': 14.71}, {'text': 'jail six-five', 'start': 48.03, 'duration': 10.98}, {'text': 'Kenwood excellence another one down', 'start': 54.15, 'duration': 9.81}, {'text': ""there and some folks 6 our hops now I'm"", 'start': 59.01, 'duration': 9.38}, {'text': 'going to play some remix hood nigga', 'start': 63.96, 'duration': 4.43}, {'text': 'which is just 1 sub', 'start': 73.25, 'duration': 4.229}, {'text': 'money', 'start': 129.05, 'duration': 3.0}, {'text': 'alright question jl babies where you go', 'start': 176.42, 'duration': 7.05}]"
tpsQ,cX0M-q_9K_8,"[6, 8]",
5dsQ,oqwrRNDHR58,[3],
1osQ,,"[2, 7, 48, 460, 1031, 1841]",
tcsQ,ox6gVipKK_A,"[3, 4, 13, 54, 565]",
ZtsQ,PSlnvOnJNyA,"[3, 4, 10]",
JTsQ,63sd2TMjQTg,"[11, 20, 22, 29, 32, 211, 477, 528, 564, 1096]","[{'text': 'hello Greg here from ballistic barbecue', 'start': 5.42, 'duration': 5.5}, {'text': 'cooking up yet another video recipe on', 'start': 7.89, 'duration': 5.61}, {'text': 'the primo ceramic grills Channel today', 'start': 10.92, 'duration': 5.67}, {'text': 'we are going to make pizza margarita', 'start': 13.5, 'duration': 4.74}, {'text': ""it's going to be awesome let's get going"", 'start': 16.59, 'duration': 3.269}, {'text': ""we're going to start off with a really"", 'start': 18.24, 'duration': 4.89}, {'text': 'really simple sauce okay I have the pan', 'start': 19.859, 'duration': 5.221}, {'text': ""heated up here medium-high heat I'm"", 'start': 23.13, 'duration': 3.719}, {'text': 'going to add some extra virgin olive oil', 'start': 25.08, 'duration': 6.029}, {'text': ""a couple tablespoons to that I'm going"", 'start': 26.849, 'duration': 6.751}, {'text': ""to add 1/4 of a medium onion that I've"", 'start': 31.109, 'duration': 7.29}, {'text': 'diced up and three cloves of freshly', 'start': 33.6, 'duration': 10.709}, {'text': ""minced garlic we're going to cook these"", 'start': 38.399, 'duration': 9.631}, {'text': 'till they start to brown alright the', 'start': 44.309, 'duration': 5.281}, {'text': 'garlic is just starting to brown the', 'start': 48.03, 'duration': 2.549}, {'text': 'onions are starting to become', 'start': 49.59, 'duration': 2.94}, {'text': 'translucent we do not want to burn that', 'start': 50.579, 'duration': 4.561}, {'text': ""garlic we're going to go ahead and add"", 'start': 52.53, 'duration': 6.72}, {'text': 'this is one 28-ounce can of whole peeled', 'start': 55.14, 'duration': 6.899}, {'text': 'roma tomatoes in a puree what I did was', 'start': 59.25, 'duration': 4.649}, {'text': 'I removed the tomatoes and I chopped', 'start': 62.039, 'duration': 3.541}, {'text': 'them up just roughly and I add-on it', 'start': 63.899, 'duration': 2.76}, {'text': ""back to the puree we're going to add"", 'start': 65.58, 'duration': 8.399}, {'text': ""this we're going to add one fresh sprig"", 'start': 66.659, 'duration': 11.221}, {'text': 'of basil one fresh sprig of thyme it', 'start': 73.979, 'duration': 6.481}, {'text': 'goes mixed in here we will be removing', 'start': 77.88, 'duration': 6.989}, {'text': 'these and the sauce is done what I want', 'start': 80.46, 'duration': 7.88}, {'text': 'to do is bring this up to a boil now', 'start': 84.869, 'duration': 3.471}, {'text': 'alright as you can see sauce is boiling', 'start': 88.549, 'duration': 3.761}, {'text': ""away we're going to go ahead and cover"", 'start': 90.72, 'duration': 5.55}, {'text': ""it reduce the heat to a simmer and I'm"", 'start': 92.31, 'duration': 5.58}, {'text': 'going to allow this to simmer for ten', 'start': 96.27, 'duration': 4.77}, {'text': 'minutes see in a bit alright so the 10', 'start': 97.89, 'duration': 5.479}, {'text': 'minutes is over with smells unbelievable', 'start': 101.04, 'duration': 4.98}, {'text': ""like I said we're going to go ahead and"", 'start': 103.369, 'duration': 11.79}, {'text': 'remove that basil in that sprig of thyme', 'start': 106.02, 'duration': 9.139}, {'text': ""now what I'm going to do is go ahead and"", 'start': 117.44, 'duration': 4.42}, {'text': 'add a little bit of salt here just to', 'start': 119.97, 'duration': 8.99}, {'text': 'taste and some freshly ground pepper', 'start': 121.86, 'duration': 7.1}, {'text': ""perfect I'm going to go ahead and set"", 'start': 138.9, 'duration': 4.44}, {'text': 'this off to the side allow it to cool a', 'start': 141.75, 'duration': 3.66}, {'text': ""little bit kind of setup we're going to"", 'start': 143.34, 'duration': 3.869}, {'text': 'get going prepping my countertop for the', 'start': 145.41, 'duration': 4.65}, {'text': 'pizza dough see it a bit all right when', 'start': 147.209, 'duration': 4.53}, {'text': 'it comes to dough there is nothing wrong', 'start': 150.06, 'duration': 3.149}, {'text': 'with buying a store-bought dough just', 'start': 151.739, 'duration': 3.601}, {'text': 'makes it a lot easier now this is a', 'start': 153.209, 'duration': 4.291}, {'text': ""homemade dough it's very very simple"", 'start': 155.34, 'duration': 4.74}, {'text': 'recipe I will make sure that the recipe', 'start': 157.5, 'duration': 4.23}, {'text': 'is posted down below in the description', 'start': 160.08, 'duration': 4.14}, {'text': 'box I have it on my countertop lightly', 'start': 161.73, 'duration': 5.43}, {'text': 'floured with some all-purpose flour dust', 'start': 164.22, 'duration': 6.239}, {'text': 'the top here you can use a rolling pin', 'start': 167.16, 'duration': 4.74}, {'text': 'or your hands whatever you feel', 'start': 170.459, 'duration': 3.991}, {'text': ""comfortable doing don't expect to see me"", 'start': 171.9, 'duration': 3.69}, {'text': ""tossing this in the air I'll tell you"", 'start': 174.45, 'duration': 3.96}, {'text': ""that right now and I'm going to form"", 'start': 175.59, 'duration': 4.679}, {'text': 'this into a 12-inch diameter circle', 'start': 178.41, 'duration': 11.189}, {'text': 'about 1/8 of an inch thick all right', 'start': 180.269, 'duration': 11.041}, {'text': 'looking good now at this point you can', 'start': 189.599, 'duration': 3.42}, {'text': ""take a fork and poke holes in it's"", 'start': 191.31, 'duration': 3.45}, {'text': ""called docking it it'll prevent it from"", 'start': 193.019, 'duration': 3.901}, {'text': 'getting crazy bubbles I kind of actually', 'start': 194.76, 'duration': 3.63}, {'text': 'want this to get nice and bubbly like', 'start': 196.92, 'duration': 2.55}, {'text': ""that so we're going to leave it alone"", 'start': 198.39, 'duration': 4.02}, {'text': ""and I'm going to apply the sauce don't"", 'start': 199.47, 'duration': 9.06}, {'text': 'go too berserk on the sauce here I just', 'start': 202.41, 'duration': 7.979}, {'text': 'want to make sure I leave a good you', 'start': 208.53, 'duration': 4.5}, {'text': 'know quarter inch or so space at the', 'start': 210.389, 'duration': 6.75}, {'text': 'edge for the crust to form all right', 'start': 213.03, 'duration': 6.539}, {'text': ""looking good now we're going to go ahead"", 'start': 217.139, 'duration': 4.921}, {'text': 'and season it with a little bit more', 'start': 219.569, 'duration': 10.25}, {'text': 'salt a little bit more pepper', 'start': 222.06, 'duration': 7.759}, {'text': ""we're going to add that mozzarella just"", 'start': 233.5, 'duration': 5.75}, {'text': 'is just nice fresh sliced mozzarella', 'start': 235.15, 'duration': 4.1}, {'text': 'alright looks good right now normally', 'start': 242.88, 'duration': 4.45}, {'text': ""it's a good idea to actually do all the"", 'start': 245.56, 'duration': 3.84}, {'text': ""prepping of the pizza after it's all"", 'start': 247.33, 'duration': 4.53}, {'text': 'stretched out on the peel but I have', 'start': 249.4, 'duration': 3.42}, {'text': 'something kind of cool here I want to', 'start': 251.86, 'duration': 3.18}, {'text': 'show you they call this the super peel', 'start': 252.82, 'duration': 4.47}, {'text': 'and it makes your life a lot easier when', 'start': 255.04, 'duration': 6.69}, {'text': ""you're making pizzas how cool is that"", 'start': 257.29, 'duration': 6.99}, {'text': 'all right I have the Primo oval XL', 'start': 261.73, 'duration': 5.46}, {'text': ""preheated to 500 degrees we're ready to"", 'start': 264.28, 'duration': 4.56}, {'text': ""get this thing cooking I'll meet you on"", 'start': 267.19, 'duration': 4.38}, {'text': 'the back yard alright as I said the', 'start': 268.84, 'duration': 5.13}, {'text': 'Primo oval XL is preheated to 500', 'start': 271.57, 'duration': 4.92}, {'text': ""degrees and for me that's about halfway"", 'start': 273.97, 'duration': 5.19}, {'text': 'open on the top with a daisy wheel fully', 'start': 276.49, 'duration': 4.98}, {'text': 'open and about two-and-a-half inches', 'start': 279.16, 'duration': 4.14}, {'text': 'down below at the damper down below', 'start': 281.47, 'duration': 3.39}, {'text': ""we're going to very carefully open this"", 'start': 283.3, 'duration': 2.4}, {'text': ""when you're dealing with these high"", 'start': 284.86, 'duration': 1.92}, {'text': 'heats you want to make sure that you', 'start': 285.7, 'duration': 6.33}, {'text': 'burp your grill all right as you can see', 'start': 286.78, 'duration': 6.78}, {'text': 'I have the cooking grates on I have a', 'start': 292.03, 'duration': 3.06}, {'text': 'heat deflector on top of the cooking', 'start': 293.56, 'duration': 4.35}, {'text': 'grades and the glazed pizza stone on top', 'start': 295.09, 'duration': 4.829}, {'text': ""of the heat deflector what I'm going to"", 'start': 297.91, 'duration': 3.81}, {'text': 'do is apply now this is actually rice', 'start': 299.919, 'duration': 4.321}, {'text': 'flour I know the traditional application', 'start': 301.72, 'duration': 4.32}, {'text': 'would be cornmeal this actually has a', 'start': 304.24, 'duration': 3.9}, {'text': 'higher burning point than cornmeal which', 'start': 306.04, 'duration': 4.35}, {'text': ""is nice I'll make a nice nonstick"", 'start': 308.14, 'duration': 4.73}, {'text': 'surface', 'start': 310.39, 'duration': 2.48}, {'text': ""and we are cooking so at this temp we're"", 'start': 319.36, 'duration': 8.05}, {'text': 'looking at seven to ten minutes max all', 'start': 323.0, 'duration': 5.91}, {'text': ""right we're coming in just under 10"", 'start': 327.41, 'duration': 5.04}, {'text': 'minutes and check it out', 'start': 328.91, 'duration': 5.91}, {'text': ""bubbling that crust is perfect let's get"", 'start': 332.45, 'duration': 10.35}, {'text': ""this thing off here all right now we're"", 'start': 334.82, 'duration': 9.33}, {'text': 'going to hit the top with some fresh', 'start': 342.8, 'duration': 4.23}, {'text': 'basil leaves now you can do this before', 'start': 344.15, 'duration': 5.34}, {'text': 'and actually cook them on but I honestly', 'start': 347.03, 'duration': 5.19}, {'text': 'prefer to have them fresh like this they', 'start': 349.49, 'duration': 4.14}, {'text': 'cook down just a little too much and', 'start': 352.22, 'duration': 3.24}, {'text': 'they actually turn brown and this is', 'start': 353.63, 'duration': 3.48}, {'text': 'supposed to be kind of a tribute to the', 'start': 355.46, 'duration': 4.38}, {'text': 'Italian flag which is red white and', 'start': 357.11, 'duration': 5.42}, {'text': 'green so we want it to be great right', 'start': 359.84, 'duration': 5.16}, {'text': 'these were gigantic basil leaves so I', 'start': 362.53, 'duration': 6.3}, {'text': 'cut them into our torment little pieces', 'start': 365.0, 'duration': 5.76}, {'text': 'all right looks good', 'start': 368.83, 'duration': 3.91}, {'text': 'normally I let it sit and cool a little', 'start': 370.76, 'duration': 3.84}, {'text': ""bit but I cannot wait we're going to try"", 'start': 372.74, 'duration': 4.25}, {'text': 'this out', 'start': 374.6, 'duration': 2.39}, {'text': 'fresh pizza for lunch it does not get', 'start': 387.88, 'duration': 3.97}, {'text': ""any better than this I'll tell you that"", 'start': 390.53, 'duration': 11.25}, {'text': ""oh look at the crust perfect Wow it's"", 'start': 391.85, 'duration': 12.33}, {'text': 'almost gone Wow I mean this primo', 'start': 401.78, 'duration': 4.62}, {'text': 'ceramic grill never ceases to amaze me', 'start': 404.18, 'duration': 3.87}, {'text': 'but this is where it really shines in a', 'start': 406.4, 'duration': 2.43}, {'text': 'cook like this', 'start': 408.05, 'duration': 2.73}, {'text': 'we basically turn this into an authentic', 'start': 408.83, 'duration': 5.79}, {'text': 'Italian pizza oven I mean this is insane', 'start': 410.78, 'duration': 7.32}, {'text': 'just truly insane anyway guys hope you', 'start': 414.62, 'duration': 4.5}, {'text': 'enjoyed the recipe', 'start': 418.1, 'duration': 3.39}, {'text': ""I appreciate if you'd stop by the Primo"", 'start': 419.12, 'duration': 3.63}, {'text': 'ceramic grills channel and give them a', 'start': 421.49, 'duration': 3.26}, {'text': 'sub maybe give this video a thumbs up', 'start': 422.75, 'duration': 6.65}, {'text': 'until next time Cheers', 'start': 424.75, 'duration': 4.65}, {'text': 'you', 'start': 433.43, 'duration': 2.06}]"
O3sQ,,"[348, 833]",
