ZlB7,HIBOaMyt6Ec,[8],
mrAy,,"[0, 1, 2040]",
NoAy,OPdv0mySeyY,[1319],
ZbAy,fgqwusmSgTI,"[0, 5, 759]",
OWAy,Rpaak_7Jx_4,[9],
KAAy,TiLG9Oge1DY,"[50, 65, 256, 913]",
BLAy,TrtXLop-Fd8,"[1, 25, 69, 2565]",
vDAy,TRDetCqb6Cw,"[529, 1104]",
9WAy,vipVU4Be5eM,"[496, 736, 1730]","[{'text': 'hello everybody this one is a Macintosh', 'start': 8.91, 'duration': 3.61}, {'text': 'to you I just wanted to say Merry', 'start': 11.05, 'duration': 7.249}, {'text': 'Christmas first of all and as you see', 'start': 12.52, 'duration': 5.779}, {'text': 'as you can see trying to go ahead and', 'start': 22.32, 'duration': 5.939}, {'text': 'unbox it so I get a screwdriver to open', 'start': 24.72, 'duration': 5.929}, {'text': 'it with', 'start': 28.259, 'duration': 2.39}, {'text': ""I'll shave inside you can see this box"", 'start': 62.94, 'duration': 11.05}, {'text': 'is designed in a from California', 'start': 71.25, 'duration': 5.619}, {'text': ""we'll put this right here and go ahead"", 'start': 73.99, 'duration': 6.87}, {'text': 'and open that and st. and here we have', 'start': 76.869, 'duration': 6.931}, {'text': ""the iMac itself you're gonna move these"", 'start': 80.86, 'duration': 10.98}, {'text': 'styrofoam pieces and here we have the', 'start': 83.8, 'duration': 12.78}, {'text': 'power feeble which is stuck in there and', 'start': 91.84, 'duration': 8.24}, {'text': 'forget it want to get the iMac out', 'start': 96.58, 'duration': 3.5}, {'text': ""there's even a here's what's left in the"", 'start': 111.149, 'duration': 5.741}, {'text': 'bags nothing with those little bags', 'start': 114.31, 'duration': 4.11}, {'text': ""remove moisture so we're gonna go ahead"", 'start': 116.89, 'duration': 19.74}, {'text': 'move the iMac back we are going to first', 'start': 118.42, 'duration': 21.599}, {'text': 'remove this piece of plastic use the', 'start': 136.63, 'duration': 6.329}, {'text': 'totally plastic bits retention piece see', 'start': 140.019, 'duration': 5.821}, {'text': ""here's the hole for the cables this is"", 'start': 142.959, 'duration': 5.191}, {'text': 'aluminum it feels really nice here we', 'start': 145.84, 'duration': 6.74}, {'text': 'have a little sticker that nobody reads', 'start': 148.15, 'duration': 4.43}, {'text': ""and now we're going to pull this up no"", 'start': 163.38, 'duration': 12.729}, {'text': ""see I'm a now we're going to find where"", 'start': 171.58, 'duration': 6.3}, {'text': 'the protective slip starts which is up', 'start': 176.109, 'duration': 6.571}, {'text': 'here and pull this off okay so here it', 'start': 177.88, 'duration': 7.53}, {'text': ""is now we're going to go ahead and turn"", 'start': 182.68, 'duration': 5.97}, {'text': 'it on line with the on button which is', 'start': 185.41, 'duration': 5.99}, {'text': 'right back here', 'start': 188.65, 'duration': 2.75}, {'text': ""and while that turns on we'll go ahead"", 'start': 203.26, 'duration': 12.82}, {'text': 'and open stuff to turn this box and here', 'start': 205.28, 'duration': 16.56}, {'text': 'we have this this says hello there', 'start': 216.08, 'duration': 8.58}, {'text': 'should be the warranty and Apple', 'start': 221.84, 'duration': 3.78}, {'text': 'stickers behind there', 'start': 224.66, 'duration': 6.96}, {'text': 'he was the Apple wireless keyboard punch', 'start': 225.62, 'duration': 11.46}, {'text': 'is very nice we have the FO magic Klaus', 'start': 231.62, 'duration': 7.8}, {'text': ""is my second one it's really nice Mouse"", 'start': 237.08, 'duration': 5.1}, {'text': 'and then we have fingertips which is', 'start': 239.42, 'duration': 5.64}, {'text': 'right here and then the rest of this is', 'start': 242.18, 'duration': 8.76}, {'text': 'just the box to put this stuff back in', 'start': 245.06, 'duration': 18.81}, {'text': ""here g3 she's English for the main"", 'start': 250.94, 'duration': 18.96}, {'text': ""language now that's what country you're"", 'start': 263.87, 'duration': 9.66}, {'text': 'from United States keyboard United', 'start': 269.9, 'duration': 5.96}, {'text': 'States', 'start': 273.53, 'duration': 2.33}, {'text': 'you', 'start': 342.28, 'duration': 2.06}]"
gMAy,vsO_eccXl3w,"[4, 9]",
hvAy,zl9Y-VVDer8,[89],
vvAy,zpHxcWcz5YU,"[159, 2072]",
vuAy,E5mIi3EB4wQ,"[0, 1, 63, 150, 204]",
NmAy,EDENaZmTNXs,"[2, 500]",
8WAy,EGiCcx05NgM,[289],
tbAy,EJ0CA9IFGN0,"[21, 23, 73, 200, 288, 322]","[{'text': ""okay first thing you're going to want to"", 'start': 0.35, 'duration': 10.11}, {'text': 'do open cydia lots of loading', 'start': 2.79, 'duration': 7.67}, {'text': ""ok now we're going to hit Search and"", 'start': 41.969, 'duration': 20.491}, {'text': ""we're going to type in v ii ii and see"", 'start': 52.68, 'duration': 15.88}, {'text': ""why right there at that i'm going to"", 'start': 62.46, 'duration': 14.85}, {'text': 'click install and install it confirm', 'start': 68.56, 'duration': 8.75}, {'text': ""ok restart springboard and that's going"", 'start': 118.77, 'duration': 14.26}, {'text': ""to restart okay okay we're going to go"", 'start': 126.97, 'duration': 12.77}, {'text': 'to real VNC calm and go down to', 'start': 133.03, 'duration': 12.39}, {'text': ""downloads we're going to click free"", 'start': 139.74, 'duration': 10.3}, {'text': ""edition download and use and we're going"", 'start': 145.42, 'duration': 8.79}, {'text': ""to click proceed to download and we're"", 'start': 150.04, 'duration': 8.669}, {'text': 'going to go to the very top the NC free', 'start': 154.21, 'duration': 13.77}, {'text': 'edition for windows download and go', 'start': 158.709, 'duration': 11.281}, {'text': ""through all this stuff I've already done"", 'start': 167.98, 'duration': 6.63}, {'text': ""it sale okay now we're going to go to"", 'start': 169.99, 'duration': 13.94}, {'text': ""settings we're going to click the Wi-Fi"", 'start': 174.61, 'duration': 9.32}, {'text': 'press the little arrow next to your', 'start': 184.56, 'duration': 8.679}, {'text': 'connection and your IP address is the', 'start': 187.15, 'duration': 7.589}, {'text': ""thing you're going to enter into this"", 'start': 193.239, 'duration': 9.03}, {'text': 'box once you open your B and C just', 'start': 194.739, 'duration': 8.941}, {'text': 'going to show you how to do that real', 'start': 202.269, 'duration': 4.591}, {'text': ""quick you go into all your files we're"", 'start': 203.68, 'duration': 7.35}, {'text': 'going to find real VNC down at the', 'start': 206.86, 'duration': 10.2}, {'text': 'bottom here eatin realvnc VNC viewer run', 'start': 211.03, 'duration': 10.65}, {'text': 'VNC viewer and it opens this okay so now', 'start': 217.06, 'duration': 9.47}, {'text': ""we're going to type in IP address"", 'start': 221.68, 'duration': 4.85}, {'text': 'and just finish typing that in I already', 'start': 229.069, 'duration': 6.43}, {'text': ""typed mine in and then you're just going"", 'start': 232.53, 'duration': 5.34}, {'text': 'to click connect and when you look at', 'start': 235.499, 'duration': 4.14}, {'text': ""your ipod it's going to ask if you want"", 'start': 237.87, 'duration': 4.319}, {'text': ""to accept click accept and you'll get"", 'start': 239.639, 'duration': 6.6}, {'text': 'this on your computer screen and I hope', 'start': 242.189, 'duration': 6.681}, {'text': 'that helped you', 'start': 246.239, 'duration': 2.631}]"
zzAy,EO3j8rz9S8U,"[50, 65, 256, 355, 927, 998]",
SKAy,72VmOhTwyQY,"[223, 381]",
MHAy,KWUUQ8oD7Ik,"[2, 7, 19, 64, 149, 151, 729]",
EwAy,KaOdvEaKTew,"[0, 1, 5, 613, 872, 1793]","[{'text': ""did you know Mario's original name was"", 'start': 10.099, 'duration': 5.861}, {'text': ""in Mario but it wasn't Jumpman either"", 'start': 13.53, 'duration': 5.13}, {'text': 'Shigeru Miyamoto originally named him', 'start': 15.96, 'duration': 5.1}, {'text': 'mr. video and planned to include him in', 'start': 18.66, 'duration': 4.68}, {'text': 'every video game Miyamoto developed as a', 'start': 21.06, 'duration': 4.889}, {'text': 'sort of mascot even before this official', 'start': 23.34, 'duration': 3.449}, {'text': 'naming though', 'start': 25.949, 'duration': 3.031}, {'text': ""Mario's design was referred to as osan"", 'start': 26.789, 'duration': 4.591}, {'text': 'which is Japanese for middle-aged guy', 'start': 28.98, 'duration': 4.65}, {'text': ""it's become well-known that Mario got"", 'start': 31.38, 'duration': 3.99}, {'text': ""his name from Nintendo's warehouse"", 'start': 33.63, 'duration': 4.47}, {'text': ""landlord Mario Segale II but Luigi's"", 'start': 35.37, 'duration': 5.279}, {'text': 'name has a slightly more complex origin', 'start': 38.1, 'duration': 4.86}, {'text': ""Luigi's name comes from a pun on the"", 'start': 40.649, 'duration': 4.921}, {'text': 'Japanese word rui-zhi meaning similar', 'start': 42.96, 'duration': 4.74}, {'text': ""all of Luigi's character sprites and"", 'start': 45.57, 'duration': 4.44}, {'text': 'early Mario games were simple recolored', 'start': 47.7, 'duration': 4.98}, {'text': 'copies of Mario sprites and since Luigi', 'start': 50.01, 'duration': 4.65}, {'text': ""was already an Italian name like Mario's"", 'start': 52.68, 'duration': 3.83}, {'text': 'the name seemed to fit perfectly', 'start': 54.66, 'duration': 4.829}, {'text': 'Miyamoto has also stated that Mario and', 'start': 56.51, 'duration': 5.349}, {'text': 'Luigi arm Anonymous meaning that they', 'start': 59.489, 'duration': 3.96}, {'text': 'have no last name', 'start': 61.859, 'duration': 3.45}, {'text': 'the statement also makes it clear that', 'start': 63.449, 'duration': 4.021}, {'text': 'Mario and Luigi surnames were', 'start': 65.309, 'duration': 4.471}, {'text': 'incorrectly stated as Mario in Super', 'start': 67.47, 'duration': 4.62}, {'text': 'Mario Brothers the movie and that', 'start': 69.78, 'duration': 4.8}, {'text': ""Miyamoto likely didn't have any part in"", 'start': 72.09, 'duration': 4.169}, {'text': 'the decision to give them a last name', 'start': 74.58, 'duration': 3.929}, {'text': 'according to Nintendo the brothers are', 'start': 76.259, 'duration': 4.771}, {'text': 'also twins with Mario being slightly', 'start': 78.509, 'duration': 5.22}, {'text': 'older than Luigi the names of Mario &', 'start': 81.03, 'duration': 5.22}, {'text': ""Luigi's evil doppelgangers Wario and"", 'start': 83.729, 'duration': 5.161}, {'text': 'Waluigi also have interesting origins', 'start': 86.25, 'duration': 5.07}, {'text': ""although Wario's name appears to simply"", 'start': 88.89, 'duration': 4.68}, {'text': ""be a copy of Mario's with the M flipped"", 'start': 91.32, 'duration': 4.259}, {'text': 'upside down his name is actually a', 'start': 93.57, 'duration': 4.86}, {'text': 'portmanteau of Mario and waddly a', 'start': 95.579, 'duration': 5.761}, {'text': 'Japanese word meaning bad so Wario', 'start': 98.43, 'duration': 5.759}, {'text': 'basically means bad Mario this is also', 'start': 101.34, 'duration': 5.16}, {'text': 'the case of why Luigi his name is a', 'start': 104.189, 'duration': 5.161}, {'text': 'portmanteau of watery and Luigi while', 'start': 106.5, 'duration': 5.04}, {'text': ""Luigi's name works even better in Japan"", 'start': 109.35, 'duration': 4.589}, {'text': 'where his name is pronounced Poirot eg', 'start': 111.54, 'duration': 4.59}, {'text': 'this watery concept was potentially', 'start': 113.939, 'duration': 3.811}, {'text': 'going to go even farther while', 'start': 116.13, 'duration': 3.75}, {'text': 'developing mario tennis on the Nintendo', 'start': 117.75, 'duration': 4.259}, {'text': '64 there were talks of including a', 'start': 119.88, 'duration': 4.44}, {'text': 'female rival for Princess Peach named', 'start': 122.009, 'duration': 4.261}, {'text': 'wahoo peachy the character was', 'start': 124.32, 'duration': 4.169}, {'text': 'ultimately dismissed by Miyamoto another', 'start': 126.27, 'duration': 4.5}, {'text': ""good call by Shigeru and while we're"", 'start': 128.489, 'duration': 3.911}, {'text': 'discussing the origin stories', 'start': 130.77, 'duration': 4.24}, {'text': ""everyone's names bowser's Japanese name"", 'start': 132.4, 'duration': 5.309}, {'text': 'Koopa was chosen by Shigeru Miyamoto and', 'start': 135.01, 'duration': 4.8}, {'text': 'comes from a Korean dish called Gupta', 'start': 137.709, 'duration': 4.801}, {'text': 'which is known in japan as Koopa other', 'start': 139.81, 'duration': 4.739}, {'text': 'dishes Bowser was almost named after', 'start': 142.51, 'duration': 4.86}, {'text': 'where Yuka which is raw beef and bubinga', 'start': 144.549, 'duration': 5.58}, {'text': 'which is a mixed rice dish although the', 'start': 147.37, 'duration': 4.949}, {'text': ""Koopa Troopa enemies inherited Bowser's"", 'start': 150.129, 'duration': 4.23}, {'text': 'Japanese name they have a completely', 'start': 152.319, 'duration': 4.26}, {'text': ""different name in Japan they're known as"", 'start': 154.359, 'duration': 4.231}, {'text': 'no Conoco which is a Japanese word', 'start': 156.579, 'duration': 4.41}, {'text': ""that's onomatopoeia for doing something"", 'start': 158.59, 'duration': 5.399}, {'text': 'nonchalantly or unconcernedly the', 'start': 160.989, 'duration': 4.951}, {'text': 'goombas are called kuriboh in Japan', 'start': 163.989, 'duration': 4.5}, {'text': 'which roughly means chestnut people a', 'start': 165.94, 'duration': 4.29}, {'text': 'strange name especially when you', 'start': 168.489, 'duration': 3.601}, {'text': 'consider the fact that goombas are based', 'start': 170.23, 'duration': 4.47}, {'text': 'on shiitake mushrooms the goombas sprite', 'start': 172.09, 'duration': 4.5}, {'text': 'was apparently mislabeled by one of the', 'start': 174.7, 'duration': 3.78}, {'text': 'developers of the original Super Mario', 'start': 176.59, 'duration': 3.989}, {'text': 'Brothers as they thought it resembled a', 'start': 178.48, 'duration': 4.2}, {'text': 'chestnut this is why the goombas in', 'start': 180.579, 'duration': 4.41}, {'text': 'super mario world looked like chestnuts', 'start': 182.68, 'duration': 4.919}, {'text': ""that said they aren't technically"", 'start': 184.989, 'duration': 4.83}, {'text': ""goombas as they're defined as a separate"", 'start': 187.599, 'duration': 4.2}, {'text': 'enemy called kuribon in the Japanese', 'start': 189.819, 'duration': 9.48}, {'text': 'games there are many strange things in', 'start': 191.799, 'duration': 9.72}, {'text': 'Mario games some secrets are easy to', 'start': 199.299, 'duration': 4.111}, {'text': 'find but some are hidden away or', 'start': 201.519, 'duration': 3.511}, {'text': 'completely detached from the games', 'start': 203.41, 'duration': 4.65}, {'text': 'themselves in the PC version of Mario is', 'start': 205.03, 'duration': 5.429}, {'text': ""missing there's audio from the Star Trek"", 'start': 208.06, 'duration': 4.799}, {'text': 'the original series episode the ultimate', 'start': 210.459, 'duration': 5.67}, {'text': 'computer the file is named pat dot wave', 'start': 212.859, 'duration': 5.401}, {'text': 'and could be somehow linked to one of', 'start': 216.129, 'duration': 4.11}, {'text': ""the game's programmers Pat McCarthy"", 'start': 218.26, 'duration': 5.58}, {'text': 'Super Mario 3d Land also contains some', 'start': 220.239, 'duration': 5.97}, {'text': 'bizarre scenarios the first is in world', 'start': 223.84, 'duration': 5.069}, {'text': 'one 3 if you use the binoculars and look', 'start': 226.209, 'duration': 4.92}, {'text': ""upwards then wait you'll actually see a"", 'start': 228.909, 'duration': 5.22}, {'text': 'UFO fly by another weird secret occurs', 'start': 231.129, 'duration': 5.61}, {'text': 'in the worlds four four and eight four', 'start': 234.129, 'duration': 4.86}, {'text': 'in world four for a ghostly figure', 'start': 236.739, 'duration': 4.68}, {'text': 'appears if you wait by the flagpole at', 'start': 238.989, 'duration': 4.56}, {'text': 'the end of the level and what appears to', 'start': 241.419, 'duration': 4.65}, {'text': 'be the same ghost appears in a window in', 'start': 243.549, 'duration': 5.19}, {'text': 'world 8 four Paper Mario the', 'start': 246.069, 'duration': 4.801}, {'text': 'thousand-year door has multiple secrets', 'start': 248.739, 'duration': 3.451}, {'text': 'that were censored in the English', 'start': 250.87, 'duration': 3.6}, {'text': 'release the enemy redbones is called', 'start': 252.19, 'duration': 4.65}, {'text': 'Bharati Honan ago in japan which', 'start': 254.47, 'duration': 4.71}, {'text': 'translates roughly to bloody son of', 'start': 256.84, 'duration': 4.35}, {'text': 'bones this should have been altered to', 'start': 259.18, 'duration': 4.07}, {'text': 'bloody dull bones in the', 'start': 261.19, 'duration': 4.19}, {'text': 'versions of the game but the name was', 'start': 263.25, 'duration': 4.29}, {'text': 'effectively censored by removing any', 'start': 265.38, 'duration': 4.5}, {'text': ""notion of a bloody death this isn't the"", 'start': 267.54, 'duration': 4.2}, {'text': 'only case of blood being removed from', 'start': 269.88, 'duration': 4.05}, {'text': 'the game the house at the back alley of', 'start': 271.74, 'duration': 4.53}, {'text': 'rogue ports main square originally had a', 'start': 273.93, 'duration': 4.5}, {'text': 'tone shaped chalk outline and dried', 'start': 276.27, 'duration': 4.92}, {'text': 'blood on the floor unsurprisingly these', 'start': 278.43, 'duration': 4.56}, {'text': ""signs of violence don't appear in the"", 'start': 281.19, 'duration': 4.23}, {'text': 'English version of the game this is one', 'start': 282.99, 'duration': 5.04}, {'text': 'of my favorites Super Mario Sunshine has', 'start': 285.42, 'duration': 5.19}, {'text': 'a very strange horror inspired reference', 'start': 288.03, 'duration': 4.83}, {'text': 'in the level Sorrento Beach the mission', 'start': 290.61, 'duration': 4.77}, {'text': 'the Mantis storm seems to be referencing', 'start': 292.86, 'duration': 5.04}, {'text': ""Stephen King's The Shining at the end of"", 'start': 295.38, 'duration': 4.44}, {'text': 'the book which is very different from', 'start': 297.9, 'duration': 4.17}, {'text': 'the movie one of the characters notices', 'start': 299.82, 'duration': 5.37}, {'text': 'a ghostly manta shape floating away over', 'start': 302.07, 'duration': 5.22}, {'text': 'the hotel and that it was paper-thin', 'start': 305.19, 'duration': 3.57}, {'text': 'like a shadow', 'start': 307.29, 'duration': 3.93}, {'text': 'this shadow then broke into smaller and', 'start': 308.76, 'duration': 4.83}, {'text': 'smaller forms before turning into smoke', 'start': 311.22, 'duration': 5.19}, {'text': 'and drifting away in the game you break', 'start': 313.59, 'duration': 4.74}, {'text': 'the Manta into smaller and smaller', 'start': 316.41, 'duration': 4.11}, {'text': 'pieces by squirting water at it until', 'start': 318.33, 'duration': 4.92}, {'text': 'those pieces eventually puff away into', 'start': 320.52, 'duration': 4.86}, {'text': ""the air there's another strange secret"", 'start': 323.25, 'duration': 4.14}, {'text': 'in the no key Bay if you go inside the', 'start': 325.38, 'duration': 3.81}, {'text': 'bottle where the Red Coins are you', 'start': 327.39, 'duration': 3.69}, {'text': 'should be able to find a small rock', 'start': 329.19, 'duration': 4.08}, {'text': 'formation towards the back of the rocks', 'start': 331.08, 'duration': 4.23}, {'text': ""there's a small door inside that's"", 'start': 333.27, 'duration': 4.32}, {'text': 'impossible to open by glitching the', 'start': 335.31, 'duration': 4.26}, {'text': ""camera to see past the door you'll be"", 'start': 337.59, 'duration': 3.87}, {'text': 'able to see a brown book on the floor', 'start': 339.57, 'duration': 4.349}, {'text': 'the book is thought to be a part of a', 'start': 341.46, 'duration': 4.769}, {'text': ""scrapped mission as the area's original"", 'start': 343.919, 'duration': 4.891}, {'text': 'background music is titled the book in', 'start': 346.229, 'duration': 4.891}, {'text': 'the bottle in Pokemon Red and Blue if', 'start': 348.81, 'duration': 4.38}, {'text': ""you go to copy cats bedroom you'll find"", 'start': 351.12, 'duration': 4.26}, {'text': 'a Super Nintendo with a game featuring', 'start': 353.19, 'duration': 4.5}, {'text': 'Mario and a bucket on his head this is a', 'start': 355.38, 'duration': 4.59}, {'text': 'reference to the Japanese exclusive game', 'start': 357.69, 'duration': 4.92}, {'text': 'Mario and Mario another Nintendo game', 'start': 359.97, 'duration': 4.86}, {'text': ""developed by Game Freak it's strange"", 'start': 362.61, 'duration': 3.69}, {'text': 'that the game remained japan-exclusive', 'start': 364.83, 'duration': 4.29}, {'text': 'as the game itself is entirely in', 'start': 366.3, 'duration': 4.86}, {'text': 'english and finally did you know that', 'start': 369.12, 'duration': 4.41}, {'text': 'mario may actually have a mental', 'start': 371.16, 'duration': 3.95}, {'text': 'condition known as antisocial', 'start': 373.53, 'duration': 3.96}, {'text': 'personality disorder up through this', 'start': 375.11, 'duration': 4.03}, {'text': 'warp pipe to see why he gets this', 'start': 377.49, 'duration': 4.35}, {'text': 'diagnosis and what exactly it means for', 'start': 379.14, 'duration': 5.1}, {'text': ""Nintendo's signature mascot I'll be"", 'start': 381.84, 'duration': 6.17}, {'text': 'seeing you on the other side', 'start': 384.24, 'duration': 3.77}]"
HmAy,zGwKB6Jzjvg,[25],"[{'text': ""I said I wasn't gonna lose my head"", 'start': 0.0, 'duration': 6.23}, {'text': 'did you ever hear of the band Paul yeah', 'start': 6.589, 'duration': 2.951}, {'text': 'of course', 'start': 8.969, 'duration': 2.641}, {'text': 'everybody has they had that ridiculous', 'start': 9.54, 'duration': 4.65}, {'text': 'hair those ridiculous outfits and oh my', 'start': 11.61, 'duration': 5.57}, {'text': ""god you're one of them"", 'start': 14.19, 'duration': 2.99}, {'text': 'Alex Fletcher has one last shot at Fame', 'start': 18.43, 'duration': 5.02}, {'text': 'the show is called battle of the 80s', 'start': 21.5, 'duration': 3.75}, {'text': 'husbands we did actually broke up in', 'start': 23.45, 'duration': 4.02}, {'text': ""1992 so technically I'm a nineties has"", 'start': 25.25, 'duration': 4.74}, {'text': 'been all he needs Cora Courtland bigger', 'start': 27.47, 'duration': 4.17}, {'text': 'than Britney and Christina put together', 'start': 29.99, 'duration': 3.72}, {'text': ""is a hit I can't possibly write a hit"", 'start': 31.64, 'duration': 5.489}, {'text': 'song for her by Friday get it up from a', 'start': 33.71, 'duration': 6.3}, {'text': 'bad heart which no it was some magic', 'start': 37.129, 'duration': 6.211}, {'text': 'just my switch I would love to talk to', 'start': 40.01, 'duration': 5.79}, {'text': ""you about maybe writing summary I'm just"", 'start': 43.34, 'duration': 5.01}, {'text': 'here to cater to the plan that one is', 'start': 45.8, 'duration': 4.53}, {'text': 'plastic I met that guy from that band', 'start': 48.35, 'duration': 3.87}, {'text': 'used to like he invited me to come see', 'start': 50.33, 'duration': 5.969}, {'text': 'him perform tonight yeah now go', 'start': 52.22, 'duration': 7.369}, {'text': 'Buddhists are these bends through time', 'start': 56.299, 'duration': 5.881}, {'text': ""I'll do it it doesn't have to be puffy"", 'start': 59.589, 'duration': 5.981}, {'text': 'just spit it up a melody is like sex you', 'start': 62.18, 'duration': 6.51}, {'text': 'must forget that but then as you get to', 'start': 65.57, 'duration': 4.89}, {'text': ""know the person that's the lyrics"", 'start': 68.69, 'duration': 3.78}, {'text': ""they're stored by who they are"", 'start': 70.46, 'duration': 7.92}, {'text': ""underneath how's my good songwriter"", 'start': 72.47, 'duration': 8.189}, {'text': 'I slept sorry you slept with Sophie I', 'start': 78.38, 'duration': 5.93}, {'text': ""think she's up I gotta go"", 'start': 80.659, 'duration': 3.651}, {'text': 'q great win-win again', 'start': 88.67, 'duration': 4.36}, {'text': ""there isn't for something there's a lot"", 'start': 91.35, 'duration': 4.86}, {'text': ""of subject drew barrymore best time I've"", 'start': 93.03, 'duration': 4.47}, {'text': ""had in the last 15 years we're sitting"", 'start': 96.21, 'duration': 3.36}, {'text': ""at that piano with you it's wonderfully"", 'start': 97.5, 'duration': 4.35}, {'text': 'sensitive especially for a man with such', 'start': 99.57, 'duration': 4.62}, {'text': 'tight pants it forces all the blood to', 'start': 101.85, 'duration': 6.659}, {'text': ""my heart music and lyrics I've been"", 'start': 104.19, 'duration': 7.319}, {'text': 'sleeping where the clown above math bed', 'start': 108.509, 'duration': 4.981}, {'text': 'clown is not right what is that word out', 'start': 111.509, 'duration': 5.071}, {'text': ""loud in your bed let me tell you we're"", 'start': 113.49, 'duration': 5.69}, {'text': 'not be the first time', 'start': 116.58, 'duration': 2.6}]"
hKAy,oAFoeTcD0IA,"[0, 1]",
