siBe,4rn0t6RvCa8,"[730, 2415]",
VSBe,tsO4C6qwbwc,"[5, 49]","[{'text': 'boy', 'start': 0.729, 'duration': 2.421}, {'text': ""with the box and you'll deal with a"", 'start': 10.12, 'duration': 3.01}, {'text': 'little', 'start': 12.59, 'duration': 3.72}, {'text': 'me and little woman they have no boys or', 'start': 13.13, 'duration': 3.93}, {'text': 'girls there', 'start': 16.31, 'duration': 4.11}, {'text': 'he has their own something like all but', 'start': 17.06, 'duration': 8.64}, {'text': 'instead a little house okay the little', 'start': 20.42, 'duration': 7.59}, {'text': ""woman was the bacons in Japan I'm a"", 'start': 25.7, 'duration': 5.66}, {'text': 'legitimate boy she said so she rolled up', 'start': 28.01, 'duration': 8.46}, {'text': 'choo old Dunc out flat and cut in it in', 'start': 31.36, 'duration': 12.4}, {'text': 'the shape of a little boy she made him', 'start': 36.47, 'duration': 9.0}, {'text': 'to good-sized feet', 'start': 43.76, 'duration': 3.93}, {'text': 'did he give him a and the mouth and', 'start': 45.47, 'duration': 7.019}, {'text': 'raisins and corner and corn it in stuck', 'start': 47.69, 'duration': 8.43}, {'text': 'on a crude drop of movie and then come', 'start': 52.489, 'duration': 12.81}, {'text': 'and drop oh noes she put a roll down the', 'start': 56.12, 'duration': 11.88}, {'text': 'front of this jacket four buttons there', 'start': 65.299, 'duration': 5.131}, {'text': ""she said you know I'll have religion to"", 'start': 68.0, 'duration': 5.09}, {'text': 'a boy of my own', 'start': 70.43, 'duration': 2.66}, {'text': 'she put she put it in a pan and popped', 'start': 73.63, 'duration': 7.41}, {'text': 'it into other and close just then she', 'start': 78.07, 'duration': 5.52}, {'text': 'went about her where she been cleaning', 'start': 81.04, 'duration': 5.55}, {'text': 'cleaning and she forgot all about the', 'start': 83.59, 'duration': 3.66}, {'text': 'little boy', 'start': 86.59, 'duration': 3.72}, {'text': 'meanwhile he baked all proud and over', 'start': 87.25, 'duration': 5.4}, {'text': 'and over and got very hot', 'start': 90.31, 'duration': 5.79}, {'text': 'oh my solo woman at last', 'start': 92.65, 'duration': 12.09}, {'text': 'did she write it for name burning open', 'start': 96.1, 'duration': 14.43}, {'text': 'the door up jump the gingerbread boy', 'start': 104.74, 'duration': 9.51}, {'text': 'hee-hop them down onto the floor he ran', 'start': 110.53, 'duration': 12.36}, {'text': 'across the kid out there and down the', 'start': 114.25, 'duration': 11.24}, {'text': 'rows fast', 'start': 122.89, 'duration': 2.6}, {'text': 'the little woman and the literally went', 'start': 127.11, 'duration': 19.84}, {'text': 'after her shouting stop stop boy they', 'start': 130.78, 'duration': 20.91}, {'text': ""couldn't catch him soon he came to"", 'start': 146.95, 'duration': 6.41}, {'text': 'account', 'start': 151.69, 'duration': 5.639}, {'text': 'mmm no good', 'start': 153.36, 'duration': 6.849}, {'text': 'stop little bit but I would like to eat', 'start': 157.329, 'duration': 7.861}, {'text': 'you oh the jimbo boy walked inside run', 'start': 160.209, 'duration': 7.681}, {'text': ""I've been away from my own I ran away"", 'start': 165.19, 'duration': 5.94}, {'text': 'the literal man I I came everything you', 'start': 167.89, 'duration': 4.319}, {'text': ""I can't"", 'start': 171.13, 'duration': 3.21}, {'text': ""so the helmet hasn't what he couldn't"", 'start': 172.209, 'duration': 8.101}, {'text': 'catch up Levante oh oh thank him to', 'start': 174.34, 'duration': 6.42}, {'text': 'horse', 'start': 180.31, 'duration': 3.209}, {'text': 'please stop it so the horse he looks', 'start': 180.76, 'duration': 3.42}, {'text': 'very good', 'start': 183.519, 'duration': 3.631}, {'text': 'eat pleasure to Bologna hard out I was', 'start': 184.18, 'duration': 5.06}, {'text': 'alone', 'start': 187.15, 'duration': 5.49}, {'text': 'our fare account', 'start': 189.24, 'duration': 6.7}, {'text': ""so those for an accident you couldn't"", 'start': 192.64, 'duration': 8.61}, {'text': 'catch them stop a boy buy-in but the', 'start': 195.94, 'duration': 8.13}, {'text': 'Lord will break into a bar with some men', 'start': 201.25, 'duration': 6.3}, {'text': 'were dancing weak the Duster saw a', 'start': 204.07, 'duration': 6.21}, {'text': 'liturgy with what in college got one so', 'start': 207.55, 'duration': 5.09}, {'text': 'fast', 'start': 210.28, 'duration': 2.36}, {'text': 'that can we live me too I can so first', 'start': 224.76, 'duration': 8.2}, {'text': ""oh sweet after him but they couldn't"", 'start': 231.49, 'duration': 5.67}, {'text': 'catch him the larger the dribble faster', 'start': 232.96, 'duration': 6.75}, {'text': 'faster than ever seeking to fill it up', 'start': 237.16, 'duration': 5.76}, {'text': ""more's when they when the moors it's all"", 'start': 239.71, 'duration': 9.17}, {'text': 'fine they come wait a bit wait a bit', 'start': 242.92, 'duration': 9.69}, {'text': ""Superboy didn't you bother mate eat but"", 'start': 248.88, 'duration': 8.46}, {'text': 'the dude boy last harder', 'start': 252.61, 'duration': 4.73}, {'text': ""I run away for searchers I can't"", 'start': 270.16, 'duration': 12.9}, {'text': ""that's amazement after him but you know"", 'start': 279.61, 'duration': 5.01}, {'text': ""there but they couldn't catch him or"", 'start': 283.06, 'duration': 6.18}, {'text': 'stop and try by this time Laguna boy was', 'start': 284.62, 'duration': 7.32}, {'text': 'very proud of himself he started and', 'start': 289.24, 'duration': 6.72}, {'text': ""he's doing imprint of of himself"", 'start': 291.94, 'duration': 8.55}, {'text': 'I meant he thought no o earth could', 'start': 295.96, 'duration': 8.28}, {'text': 'catch him he saw forth across the field', 'start': 300.49, 'duration': 5.91}, {'text': ""the fuck's up right here in begin to run"", 'start': 304.24, 'duration': 8.39}, {'text': 'but agenda my boy run faster Oh Sheldon', 'start': 306.4, 'duration': 6.23}, {'text': 'right you can determine I live every', 'start': 312.68, 'duration': 9.9}, {'text': ""woman those women I don't first I wasn't"", 'start': 318.949, 'duration': 6.301}, {'text': 'blessed for ever were born a full person', 'start': 322.58, 'duration': 6.42}, {'text': 'always answered about how I roll over to', 'start': 325.25, 'duration': 5.09}, {'text': 'I can I can', 'start': 329.0, 'duration': 4.53}, {'text': ""why is it the Fox frankly I wouldn't"", 'start': 330.34, 'duration': 5.169}, {'text': 'catch you if I could just an', 'start': 333.53, 'duration': 5.1}, {'text': 'illegitimate boy king so while wizard he', 'start': 335.509, 'duration': 7.821}, {'text': 'did dr. Jones away if you were too cool', 'start': 338.63, 'duration': 4.7}, {'text': 'the people were still falling again to', 'start': 347.26, 'duration': 12.49}, {'text': 'cross the river or they would catch him', 'start': 357.47, 'duration': 6.09}, {'text': 'the flock saw this incent jump all my', 'start': 359.75, 'duration': 6.27}, {'text': 'tail I will take your cross still into', 'start': 363.56, 'duration': 4.8}, {'text': 'my boy jumped onto the Fox stop and the', 'start': 366.02, 'duration': 7.649}, {'text': 'function to the river when the food a', 'start': 368.36, 'duration': 12.57}, {'text': 'witch in the river the Fox sued the', 'start': 373.669, 'duration': 10.891}, {'text': 'winter proposed think I think I got you', 'start': 380.93, 'duration': 7.44}, {'text': 'have a bet you get I have better get on', 'start': 384.56, 'duration': 6.66}, {'text': ""my back we might fall off don't you boy"", 'start': 388.37, 'duration': 5.37}, {'text': ""don't we gonna flock this back at this"", 'start': 391.22, 'duration': 5.1}, {'text': 'favoring a little Firefox and the water', 'start': 393.74, 'duration': 8.76}, {'text': 'is V you may get wet where are you on my', 'start': 396.32, 'duration': 8.159}, {'text': 'shoulder Solyndra boo boy jumped out of', 'start': 402.5, 'duration': 6.449}, {'text': ""Fox's shoulder when they were near the"", 'start': 404.479, 'duration': 6.091}, {'text': 'other side that has a fox fan of', 'start': 408.949, 'duration': 3.601}, {'text': 'symmetry that world grows deeper still', 'start': 410.57, 'duration': 6.029}, {'text': ""don't know jump up - of window boxes to"", 'start': 412.55, 'duration': 7.02}, {'text': 'the bring ashore then do better says', 'start': 416.599, 'duration': 5.731}, {'text': ""snip have the near oh boy who's going"", 'start': 419.57, 'duration': 6.56}, {'text': 'slips up he was terrible snip snip snip', 'start': 422.33, 'duration': 7.53}, {'text': 'snap snip at last', 'start': 426.13, 'duration': 7.6}, {'text': 'he went Oh every single judge aboveboard', 'start': 429.86, 'duration': 12.18}, {'text': 'and everything he was all gone so little', 'start': 433.73, 'duration': 10.2}, {'text': 'bit on me and they can the horse in', 'start': 442.04, 'duration': 4.86}, {'text': 'Fishers in the most went home again', 'start': 443.93, 'duration': 10.73}, {'text': 'oh the Fox had a good long nap', 'start': 446.9, 'duration': 7.76}]"
m7Be,aZQc71UvsW0,[432],
GSBe,NPhSGl221HA,"[0, 1]",
JHBe,NVrkxdVwl7k,"[2, 18, 43, 59, 76, 3285]",
wrBe,t9wA51_SPZY,"[451, 1009]",
EsBe,QQhbM6ErhW8,[8],
FMBe,nFKveXfq1C8,"[0, 63, 167]",
JjBe,jOPmiVcORJk,"[3, 675]",
aEBe,jX9XgwpTQKw,"[0, 1]",
bABe,-0GMy_f5YLo,"[0, 1092, 1175, 3270]",
pcBe,-622RHzLZwA,"[11, 20, 22, 29, 32, 112, 472, 1827, 3380]","[{'text': 'today we will make akatsuki Korean cube', 'start': 1.669, 'duration': 10.111}, {'text': 'reddish games clear radish with water', 'start': 5.279, 'duration': 9.421}, {'text': 'cut the edges of radiation threw them', 'start': 11.78, 'duration': 7.419}, {'text': 'away and cut the radish into bite-size', 'start': 14.7, 'duration': 7.04}, {'text': 'tube', 'start': 19.199, 'duration': 2.541}, {'text': 'sprinkle some salt and sugar over the', 'start': 40.74, 'duration': 14.65}, {'text': 'radish mix them real and share water to', 'start': 43.36, 'duration': 17.01}, {'text': 'the sieve when the water is trained off', 'start': 55.39, 'duration': 8.13}, {'text': 'as a half cup of red pepper powder into', 'start': 60.37, 'duration': 9.14}, {'text': 'the radish and mix them well', 'start': 63.52, 'duration': 5.99}, {'text': 'after 30 minutes we can get a', 'start': 73.43, 'duration': 8.55}, {'text': ""well-seasoned cube radish let's make a"", 'start': 75.71, 'duration': 12.0}, {'text': 'thought for the chive cut the green', 'start': 81.98, 'duration': 8.18}, {'text': 'onion', 'start': 87.71, 'duration': 2.45}, {'text': 'amid the ginger prepare a rest of the', 'start': 98.14, 'duration': 12.75}, {'text': 'red pepper powder add minced ginger', 'start': 108.29, 'duration': 6.21}, {'text': 'minced garlic fish sauce and water and', 'start': 110.89, 'duration': 17.83}, {'text': 'mix them well as chive onion and salt', 'start': 114.5, 'duration': 19.26}, {'text': 'into the radish mix them well in your', 'start': 128.72, 'duration': 7.37}, {'text': 'hand', 'start': 133.76, 'duration': 2.33}, {'text': 'and let them marinate in the', 'start': 149.51, 'duration': 10.63}, {'text': 'refrigerator for a day was so take it as', 'start': 152.37, 'duration': 10.83}, {'text': 'much as you can it onto the play keep', 'start': 160.14, 'duration': 7.32}, {'text': 'the rest of it in the refrigerator you', 'start': 163.2, 'duration': 6.75}, {'text': 'can you know spicy and see Korean cube', 'start': 167.46, 'duration': 7.91}, {'text': 'radish kimchi whenever you want enjoy it', 'start': 169.95, 'duration': 5.42}]"
V0Be,-9_HinTxGA4,[3],
VRBe,tWrCV4EdEDk,[14],
TmBe,Ft7Nvb69nQc,"[3, 4, 10, 13]",
nwBe,Kh0susN5WtY,"[9, 10, 34, 37]","[{'text': 'I want to point out a couple of minor', 'start': 0.0, 'duration': 5.899}, {'text': ""errors in the can't you hear me knocking"", 'start': 2.54, 'duration': 5.309}, {'text': 'instructional video that was posted', 'start': 5.899, 'duration': 6.881}, {'text': 'previously the opening riff is shown', 'start': 7.849, 'duration': 12.581}, {'text': ""like this that's not correct listen to"", 'start': 12.78, 'duration': 9.18}, {'text': 'the CD and you can hear the difference', 'start': 20.43, 'duration': 3.75}, {'text': 'on the second part of the riff instead', 'start': 21.96, 'duration': 4.22}, {'text': 'of staying on the 3rd and 4th strings', 'start': 24.18, 'duration': 4.53}, {'text': 'Keith drops down to the 4th and 5th', 'start': 26.18, 'duration': 19.469}, {'text': ""strings so it's like this not like this"", 'start': 28.71, 'duration': 16.939}, {'text': ""it's like this second part of the rift"", 'start': 45.92, 'duration': 14.47}, {'text': ""is shown like this that's not correct"", 'start': 52.92, 'duration': 9.99}, {'text': 'listen to the CD and you can hear the', 'start': 60.39, 'duration': 5.22}, {'text': 'indistinct notes that Keith does is the', 'start': 62.91, 'duration': 5.1}, {'text': 'second string rings out by itself and', 'start': 65.61, 'duration': 5.189}, {'text': 'then open and then the third string by', 'start': 68.01, 'duration': 6.109}, {'text': ""itself so it's like this"", 'start': 70.799, 'duration': 3.32}, {'text': ""okay it's okay slowly from the top"", 'start': 77.22, 'duration': 13.05}, {'text': 'okay the rest of the video is pretty', 'start': 135.38, 'duration': 3.46}, {'text': 'much accurate just wanted to point out', 'start': 137.28, 'duration': 4.74}, {'text': 'those two minor differences there listen', 'start': 138.84, 'duration': 5.04}, {'text': 'to both ways and then listen to the CD', 'start': 142.02, 'duration': 4.08}, {'text': ""and I think you'll will see that this is"", 'start': 143.88, 'duration': 3.83}, {'text': 'a slight improvement over the previous', 'start': 146.1, 'duration': 5.9}, {'text': 'video take care guys', 'start': 147.71, 'duration': 4.29}]"
1HBe,Koc_3ODRerk,[1749],
VvBe,KwKiHzKW3vY,"[0, 1, 799, 815]",
evBe,Kz-hvxvZqi8,"[15, 18, 170]",
xvBe,ufrOjIcSV9k,[0],
h2Be,ujSJeCSC1Gg,"[15, 96, 141]",
U0Be,vJ5nqN50rWk,[9],
WbBe,vO3cdF7vQlw,"[15, 49, 80, 265, 533, 694]",
ZzBe,vTWeIaj3Pos,"[0, 215, 611]","[{'text': 'back to the Golden Nugget with more of', 'start': 1.84, 'duration': 5.619}, {'text': 'Poker After Dark the cash game and tell', 'start': 4.549, 'duration': 4.891}, {'text': 'me why all lived up in the Bay Area at', 'start': 7.459, 'duration': 13.761}, {'text': 'one point Tom Dwan takes up two queens', 'start': 9.44, 'duration': 11.78}, {'text': 'the dirt come clean what is it at one', 'start': 25.06, 'duration': 13.93}, {'text': 'point Tom Dwan was a regular old Boston', 'start': 36.59, 'duration': 4.53}, {'text': ""University student but now he's become"", 'start': 38.99, 'duration': 4.23}, {'text': 'one of the most feared players in all of', 'start': 41.12, 'duration': 4.88}, {'text': 'Poker Wow', 'start': 43.22, 'duration': 2.78}, {'text': 'top set for Antonio what Phil Hellmuth', 'start': 49.18, 'duration': 6.94}, {'text': 'think solution we Alex record number', 'start': 54.11, 'duration': 6.0}, {'text': ""push-ups 24 I've heard you guys bet on"", 'start': 56.12, 'duration': 6.119}, {'text': 'it did you do this I now actually know', 'start': 60.11, 'duration': 3.48}, {'text': ""what the world's ready to be is a bright"", 'start': 62.239, 'duration': 3.721}, {'text': ""but no so you don't know what World"", 'start': 63.59, 'duration': 5.22}, {'text': 'Records for push-ups do I do you know', 'start': 65.96, 'duration': 5.549}, {'text': 'the world record for push-ups I think', 'start': 68.81, 'duration': 5.519}, {'text': 'this came up yesterday oh yeah because', 'start': 71.509, 'duration': 6.691}, {'text': 'he knew exactly what I know I think I', 'start': 74.329, 'duration': 5.731}, {'text': 'know what it is the number of girls but', 'start': 78.2, 'duration': 4.259}, {'text': 'wait I just want to tell the world some', 'start': 80.06, 'duration': 4.379}, {'text': 'guy did ten thousand five hundred and', 'start': 82.459, 'duration': 4.02}, {'text': 'two push-ups wow I thought it was six', 'start': 84.439, 'duration': 5.901}, {'text': 'thousand how long a period in two days', 'start': 86.479, 'duration': 6.45}, {'text': 'Antonio tried to check raise the turn', 'start': 90.34, 'duration': 6.01}, {'text': ""and it just blew up in his face it's"", 'start': 92.929, 'duration': 5.46}, {'text': 'online you can read about it yeah', 'start': 96.35, 'duration': 5.839}, {'text': 'ten thousand five hundred and', 'start': 98.389, 'duration': 3.8}, {'text': 'I sold everything out of position kill', 'start': 108.87, 'duration': 4.1}, {'text': 'belittle do this here comes Tom Dwan', 'start': 113.06, 'duration': 16.66}, {'text': 'Gerace and how on earth is Antonio going', 'start': 124.44, 'duration': 8.93}, {'text': 'to be able to put him on a set of Queens', 'start': 129.72, 'duration': 3.65}, {'text': 'tough to imagine the Tom checked 6/8', 'start': 155.34, 'duration': 5.289}, {'text': 'pocket nines or pocket queens on the', 'start': 158.379, 'duration': 17.521}, {'text': 'turn this is gonna cost Antonio some', 'start': 160.629, 'duration': 19.911}, {'text': 'money the only question is how much', 'start': 175.9, 'duration': 4.64}, {'text': 'all right Owen look more New York give', 'start': 221.3, 'duration': 12.25}, {'text': 'me a rough this top 20 I call I just', 'start': 227.58, 'duration': 7.11}, {'text': ""wasn't sure if you got 100 more I'm"", 'start': 233.55, 'duration': 1.56}, {'text': 'sorry', 'start': 234.69, 'duration': 5.64}, {'text': ""yes sick let's call to Audi that's so"", 'start': 235.11, 'duration': 10.32}, {'text': ""sick hey I'm with 2 outing with one"", 'start': 240.33, 'duration': 7.05}, {'text': 'outing he threw away a queen you to a', 'start': 245.43, 'duration': 10.589}, {'text': 'clean yep Queen yes that is sick nothing', 'start': 247.38, 'duration': 10.77}, {'text': 'but empty felt in front of Antonio', 'start': 256.019, 'duration': 11.551}, {'text': ""Esfandiari enjoy it's the right supplies"", 'start': 258.15, 'duration': 11.19}, {'text': ""for 10 or 20 I can enjoy but I can't"", 'start': 267.57, 'duration': 5.52}, {'text': 'developing these two dollars it was a', 'start': 269.34, 'duration': 9.72}, {'text': 'one outer sir yeah I need to see the', 'start': 273.09, 'duration': 7.889}, {'text': ""genius plays you're making kids feel"", 'start': 279.06, 'duration': 4.35}, {'text': ""score that wasn't one outer Wow"", 'start': 280.979, 'duration': 6.181}, {'text': 'something nice answer sorry boys please', 'start': 283.41, 'duration': 7.71}, {'text': ""Bob no need to say sorry it's vulgar"", 'start': 287.16, 'duration': 6.909}, {'text': 'antonio going deeper into the hole while', 'start': 291.12, 'duration': 6.269}, {'text': 'dois is climbing out', 'start': 294.069, 'duration': 3.32}]"
