Dsgf,QqaHttkPIck,[11],"[{'text': ""mm-hmm oh oh that's player right there"", 'start': 8.03, 'duration': 7.829}, {'text': ""they're keeping it so trill right now"", 'start': 12.83, 'duration': 6.85}, {'text': 'jacuzzi all up in this pizza yowser', 'start': 15.859, 'duration': 9.461}, {'text': 'yowser all right a little TV a little', 'start': 19.68, 'duration': 9.39}, {'text': 'peekaboo TV peek-a-boo I see you', 'start': 25.32, 'duration': 7.62}, {'text': 'oh I see you you did YouTube Facebook', 'start': 29.07, 'duration': 5.04}, {'text': ""Twitter sure maybe they're just making"", 'start': 32.94, 'duration': 4.11}, {'text': 'wonder the soup ah off fish shoo', 'start': 34.11, 'duration': 5.01}, {'text': 'food of you kids Iggy baby I know you', 'start': 37.05, 'duration': 8.4}, {'text': ""can hear listen man it's 2013 baby 2013"", 'start': 39.12, 'duration': 8.82}, {'text': 'time to do a big in a major way I wanted', 'start': 45.45, 'duration': 4.23}, {'text': 'to start my video off just a little bit', 'start': 47.94, 'duration': 3.63}, {'text': 'different I know you used to be getting', 'start': 49.68, 'duration': 3.33}, {'text': 'rain to the full review so what I want', 'start': 51.57, 'duration': 4.05}, {'text': 'to do with this particular drop out here', 'start': 53.01, 'duration': 4.83}, {'text': ""and legend Connecticut I'm all about Fox"", 'start': 55.62, 'duration': 5.369}, {'text': 'were casinos and after Fox with casinos', 'start': 57.84, 'duration': 5.73}, {'text': ""I'm all about Abby's Lantern Hill Inn"", 'start': 60.989, 'duration': 4.411}, {'text': 'which is about two minutes from the', 'start': 63.57, 'duration': 3.6}, {'text': ""casino I'm talking about if you look to"", 'start': 65.4, 'duration': 4.11}, {'text': ""your left path you're right pal you see"", 'start': 67.17, 'duration': 5.519}, {'text': ""the casino that's how close it is now a"", 'start': 69.51, 'duration': 4.56}, {'text': 'sure you can stay at the casino if you', 'start': 72.689, 'duration': 4.141}, {'text': 'want you know but if you trick all your', 'start': 74.07, 'duration': 3.93}, {'text': 'money off at the casino', 'start': 76.83, 'duration': 2.88}, {'text': ""I'll have a little bit money to play"", 'start': 78.0, 'duration': 4.08}, {'text': 'with you can still sleep good and you', 'start': 79.71, 'duration': 4.979}, {'text': 'can eat even better I mean I like my', 'start': 82.08, 'duration': 4.649}, {'text': 'french toast I like my eggs you know I', 'start': 84.689, 'duration': 4.29}, {'text': 'love my bacon extra crispy baby', 'start': 86.729, 'duration': 5.161}, {'text': ""something to just get apartment let's"", 'start': 88.979, 'duration': 5.75}, {'text': 'make this food review happen only here', 'start': 91.89, 'duration': 5.7}, {'text': ""Abbey's Lantern Hillman ledger"", 'start': 94.729, 'duration': 4.721}, {'text': 'Connecticut oh yes like I was talking', 'start': 97.59, 'duration': 6.139}, {'text': ""before Abbey's Lansing Hill Inn well"", 'start': 99.45, 'duration': 6.69}, {'text': 'after a long night of rest and', 'start': 103.729, 'duration': 4.57}, {'text': ""relaxation baby it's all about that"", 'start': 106.14, 'duration': 4.24}, {'text': 'breakfast water food and', 'start': 108.299, 'duration': 4.221}, {'text': 'you know I got to bring you in for this', 'start': 110.38, 'duration': 6.04}, {'text': 'one right you know not playing with your', 'start': 112.52, 'duration': 10.86}, {'text': 'emotions toasters on time not like my', 'start': 116.42, 'duration': 11.03}, {'text': 'eggs fried dyed and laid to the side and', 'start': 123.38, 'duration': 8.81}, {'text': 'does that bacon scream extra crispy', 'start': 127.45, 'duration': 14.77}, {'text': ""mm-hmm I'll give it it screams it now it"", 'start': 132.19, 'duration': 11.17}, {'text': ""doesn't stop right there"", 'start': 142.22, 'duration': 5.129}, {'text': ""oh no well there's more to be had french"", 'start': 143.36, 'duration': 4.62}, {'text': 'toast', 'start': 147.349, 'duration': 7.411}, {'text': 'oh I know you can taste it and let me', 'start': 147.98, 'duration': 8.009}, {'text': ""stop right here let's hop right in and"", 'start': 154.76, 'duration': 4.41}, {'text': 'just bring you in on that Sarah so over', 'start': 155.989, 'duration': 4.25}, {'text': 'there screaming my name', 'start': 159.17, 'duration': 7.069}, {'text': 'dang how you doing', 'start': 160.239, 'duration': 6.0}, {'text': ""I can't just talk about it I got to be"", 'start': 171.819, 'duration': 12.2}, {'text': ""about it it's time to go with the bacon"", 'start': 174.069, 'duration': 11.221}, {'text': 'mmm', 'start': 184.019, 'duration': 6.881}, {'text': 'the bacon game is laid down flat overly', 'start': 185.29, 'duration': 8.25}, {'text': ""crispy close to birth that's not"", 'start': 190.9, 'duration': 3.57}, {'text': 'happening here', 'start': 193.54, 'duration': 4.74}, {'text': 'no bacon has that crisp pop snap yeah', 'start': 194.47, 'duration': 6.42}, {'text': 'yeah yeah almost like those rice', 'start': 198.28, 'duration': 4.079}, {'text': 'krispies treats that you love so much', 'start': 200.89, 'duration': 3.36}, {'text': ""that's what's happening with the bacon"", 'start': 202.359, 'duration': 4.91}, {'text': 'look look at the bacon man pay attention', 'start': 204.25, 'duration': 6.12}, {'text': 'pay attention to the bacon game so', 'start': 207.269, 'duration': 5.86}, {'text': ""serious it's not a whole lot I can do"", 'start': 210.37, 'duration': 4.679}, {'text': ""with runny eggs that's why I always"", 'start': 213.129, 'duration': 4.321}, {'text': 'order my eggs fried died late to the', 'start': 215.049, 'duration': 5.61}, {'text': 'side but not everybody can get that', 'start': 217.45, 'duration': 5.34}, {'text': 'right the first time you order them', 'start': 220.659, 'duration': 4.2}, {'text': 'fried died led to the siding they leave', 'start': 222.79, 'duration': 3.539}, {'text': ""that little bit of run in there like I'm"", 'start': 224.859, 'duration': 3.78}, {'text': 'not in a marathon I told you fried dyed', 'start': 226.329, 'duration': 5.611}, {'text': 'and lay it aside you know when your mom', 'start': 228.639, 'duration': 5.011}, {'text': 'used to do this you stack up your food', 'start': 231.94, 'duration': 4.079}, {'text': 'underneath bring the fork into your run', 'start': 233.65, 'duration': 6.989}, {'text': ""slow oh yeah oh okay that's it take my"", 'start': 236.019, 'duration': 7.671}, {'text': 'bigger bigger', 'start': 240.639, 'duration': 3.051}, {'text': 'mm-hmm so far we have a two for two', 'start': 251.04, 'duration': 5.009}, {'text': 'light crispy bacon', 'start': 253.939, 'duration': 6.191}, {'text': 'oh we eggs properly fried dyed and laid', 'start': 256.049, 'duration': 6.141}, {'text': 'to the side', 'start': 260.13, 'duration': 3.9}, {'text': 'somebody better stop playing on my', 'start': 262.19, 'duration': 3.46}, {'text': 'emotions I may never leave', 'start': 264.03, 'duration': 4.77}, {'text': ""now I'm thinking to myself the toast I"", 'start': 265.65, 'duration': 5.31}, {'text': 'mean the most but your toes really', 'start': 268.8, 'duration': 3.57}, {'text': ""doesn't mean the most unless you have"", 'start': 270.96, 'duration': 3.44}, {'text': 'pay attention', 'start': 272.37, 'duration': 6.049}, {'text': 'mmm-hmm red raspberry baby', 'start': 274.4, 'duration': 7.09}, {'text': 'your own personalized cup of near', 'start': 278.419, 'duration': 5.921}, {'text': 'perfection for your toes spread on there', 'start': 281.49, 'duration': 5.34}, {'text': ""nice and smooth you know that's what the"", 'start': 284.34, 'duration': 5.34}, {'text': 'butter knife is all about called the', 'start': 286.83, 'duration': 5.19}, {'text': 'right utensils at the right time now', 'start': 289.68, 'duration': 3.78}, {'text': ""there's the red raspberry that's what I"", 'start': 292.02, 'duration': 2.25}, {'text': 'have happening', 'start': 293.46, 'duration': 6.57}, {'text': ""let's go in it's almost like somebody"", 'start': 294.27, 'duration': 8.42}, {'text': 'ran outside pick some fresh raspberries', 'start': 300.03, 'duration': 5.97}, {'text': 'put them in my hand I squeezed them in', 'start': 302.69, 'duration': 5.68}, {'text': 'my hand and just laid it flat on my', 'start': 306.0, 'duration': 4.289}, {'text': ""bread that's how fresh I'm talking"", 'start': 308.37, 'duration': 6.75}, {'text': ""listen hoo-wee now for what I've been"", 'start': 310.289, 'duration': 11.091}, {'text': 'waiting for hmm the French toast now', 'start': 315.12, 'duration': 10.079}, {'text': ""it's not your ordinary French toast this"", 'start': 321.38, 'duration': 5.349}, {'text': 'french toast was me just a little bit', 'start': 325.199, 'duration': 3.991}, {'text': ""different I'm used to you know irregular"", 'start': 326.729, 'duration': 4.831}, {'text': 'pieces of bread this french toast was', 'start': 329.19, 'duration': 4.5}, {'text': ""laid down to talk to me let's see we're"", 'start': 331.56, 'duration': 4.34}, {'text': 'saying', 'start': 333.69, 'duration': 2.21}, {'text': 'like buttery that maple syrup and maple', 'start': 341.64, 'duration': 8.17}, {'text': ""syrup I won't even necessarily say this"", 'start': 348.07, 'duration': 2.58}, {'text': 'just right', 'start': 349.81, 'duration': 3.03}, {'text': ""I probably lied to you that Mabel's"", 'start': 350.65, 'duration': 4.14}, {'text': ""there it's definitely near perfection"", 'start': 352.84, 'duration': 5.34}, {'text': 'maybe you want to talk about the powder', 'start': 354.79, 'duration': 7.95}, {'text': 'coating and the crisp pulse everything', 'start': 358.18, 'duration': 6.57}, {'text': 'you need to succeed for that early', 'start': 362.74, 'duration': 3.66}, {'text': ""morning breakfast so let's pay attention"", 'start': 364.75, 'duration': 4.05}, {'text': 'to the whole entire situation the super', 'start': 366.4, 'duration': 4.35}, {'text': ""combination one more time I'm talking"", 'start': 368.8, 'duration': 4.29}, {'text': 'about like crispy bacon pile you know', 'start': 370.75, 'duration': 3.9}, {'text': ""out of a one to five that's getting the"", 'start': 373.09, 'duration': 4.41}, {'text': ""four and a half I'm talking about the"", 'start': 374.65, 'duration': 5.04}, {'text': ""fried eggs fried I've laid to the side"", 'start': 377.5, 'duration': 5.01}, {'text': ""pop one two five I'm gonna definitely"", 'start': 379.69, 'duration': 5.85}, {'text': 'get that strong fourth no correction', 'start': 382.51, 'duration': 6.75}, {'text': 'four and a half on that to up the toast', 'start': 385.54, 'duration': 5.61}, {'text': 'the toast that means the most with the', 'start': 389.26, 'duration': 3.99}, {'text': 'red raspberries freshly squeezed in my', 'start': 391.15, 'duration': 3.36}, {'text': 'hand because they were just picked', 'start': 393.25, 'duration': 4.62}, {'text': ""outside time fresh 105 I'm giving that"", 'start': 394.51, 'duration': 6.3}, {'text': 'toast to five all day every day what I', 'start': 397.87, 'duration': 5.37}, {'text': 'like to call the grand finale is where', 'start': 400.81, 'duration': 5.25}, {'text': 'you were just saying moments ago with', 'start': 403.24, 'duration': 3.81}, {'text': 'our french toast', 'start': 406.06, 'duration': 3.69}, {'text': ""mmm that's a five all day that's a five"", 'start': 407.05, 'duration': 4.11}, {'text': 'all day because of the bread that was', 'start': 409.75, 'duration': 3.45}, {'text': 'chosen to make this french toast to lay', 'start': 411.16, 'duration': 4.2}, {'text': 'that powder game down flat and with that', 'start': 413.2, 'duration': 4.5}, {'text': 'extra crisp fresh tasty oh so sweet', 'start': 415.36, 'duration': 5.22}, {'text': 'maple syrup man listen this is a', 'start': 417.7, 'duration': 4.53}, {'text': ""combination platter right here that I'm"", 'start': 420.58, 'duration': 2.88}, {'text': 'telling is going to make sure you never', 'start': 422.23, 'duration': 2.82}, {'text': 'want to leave never want to go home this', 'start': 423.46, 'duration': 3.3}, {'text': ""is your main man named drops I'm here at"", 'start': 425.05, 'duration': 4.08}, {'text': ""Abby's Lansing he'll legit Connecticut"", 'start': 426.76, 'duration': 4.08}, {'text': 'precisely two minutes away from the', 'start': 429.13, 'duration': 3.81}, {'text': ""Foxwood casino so if you're going so far"", 'start': 430.84, 'duration': 3.87}, {'text': 'would make sure you stop here obvious', 'start': 432.94, 'duration': 4.44}, {'text': 'now my main girl alcohols going to take', 'start': 434.71, 'duration': 3.21}, {'text': 'care of you', 'start': 437.38, 'duration': 2.37}, {'text': 'hold you down gonna have a great night', 'start': 437.92, 'duration': 3.59}, {'text': ""stay it's gonna be a beautiful evening"", 'start': 439.75, 'duration': 4.65}, {'text': ""right now it's a beautiful morning then"", 'start': 441.51, 'duration': 5.82}, {'text': 'drops money baby', 'start': 444.4, 'duration': 2.93}, {'text': ""another day's another team drops"", 'start': 454.539, 'duration': 6.361}, {'text': 'jump', 'start': 461.13, 'duration': 3.0}, {'text': 'just jump', 'start': 464.26, 'duration': 3.17}]"
Cegf,QsmXowDf47s,[16],
Fcgf,PEppgtUXUYM,"[0, 1761]",
hUgf,HNMSHCZXoKE,"[64, 90, 2268]","[{'text': 'this is my cough Meister with RC sport', 'start': 0.5, 'duration': 4.9}, {'text': ""flier magazine today we're gonna do a"", 'start': 3.21, 'duration': 6.21}, {'text': 'performance test of the new OS G f40', 'start': 5.4, 'duration': 6.33}, {'text': 'this is a 40 cc single-cylinder', 'start': 9.42, 'duration': 6.719}, {'text': ""four-stroke engine bio s engines they've"", 'start': 11.73, 'duration': 6.9}, {'text': 'produced several two-stroke gas engines', 'start': 16.139, 'duration': 4.321}, {'text': 'over the past five years but this is the', 'start': 18.63, 'duration': 5.399}, {'text': 'first four-stroke gasoline engine the', 'start': 20.46, 'duration': 5.34}, {'text': 'recommended propeller for breakin is an', 'start': 24.029, 'duration': 4.291}, {'text': 'APC eighteen by eight which is what we', 'start': 25.8, 'duration': 4.739}, {'text': ""have installed right now so we're gonna"", 'start': 28.32, 'duration': 6.329}, {'text': ""go ahead and do a quick test we're gonna"", 'start': 30.539, 'duration': 5.671}, {'text': 'run the engine on manual control', 'start': 34.649, 'duration': 3.601}, {'text': 'throttle it up and down a little bit get', 'start': 36.21, 'duration': 4.05}, {'text': 'it warmed up then switch over to PC', 'start': 38.25, 'duration': 6.3}, {'text': 'control at which point time the engine', 'start': 40.26, 'duration': 6.69}, {'text': 'will run at idle for five seconds and at', 'start': 44.55, 'duration': 5.4}, {'text': '20% throttle for five seconds forty', 'start': 46.95, 'duration': 5.31}, {'text': 'percent for five seconds and so on up', 'start': 49.95, 'duration': 4.35}, {'text': 'until finally five seconds of full', 'start': 52.26, 'duration': 5.459}, {'text': ""throttle and while that's happening the"", 'start': 54.3, 'duration': 4.98}, {'text': 'computer is collecting the data on', 'start': 57.719, 'duration': 7.221}, {'text': 'throttle position rpm and thrust', 'start': 59.28, 'duration': 5.66}, {'text': '[Music]', 'start': 103.29, 'duration': 3.199}, {'text': 'the answer turned 8 8650 RPM producing', 'start': 146.75, 'duration': 8.62}, {'text': '17.8 pounds of thrust and at a distance', 'start': 151.819, 'duration': 4.631}, {'text': 'of 10 feet', 'start': 155.37, 'duration': 4.31}, {'text': '97 decibels', 'start': 156.45, 'duration': 3.23}]"
oRgf,SJmsxWNzhZQ,"[2, 7, 116, 469, 878, 1012]",
vIgf,SYG8WZpagbg,"[11, 62, 229, 749]",
NIgf,Sa66-7u8fwI,"[0, 1, 1441]",
Z7gf,0t4ywR4Dqmo,[88],
fjgf,-NaoRvIj9n0,"[8, 857]",
Lvgf,-XfAtOj_jug,"[2, 7, 198, 344]",
35gf,hoJiskxi67I,[2719],
qbgf,hrVMWjPWXqg,"[0, 1, 19]",
dYgf,htMSfIIVeNk,"[15, 18, 96, 463]",
