eEhu,tZ-IrAHKPw4,[25],
Lzhu,KMW_RU_IYuY,"[2, 7]","[{'text': 'but just get as much as you can on the', 'start': 6.12, 'duration': 5.11}, {'text': ""outer outer side and then we'll change"", 'start': 8.53, 'duration': 4.679}, {'text': 'the brush to a different type of wire', 'start': 11.23, 'duration': 7.6}, {'text': 'brush that you can use the inside yeah', 'start': 13.209, 'duration': 7.81}, {'text': 'the one the black put the ring outside', 'start': 18.83, 'duration': 4.17}, {'text': ""the carpet that way doesn't catch what"", 'start': 21.019, 'duration': 4.1}, {'text': 'the', 'start': 23.0, 'duration': 2.119}, {'text': 'this is the 1970 Subaru in progress', 'start': 62.19, 'duration': 8.11}, {'text': ""cleaning up the drums that's where the"", 'start': 67.3, 'duration': 7.05}, {'text': 'outer wheel is gonna be mounted and as', 'start': 70.3, 'duration': 4.98}, {'text': 'we speak', 'start': 74.35, 'duration': 5.7}, {'text': 'I just got my wheels chromed out and', 'start': 75.28, 'duration': 8.729}, {'text': 'these will go on there like so on you', 'start': 80.05, 'duration': 5.52}, {'text': 'know so I just got these chromed out', 'start': 84.009, 'duration': 7.651}, {'text': 'that had a chrome shop in Tijuana 40', 'start': 85.57, 'duration': 9.87}, {'text': 'bucks for the pair where they wanted', 'start': 91.66, 'duration': 9.15}, {'text': 'here they wanted 120 bucks a piece so I', 'start': 95.44, 'duration': 7.679}, {'text': ""laughed so I said in anyways I'm going"", 'start': 100.81, 'duration': 4.47}, {'text': 'down to TJ anyways they did a beautiful', 'start': 103.119, 'duration': 5.551}, {'text': ""job and now I'm cleaning the other ones"", 'start': 105.28, 'duration': 5.07}, {'text': 'the back ends and those are gonna be', 'start': 108.67, 'duration': 3.6}, {'text': 'painted because those are the inner', 'start': 110.35, 'duration': 7.32}, {'text': 'rings for the tires and I already got my', 'start': 112.27, 'duration': 9.989}, {'text': 'brand new white walls here with the', 'start': 117.67, 'duration': 8.48}, {'text': 'tubes so I got brand new white walls', 'start': 122.259, 'duration': 8.7}, {'text': ""right here from Coker tires and they're"", 'start': 126.15, 'duration': 7.2}, {'text': 'a hundred and thirty-five bucks apiece', 'start': 130.959, 'duration': 4.921}, {'text': 'so yes they were a little bit pricey', 'start': 133.35, 'duration': 6.34}, {'text': 'over 500 bucks for just regular size', 'start': 135.88, 'duration': 6.389}, {'text': 'tens and the progress on this van is', 'start': 139.69, 'duration': 5.85}, {'text': 'going pretty good I got the dent on the', 'start': 142.269, 'duration': 7.321}, {'text': 'side panel already out and most of the', 'start': 145.54, 'duration': 7.68}, {'text': ""cancer fiberglassed and it's going"", 'start': 149.59, 'duration': 6.27}, {'text': ""surely but you know for sure it's going"", 'start': 153.22, 'duration': 7.56}, {'text': 'him anyways keep everybody posted on my', 'start': 155.86, 'duration': 6.92}, {'text': 'progress', 'start': 160.78, 'duration': 7.28}, {'text': ""and this is the inner wheel that's been"", 'start': 162.78, 'duration': 11.52}, {'text': 'already sprayed by my son and as you can', 'start': 168.06, 'duration': 9.6}, {'text': ""see he's done a pretty good job anyways"", 'start': 174.3, 'duration': 6.47}, {'text': 'keep you guys posted', 'start': 177.66, 'duration': 3.11}]"
fMhu,NdSaWTNhwDs,"[39, 50, 65, 493, 866]","[{'text': 'Instant face and necklift is the only', 'start': 1.7, 'duration': 5.559}, {'text': 'alternative to plastic surgery to get', 'start': 4.83, 'duration': 4.7}, {'text': 'rid of the wrinkles around the mouth', 'start': 7.259, 'duration': 7.951}, {'text': 'eyes and neck without the pain and', 'start': 9.53, 'duration': 9.579}, {'text': 'expense try this simple test place your', 'start': 15.21, 'duration': 5.94}, {'text': 'fingers in front of your ears and your', 'start': 19.109, 'duration': 5.221}, {'text': 'thumbs at the end of the jaw then push', 'start': 21.15, 'duration': 5.07}, {'text': 'your skin upward and back', 'start': 24.33, 'duration': 4.89}, {'text': 'do you like what you see this is what', 'start': 26.22, 'duration': 5.269}, {'text': 'our instant facelift will do for you', 'start': 29.22, 'duration': 5.609}, {'text': 'each kit comes with 40 hypoallergenic', 'start': 31.489, 'duration': 7.271}, {'text': 'tapes too long elastic bands for the', 'start': 34.829, 'duration': 7.441}, {'text': 'face lift and one short elastic band for', 'start': 38.76, 'duration': 6.69}, {'text': 'the neck lift elastic bands come in two', 'start': 42.27, 'duration': 6.78}, {'text': 'colors dark for brown black and auburn', 'start': 45.45, 'duration': 7.08}, {'text': 'hair and light for blonde gray and white', 'start': 49.05, 'duration': 7.95}, {'text': 'hair insert the face elastic bands into', 'start': 52.53, 'duration': 8.009}, {'text': 'the top hole on the tape attach the neck', 'start': 57.0, 'duration': 5.85}, {'text': 'elastic band to the bottom hole on the', 'start': 60.539, 'duration': 6.201}, {'text': 'tape before applying separate your hair', 'start': 62.85, 'duration': 6.87}, {'text': 'thoroughly clean the area with alcohol', 'start': 66.74, 'duration': 12.22}, {'text': 'and let it dry peel off the paper lining', 'start': 69.72, 'duration': 17.009}, {'text': 'from the tape position the tape on the', 'start': 78.96, 'duration': 12.24}, {'text': 'face on the planned area rug well the', 'start': 86.729, 'duration': 9.201}, {'text': 'outer edges of the tape to adhere firmly', 'start': 91.2, 'duration': 4.73}, {'text': 'grab the ends of the elastic bands and', 'start': 99.799, 'duration': 5.89}, {'text': 'gently lift upward and place the hook to', 'start': 102.659, 'duration': 5.931}, {'text': 'the desired knot', 'start': 105.689, 'duration': 2.901}, {'text': 'for necklace peel off the paper lining', 'start': 115.17, 'duration': 25.39}, {'text': 'from both tapes apply one end first pull', 'start': 118.54, 'duration': 26.39}, {'text': 'the elastic band and apply the other end', 'start': 140.56, 'duration': 4.37}, {'text': 'rub the outer edges now you have the', 'start': 144.959, 'duration': 13.151}, {'text': 'plastic surgery look without the pain', 'start': 155.799, 'duration': 4.671}, {'text': 'and expense', 'start': 158.11, 'duration': 2.36}]"
Yhhu,NdWREiP6TpI,"[0, 1, 561, 959]",
HIhu,Udg1PLfLoHI,"[3, 4, 6, 10]",
mXhu,QFKaVWUffRo,"[0, 139]",
Qehu,QF3YmtIVoGw,"[6, 8]",
gwhu,_X35Oj7pPDU,"[4, 10, 13, 54, 168]",
TDhu,_mkHJK4yLYI,"[4, 9, 10, 34]",
Zzhu,OuvffA0ucew,"[53, 58, 228]",
6phu,WKQ-KDm9XtQ,[311],"[{'text': 'he cleaned twice here two times a year', 'start': 0.0, 'duration': 5.91}, {'text': 'yeah or basically for this guy', 'start': 2.19, 'duration': 6.34}, {'text': 'this comes off', 'start': 5.91, 'duration': 6.63}, {'text': 'good these are hand tight', 'start': 8.53, 'duration': 4.01}, {'text': 'okay would I have to shut the water off', 'start': 12.86, 'duration': 7.2}, {'text': 'huh cool huh okay so some water is going', 'start': 15.98, 'duration': 8.0}, {'text': 'to come out yeah this comes off okay', 'start': 20.06, 'duration': 11.159}, {'text': 'this comes off alright at this this is', 'start': 23.98, 'duration': 9.48}, {'text': 'what you clean all right so basically', 'start': 31.219, 'duration': 5.191}, {'text': ""you'd have your five gallon bucket put"", 'start': 33.46, 'duration': 5.38}, {'text': 'four gallons of water one gallon a full', 'start': 36.41, 'duration': 4.32}, {'text': 'acid muriatic acid alright and you drop', 'start': 38.84, 'duration': 4.08}, {'text': ""this bad boy and that's it that's it you"", 'start': 40.73, 'duration': 4.079}, {'text': ""let us sit in there 10 minutes it'll"", 'start': 42.92, 'duration': 3.93}, {'text': 'bubble then you put it on back you have', 'start': 44.809, 'duration': 4.681}, {'text': ""to flush the after that you'll hose it"", 'start': 46.85, 'duration': 3.99}, {'text': ""off when you're done and the gutter"", 'start': 49.49, 'duration': 3.839}, {'text': 'right back all right it goes on the same', 'start': 50.84, 'duration': 15.3}, {'text': 'way yeah how often do I to replace this', 'start': 53.329, 'duration': 17.521}, {'text': 'so yeah um it depends on how much you', 'start': 66.14, 'duration': 6.21}, {'text': 'remember to clean it twice a year okay', 'start': 70.85, 'duration': 3.979}, {'text': 'and', 'start': 72.35, 'duration': 2.479}, {'text': 'Oh', 'start': 80.73, 'duration': 2.0}, {'text': ""that's pretty much it it depends on how"", 'start': 89.48, 'duration': 4.67}, {'text': 'much you clean', 'start': 91.67, 'duration': 2.48}, {'text': 'so now we turn it on and make sure it', 'start': 98.329, 'duration': 5.281}, {'text': ""doesn't leave"", 'start': 101.25, 'duration': 2.36}, {'text': 'yeah yeah yeahs week', 'start': 118.45, 'duration': 2.93}]"
xKhu,WKbNywQYFbw,[734],"[{'text': ""my character isn't necessarily hired"", 'start': 0.32, 'duration': 7.289}, {'text': ""because or picked because he's a great"", 'start': 3.32, 'duration': 9.57}, {'text': 'shot or a good fighter or you know or', 'start': 7.609, 'duration': 7.801}, {'text': 'like healers character you know good', 'start': 12.89, 'duration': 5.16}, {'text': ""technician you know he's I think my"", 'start': 15.41, 'duration': 4.83}, {'text': ""character stood up here because he he's"", 'start': 18.05, 'duration': 6.72}, {'text': ""uh he's able to been able to stay alive"", 'start': 20.24, 'duration': 6.95}, {'text': 'he has good instincts and he knows when', 'start': 24.77, 'duration': 7.339}, {'text': 'went to went to take cover', 'start': 27.19, 'duration': 4.919}, {'text': ""whose is a I think I think he's very"", 'start': 32.86, 'duration': 8.61}, {'text': ""smart you know I think he doesn't he's"", 'start': 38.32, 'duration': 4.41}, {'text': 'not trying to be a hero', 'start': 41.47, 'duration': 4.05}, {'text': ""he doesn't have any fantasies about that"", 'start': 42.73, 'duration': 6.12}, {'text': 'he served his time overseas and I think', 'start': 45.52, 'duration': 6.96}, {'text': ""he feels like he's done fighting he"", 'start': 48.85, 'duration': 4.889}, {'text': ""comes home and there's there's another"", 'start': 52.48, 'duration': 3.06}, {'text': ""war on but I don't think he particularly"", 'start': 53.739, 'duration': 4.89}, {'text': ""feels like that's his his war to fight"", 'start': 55.54, 'duration': 6.54}, {'text': ""and there's so much corruption that it's"", 'start': 58.629, 'duration': 8.911}, {'text': 'it just seems pointless so he you know', 'start': 62.08, 'duration': 10.67}, {'text': ""he's trying to stay above it"", 'start': 67.54, 'duration': 5.21}, {'text': 'forced into a situation where everyone', 'start': 73.97, 'duration': 7.56}, {'text': 'has become complacent and they they', 'start': 76.28, 'duration': 6.69}, {'text': ""decide that they they're not going to"", 'start': 81.53, 'duration': 4.8}, {'text': 'you know sort of stand around and watch', 'start': 82.97, 'duration': 5.25}, {'text': 'it happen anymore so they sort of take', 'start': 86.33, 'duration': 5.18}, {'text': 'matters into their own hands', 'start': 88.22, 'duration': 3.29}, {'text': ""I think he feels that he's met his match"", 'start': 92.35, 'duration': 7.23}, {'text': ""in some way and I think that they're"", 'start': 95.64, 'duration': 7.06}, {'text': ""both they're putting themselves in such"", 'start': 99.58, 'duration': 4.89}, {'text': ""a dangerous situation and they don't"", 'start': 102.7, 'duration': 3.69}, {'text': ""know why so I think they're both forced"", 'start': 104.47, 'duration': 6.24}, {'text': 'to try and acknowledge why it is that', 'start': 106.39, 'duration': 5.64}, {'text': 'they were put themselves in such a', 'start': 110.71, 'duration': 3.57}, {'text': 'dangerous position there must be', 'start': 112.03, 'duration': 4.05}, {'text': ""something between them that's that's"", 'start': 114.28, 'duration': 4.04}, {'text': 'worth', 'start': 116.08, 'duration': 2.24}, {'text': ""josh is a perfect person to play O'Meara"", 'start': 120.27, 'duration': 8.4}, {'text': ""he's in terms of you know westerns and"", 'start': 123.049, 'duration': 7.93}, {'text': 'action movies and all the films of this', 'start': 128.67, 'duration': 5.99}, {'text': ""ilk I mean he's kind of done it all"", 'start': 130.979, 'duration': 3.681}, {'text': ""Stone who I've worked with before and we"", 'start': 135.33, 'duration': 7.26}, {'text': 'did a comedy together so and we get a', 'start': 138.63, 'duration': 5.67}, {'text': 'little goofy around each other so it was', 'start': 142.59, 'duration': 6.96}, {'text': 'hard for us to be dramatic and and be', 'start': 144.3, 'duration': 9.36}, {'text': 'serious but by hook or by crook I think', 'start': 149.55, 'duration': 6.83}, {'text': 'we kept a lid on it', 'start': 153.66, 'duration': 2.72}, {'text': ""they've really just done a bang-up job"", 'start': 157.21, 'duration': 5.34}, {'text': 'on on recreating the time period and you', 'start': 159.28, 'duration': 5.81}, {'text': 'know Reuben was a history major in in', 'start': 162.55, 'duration': 6.48}, {'text': ""University so he's uh he comes from it"", 'start': 165.09, 'duration': 6.37}, {'text': 'from that mindset he has a real', 'start': 169.03, 'duration': 5.91}, {'text': 'affection for the period and for the', 'start': 171.46, 'duration': 5.97}, {'text': ""details so I think that they've done a"", 'start': 174.94, 'duration': 5.45}, {'text': 'really beautiful job', 'start': 177.43, 'duration': 2.96}]"
