Bjma,NFd1VBYIEM4,[7],
1Vma,nvLNA--jrOc,"[2, 7, 198, 1038, 1158]","[{'text': '[Music]', 'start': 0.0, 'duration': 10.139}, {'text': ""don't mention a seven-year warranty this"", 'start': 7.4, 'duration': 5.409}, {'text': ""is the all-new Kia Cee'd it's a car that"", 'start': 10.139, 'duration': 5.25}, {'text': 'Kier hopes will stand on its own four', 'start': 12.809, 'duration': 4.741}, {'text': 'wheels up against such talented rivals', 'start': 15.389, 'duration': 4.771}, {'text': 'as the Ford Focus and Volkswagen Golf', 'start': 17.55, 'duration': 4.62}, {'text': 'this is the car that kia wants to', 'start': 20.16, 'duration': 3.75}, {'text': ""compete on equal terms it's got to be as"", 'start': 22.17, 'duration': 3.39}, {'text': ""good to drive it's got to be a spacious"", 'start': 23.91, 'duration': 3.24}, {'text': ""it's got to be as well built and okay"", 'start': 25.56, 'duration': 3.51}, {'text': 'yes it still has that seven year', 'start': 27.15, 'duration': 2.66}, {'text': 'warranty', 'start': 29.07, 'duration': 2.76}, {'text': ""initially it looks great it's got that"", 'start': 29.81, 'duration': 4.839}, {'text': 'new Tiger nose swooping flanks and a', 'start': 31.83, 'duration': 5.04}, {'text': ""Alfa like rear end but what's it going"", 'start': 34.649, 'duration': 4.98}, {'text': ""to be like to drive if you're after an"", 'start': 36.87, 'duration': 4.98}, {'text': 'easy comfortable drive then the new Kia', 'start': 39.629, 'duration': 4.291}, {'text': ""Cee'd will be right up your street but"", 'start': 41.85, 'duration': 4.049}, {'text': ""that doesn't mean it's good to drive the"", 'start': 43.92, 'duration': 3.389}, {'text': 'steering in particular feels a little', 'start': 45.899, 'duration': 3.84}, {'text': 'bit odd its overly light but not linear', 'start': 47.309, 'duration': 4.081}, {'text': 'in its inputs and I also found myself', 'start': 49.739, 'duration': 3.451}, {'text': 'constantly correcting it on straight', 'start': 51.39, 'duration': 4.559}, {'text': 'roads the ride is mostly okay though', 'start': 53.19, 'duration': 4.41}, {'text': ""it's a little on the firm side but"", 'start': 55.949, 'duration': 3.601}, {'text': ""generally comfortable then there's the"", 'start': 57.6, 'duration': 3.93}, {'text': 'engines to petrels and to diesels and', 'start': 59.55, 'duration': 3.329}, {'text': 'none of them offer scintillating', 'start': 61.53, 'duration': 3.36}, {'text': 'performance we were really impressed', 'start': 62.879, 'duration': 3.6}, {'text': 'with the interior quality of the car', 'start': 64.89, 'duration': 4.14}, {'text': ""it's very swish and very European not"", 'start': 66.479, 'duration': 3.901}, {'text': 'surprising as the car was designed', 'start': 69.03, 'duration': 3.15}, {'text': 'developed and is built in Europe', 'start': 70.38, 'duration': 3.39}, {'text': ""I'd say it's up there with VW for"", 'start': 72.18, 'duration': 3.689}, {'text': ""quality right now we're the seed really"", 'start': 73.77, 'duration': 4.11}, {'text': 'scores though is on space and comfort', 'start': 75.869, 'duration': 5.011}, {'text': ""this is a seriously spacious car it's"", 'start': 77.88, 'duration': 4.29}, {'text': 'longer than the old car and that pays', 'start': 80.88, 'duration': 2.94}, {'text': ""dividends that's plenty of space up"", 'start': 82.17, 'duration': 3.12}, {'text': 'front and lots of adjustment to get', 'start': 83.82, 'duration': 3.93}, {'text': ""comfy it's the same story in the back"", 'start': 85.29, 'duration': 3.869}, {'text': 'where they have more space than in most', 'start': 87.75, 'duration': 3.509}, {'text': ""rivals I'm 6 feet tall and there's"", 'start': 89.159, 'duration': 3.481}, {'text': 'plenty of legroom and space for me to', 'start': 91.259, 'duration': 2.851}, {'text': 'wear a hat without hitting the roof', 'start': 92.64, 'duration': 3.21}, {'text': ""further back in the boot it's a sensible"", 'start': 94.11, 'duration': 3.84}, {'text': ""shape and a decent size and it's bigger"", 'start': 95.85, 'duration': 3.69}, {'text': 'than a Ford Focus whether the seats are', 'start': 97.95, 'duration': 3.72}, {'text': 'up or down oh and those seats are easy', 'start': 99.54, 'duration': 4.079}, {'text': 'to fold down and go flat if you lift the', 'start': 101.67, 'duration': 4.229}, {'text': 'rear seat basis the new seat is also', 'start': 103.619, 'duration': 4.771}, {'text': 'smart in a clever sense we expect it to', 'start': 105.899, 'duration': 4.171}, {'text': 'be well kitted out certainly better than', 'start': 108.39, 'duration': 3.33}, {'text': 'its rivals and you can get lane', 'start': 110.07, 'duration': 3.27}, {'text': 'departure warning and self parking', 'start': 111.72, 'duration': 3.75}, {'text': 'systems the latest navigation and', 'start': 113.34, 'duration': 3.93}, {'text': 'connectivity and while a full-length', 'start': 115.47, 'duration': 3.539}, {'text': 'panoramic roof might not be unusual', 'start': 117.27, 'duration': 4.05}, {'text': 'these days one that actually opens', 'start': 119.009, 'duration': 4.881}, {'text': 'certainly is', 'start': 121.32, 'duration': 2.57}, {'text': ""okay so it's not a Ford Focus to drive"", 'start': 130.74, 'duration': 4.2}, {'text': ""it's not even a Volkswagen Golf to drive"", 'start': 132.99, 'duration': 5.13}, {'text': ""but I quite like the new Kia Cee'd it's"", 'start': 134.94, 'duration': 5.55}, {'text': 'comfortable I like its space I like its', 'start': 138.12, 'duration': 4.17}, {'text': 'style and yes I do like the fact that it', 'start': 140.49, 'duration': 3.03}, {'text': ""comes with a seven-year warranty it's"", 'start': 142.29, 'duration': 3.45}, {'text': 'unlikely to go wrong for 80% of people', 'start': 143.52, 'duration': 4.41}, {'text': ""for 80% of the time they're gonna love"", 'start': 145.74, 'duration': 4.32}, {'text': ""this if it's priced right I think here"", 'start': 147.93, 'duration': 4.7}, {'text': 'could be onto a winner', 'start': 150.06, 'duration': 2.57}]"
40ma,nzQmTXRaNCU,"[31, 40, 47, 57, 117]",
3qma,,"[50, 931]",
vWma,DtHeo8cSuT4,"[39, 121, 156]","[{'text': ""hey gorgeous people how are you so it's"", 'start': 0.0, 'duration': 7.23}, {'text': ""my name that's about how i feel about"", 'start': 3.6, 'duration': 7.459}, {'text': 'mondays actually more I feel like one', 'start': 7.23, 'duration': 6.75}, {'text': ""but anyway it's Monday so the good thing"", 'start': 11.059, 'duration': 4.391}, {'text': 'about money is that I get to see your', 'start': 13.98, 'duration': 4.469}, {'text': 'gorgeous face and um yeah you get to', 'start': 15.45, 'duration': 6.45}, {'text': 'look at this mug well what can you do so', 'start': 18.449, 'duration': 6.33}, {'text': ""today we're gonna do look based on can"", 'start': 21.9, 'duration': 5.25}, {'text': 'you guess what was the biggest event to', 'start': 24.779, 'duration': 5.361}, {'text': 'happen last night could it have been the', 'start': 27.15, 'duration': 6.27}, {'text': 'Grammys I think it was a novel you can', 'start': 30.14, 'duration': 7.0}, {'text': 'tell by this porcelain vernier here I', 'start': 33.42, 'duration': 5.76}, {'text': ""tried to go as light as possible we're"", 'start': 37.14, 'duration': 5.13}, {'text': 'gonna do some Adele uh it was pretty', 'start': 39.18, 'duration': 5.699}, {'text': 'simple to actually the main focus there', 'start': 42.27, 'duration': 5.67}, {'text': 'were bright bright red lips and lots of', 'start': 44.879, 'duration': 4.77}, {'text': ""lash I'm going to start out with my"", 'start': 47.94, 'duration': 3.54}, {'text': ""primer and I'm going to use the mcnay"", 'start': 49.649, 'duration': 4.23}, {'text': ""Deline color tattoo the white it's"", 'start': 51.48, 'duration': 10.68}, {'text': 'called too cool i like to keep a little', 'start': 53.879, 'duration': 11.46}, {'text': 'sponge handy i call it my eraser just to', 'start': 62.16, 'duration': 5.1}, {'text': 'get anything that might kind of fall', 'start': 65.339, 'duration': 3.511}, {'text': 'down in action and today gets to be the', 'start': 67.26, 'duration': 2.91}, {'text': 'first time that I get to use my new', 'start': 68.85, 'duration': 3.6}, {'text': 'england palette for you guys on camera', 'start': 70.17, 'duration': 5.339}, {'text': 'we use my little rainbow set right here', 'start': 72.45, 'duration': 6.39}, {'text': ""okay well I can't get it out right now"", 'start': 75.509, 'duration': 5.371}, {'text': 'with my fingernails without scratching', 'start': 78.84, 'duration': 4.95}, {'text': ""it so I'm gonna use that middle shade"", 'start': 80.88, 'duration': 9.09}, {'text': 'gonna press that over my two cool except', 'start': 83.79, 'duration': 7.71}, {'text': ""i'm going to take this brown rainbow"", 'start': 89.97, 'duration': 5.03}, {'text': ""color here and i'm gonna mix the top two"", 'start': 91.5, 'duration': 6.54}, {'text': 'with a fluffy brush just to accentuate', 'start': 95.0, 'duration': 6.84}, {'text': ""the crease they're really lightly"", 'start': 98.04, 'duration': 3.8}, {'text': 'trying to keep it kind of deep in the', 'start': 109.159, 'duration': 3.42}, {'text': ""crease as well so you don't get a lot of"", 'start': 111.049, 'duration': 3.42}, {'text': ""extra color I'm really trying hard not"", 'start': 112.579, 'duration': 6.6}, {'text': 'to sing rolling in the crease and', 'start': 114.469, 'duration': 16.671}, {'text': 'replace a rolling deep put the peachy', 'start': 119.179, 'duration': 18.42}, {'text': 'Clarice and I rolled it and I planted it', 'start': 131.14, 'duration': 11.77}, {'text': ""there your colors into yours then I'm"", 'start': 137.599, 'duration': 8.041}, {'text': 'gonna take that really like each other', 'start': 142.91, 'duration': 7.59}, {'text': ""again I'm gonna use that I like this"", 'start': 145.64, 'duration': 9.5}, {'text': ""whole thing and that's all I got to say"", 'start': 150.5, 'duration': 7.769}, {'text': 'cuz something something all right so', 'start': 155.14, 'duration': 5.53}, {'text': ""we've got this that same really light"", 'start': 158.269, 'duration': 4.411}, {'text': ""color that's in the top of this rainbow"", 'start': 160.67, 'duration': 6.08}, {'text': 'palette and they use that as a highlight', 'start': 162.68, 'duration': 4.07}, {'text': 'and to really blend any harsh line we', 'start': 169.42, 'duration': 8.8}, {'text': ""have out I'm gonna run a black liner in"", 'start': 176.15, 'duration': 5.55}, {'text': 'my lower waterline her lashes are really', 'start': 178.22, 'duration': 4.799}, {'text': 'defined on there I almost feel like', 'start': 181.7, 'duration': 4.56}, {'text': ""there's a little bit of a coal rim okie"", 'start': 183.019, 'duration': 5.491}, {'text': 'doke now we get the really thick liner', 'start': 186.26, 'duration': 6.36}, {'text': ""and I'm gonna use my NYX super fat I"", 'start': 188.51, 'duration': 6.69}, {'text': 'marker to see get a thick line at the', 'start': 192.62, 'duration': 3.869}, {'text': ""you know very beginning I'm to keep"", 'start': 195.2, 'duration': 7.439}, {'text': ""going over and over nope i'll start with"", 'start': 196.489, 'duration': 7.951}, {'text': 'my one thick base line and then if I', 'start': 202.639, 'duration': 4.111}, {'text': 'need to make it thicker I will make sure', 'start': 204.44, 'duration': 4.019}, {'text': 'you get your as close to the lashes as', 'start': 206.75, 'duration': 3.329}, {'text': ""possible so that you don't have any"", 'start': 208.459, 'duration': 4.351}, {'text': ""light colored gaps there and then I'm"", 'start': 210.079, 'duration': 5.761}, {'text': 'going to not really wing it out so much', 'start': 212.81, 'duration': 8.97}, {'text': 'as just create an ending so I do my', 'start': 215.84, 'duration': 10.2}, {'text': 'little flat top there and then just', 'start': 221.78, 'duration': 6.179}, {'text': 'connect that bottom have no eyebrows so', 'start': 226.04, 'duration': 4.259}, {'text': ""I'm gonna fill my brows real quick next"", 'start': 227.959, 'duration': 3.81}, {'text': ""time I'm going to use my Elizabeth Arden"", 'start': 230.299, 'duration': 4.05}, {'text': ""bronzer and I'm going to mix my to my"", 'start': 231.769, 'duration': 5.101}, {'text': ""light in my dirt together and I'm just"", 'start': 234.349, 'duration': 5.57}, {'text': 'gonna kind of run those', 'start': 236.87, 'duration': 3.049}, {'text': 'in the crease right above not the crease', 'start': 240.38, 'duration': 6.24}, {'text': ""I'm sorry in the contour hole right"", 'start': 243.23, 'duration': 6.33}, {'text': 'there right above it and kind of pull', 'start': 246.62, 'duration': 4.62}, {'text': 'that in ok next upward and go for some', 'start': 249.56, 'duration': 4.71}, {'text': ""lashes and I'm actually gonna double my"", 'start': 251.24, 'duration': 6.09}, {'text': ""lashes because Adele's are there"", 'start': 254.27, 'duration': 4.17}, {'text': 'different for minor it looks like she', 'start': 257.33, 'duration': 3.36}, {'text': ""has a half LaShawn almost and they're"", 'start': 258.44, 'duration': 5.04}, {'text': ""really thick on the outer edges I don't"", 'start': 260.69, 'duration': 3.99}, {'text': 'even know if she has any on the inner', 'start': 263.48, 'duration': 2.82}, {'text': 'edges the might those might be just hers', 'start': 264.68, 'duration': 4.46}, {'text': 'so what I want to do is go for a full um', 'start': 266.3, 'duration': 6.93}, {'text': ""like long let's go for length here first"", 'start': 269.14, 'duration': 6.91}, {'text': ""and then we'll go for the thickness and"", 'start': 273.23, 'duration': 4.62}, {'text': ""I'm gonna put some thicker ones on the"", 'start': 276.05, 'duration': 5.43}, {'text': ""outer corners so first up I'm going"", 'start': 277.85, 'duration': 5.19}, {'text': ""because there's ones these are kind of"", 'start': 281.48, 'duration': 3.36}, {'text': 'my go-to lashes these are just some', 'start': 283.04, 'duration': 5.25}, {'text': 'plain ardell lashes i got from i think', 'start': 284.84, 'duration': 7.1}, {'text': 'CVS or Walgreens or just a drugstore', 'start': 288.29, 'duration': 6.84}, {'text': ""target wherever so they're they're"", 'start': 291.94, 'duration': 8.49}, {'text': 'pretty thin but they are pretty long I', 'start': 295.13, 'duration': 8.28}, {'text': 'took these lashes which are from NYX', 'start': 300.43, 'duration': 5.89}, {'text': ""they're called gorgeous and I ended up"", 'start': 303.41, 'duration': 7.05}, {'text': ""cutting them in half like this and I'm"", 'start': 306.32, 'duration': 6.24}, {'text': 'just going to stick these on the outer', 'start': 310.46, 'duration': 6.69}, {'text': 'part with the longest end to the outside', 'start': 312.56, 'duration': 6.12}, {'text': ""so i'm going to do those real quick and"", 'start': 317.15, 'duration': 4.11}, {'text': 'all i do is add glue to them and then', 'start': 318.68, 'duration': 6.45}, {'text': ""stick them on top of that other seat i'm"", 'start': 321.26, 'duration': 5.88}, {'text': 'going to start on my lip so I have these', 'start': 325.13, 'duration': 4.29}, {'text': 'two colors from obsessive compulsive', 'start': 327.14, 'duration': 8.55}, {'text': 'cosmetics OCC OCC I have NSFW here and', 'start': 329.42, 'duration': 9.0}, {'text': ""harlot and Adele's lips are kind of a"", 'start': 335.69, 'duration': 6.24}, {'text': 'bright orange e brick red as far I mean', 'start': 338.42, 'duration': 5.43}, {'text': ""that's the best interpretation that I"", 'start': 341.93, 'duration': 4.02}, {'text': ""could come up with so I'm mixing those"", 'start': 343.85, 'duration': 7.98}, {'text': 'two together almost equally Oh guys like', 'start': 345.95, 'duration': 7.59}, {'text': 'did I hope you guys liked the show so my', 'start': 351.83, 'duration': 3.54}, {'text': 'question for you guys today is if you', 'start': 353.54, 'duration': 3.63}, {'text': 'were to go to the Grammys whether that', 'start': 355.37, 'duration': 3.93}, {'text': 'be as presenter a performer just to walk', 'start': 357.17, 'duration': 6.0}, {'text': 'the red carpet whatever um would you do', 'start': 359.3, 'duration': 5.49}, {'text': 'your own makeup or would you have', 'start': 363.17, 'duration': 3.84}, {'text': ""someone else so that's it have a good"", 'start': 364.79, 'duration': 4.35}, {'text': ""evening y'all and I'll see you next"", 'start': 367.01, 'duration': 6.29}, {'text': 'Monday if not sooner bye', 'start': 369.14, 'duration': 4.16}]"
eGma,Dxl8uuGDdjQ,[61],
Sqma,Jna7QNz4iaQ,"[5, 16]","[{'text': 'hey go guy you are going down hey Sparky', 'start': 0.03, 'duration': 9.989}, {'text': ""are you thinking what I'm thinking"", 'start': 6.96, 'duration': 6.559}, {'text': ""depends if you're thinking evil thoughts"", 'start': 10.019, 'duration': 7.26}, {'text': 'w capture globulus Nexus and use him for', 'start': 13.519, 'duration': 6.34}, {'text': 'our own future evil plans', 'start': 17.279, 'duration': 6.121}, {'text': ""now that's awfully tempting and you know"", 'start': 19.859, 'duration': 5.91}, {'text': 'what I like about being evil heavy black', 'start': 23.4, 'duration': 5.24}, {'text': 'eyeliner we always give in to temptation', 'start': 25.769, 'duration': 19.681}, {'text': ""let's do it I don't want to be used for"", 'start': 28.64, 'duration': 21.399}, {'text': 'evil is it just me or does anyone else', 'start': 45.45, 'duration': 7.26}, {'text': 'feel sorry for the big fella well he did', 'start': 50.039, 'duration': 4.441}, {'text': 'attempt to take over the places we call', 'start': 52.71, 'duration': 5.31}, {'text': 'home before I go I want you to know', 'start': 54.48, 'duration': 7.77}, {'text': 'something something important I was', 'start': 58.02, 'duration': 7.62}, {'text': 'created along with the beginning of the', 'start': 62.25, 'duration': 7.25}, {'text': 'universe you mean during the Big Bang no', 'start': 65.64, 'duration': 7.909}, {'text': 'during the big sneeze', 'start': 69.5, 'duration': 4.049}, {'text': ""you mean you're not evil then you're a"", 'start': 78.07, 'duration': 6.49}, {'text': 'giant booger then why are you trying to', 'start': 81.17, 'duration': 7.02}, {'text': 'take over our worlds well how would you', 'start': 84.56, 'duration': 6.9}, {'text': ""feel if you were born a booger you'd be"", 'start': 88.19, 'duration': 4.62}, {'text': 'upset too', 'start': 91.46, 'duration': 4.74}, {'text': 'no I would be proud embrace your', 'start': 92.81, 'duration': 6.87}, {'text': ""gooeyness it's what you are or visit who"", 'start': 96.2, 'duration': 6.06}, {'text': ""you are well I'm not quite sure but it's"", 'start': 99.68, 'duration': 8.01}, {'text': ""not bad ah you're right spongebob I want"", 'start': 102.26, 'duration': 9.6}, {'text': ""to change my ways ah but what's the"", 'start': 107.69, 'duration': 8.039}, {'text': 'point time the very thing that created', 'start': 111.86, 'duration': 8.91}, {'text': 'me is slipping away not if I can help it', 'start': 115.729, 'duration': 10.591}, {'text': 'Oh hardy har', 'start': 120.77, 'duration': 15.26}, {'text': 'there any guys I may be a booger but oh', 'start': 126.32, 'duration': 9.71}, {'text': ""that's better"", 'start': 136.06, 'duration': 5.62}, {'text': 'great but what are we going to do I have', 'start': 137.709, 'duration': 6.271}, {'text': 'an idea', 'start': 141.68, 'duration': 2.3}]"
04ma,ZM4X6mjEjjc,"[11, 1928]",
63ma,ZNTzmzLdJKw,"[411, 465]",
hMma,OTHk7n5HPOM,"[146, 158, 454]",
MHma,OV1ctRK8_VM,"[0, 1, 36, 94]",
fUma,Ob4ukfCHaU0,"[2, 26, 75, 508, 593, 632, 2685]",
Rfma,OdOkX_wmUb4,"[0, 52, 70]",
5hma,fbgfZm-0ekA,[151],
8kma,Rp0fF-CzgXA,[39],
Pgma,Tkqz2gq8ePc,"[2083, 2484]",
VXma,TlV7zKfLJGE,[1840],
R6ma,Tn8VY_3it-M,[318],
Nzma,cmR81cg7RAQ,"[2, 7, 95, 116, 165]",
qama,vgzh8oGzsEM,[13],
vcma,vhUmXmBHdUc,"[4, 9, 10, 34]",
7Mma,vmCaNV9OY9k,[43],
0Jma,2OCtxawR0nE,"[0, 3604]",
87ma,2Vis5GwA3Ww,[1850],
G2ma,2WdBgqZ4ZbY,[25],
fTma,zpJV0bdY0ZQ,"[4, 13]",
9fma,DdAxyY89nHg,[3],
0ema,DgwHVjJ--HY,"[5, 16, 2030]",
7oma,E68-tjHsmQ4,"[5, 16]",
Vqma,,"[2, 7, 95, 174, 1549]",
Syma,EBRj-vbtyg8,"[31, 40, 47, 57, 117]",
ZCma,EMFQoQk77ZI,"[3, 4, 13, 54, 188, 330]",
S6ma,78EY_i2DviA,[237],
ABma,7ADdbuCzZ3k,[80],
TGma,KRWJjfTq1Oo,"[0, 1, 561, 959, 1887]",
8Vma,KUEr4gMALms,"[21, 23, 24, 73, 288, 322, 504]","[{'text': ""hey guys what's up its eerie hacks and"", 'start': 0.05, 'duration': 4.479}, {'text': ""I'd like to apologize for my last video"", 'start': 2.76, 'duration': 3.96}, {'text': 'it was I mean it still gets the point', 'start': 4.529, 'duration': 4.621}, {'text': 'across it still his video that it', 'start': 6.72, 'duration': 5.37}, {'text': ""supposed to be but it wasn't the final"", 'start': 9.15, 'duration': 4.949}, {'text': 'version of it it was actually the first', 'start': 12.09, 'duration': 5.49}, {'text': 'version but oh well you get basically', 'start': 14.099, 'duration': 7.59}, {'text': ""it's a bit sick same idea okay so as I"", 'start': 17.58, 'duration': 6.39}, {'text': 'promised before this is the video for', 'start': 21.689, 'duration': 4.071}, {'text': 'you all you guys that are non', 'start': 23.97, 'duration': 3.629}, {'text': 'jailbreakers with people that have', 'start': 25.76, 'duration': 4.45}, {'text': ""devices that haven't been jailbroken yet"", 'start': 27.599, 'duration': 4.201}, {'text': ""so what I'm going to be showing you"", 'start': 30.21, 'duration': 3.66}, {'text': 'today is an app called vlingo this can', 'start': 31.8, 'duration': 5.49}, {'text': 'be take air get you can get this on the', 'start': 33.87, 'duration': 5.58}, {'text': ""app store by just searching vlingo it's"", 'start': 37.29, 'duration': 3.539}, {'text': 'going to be the first result as you can', 'start': 39.45, 'duration': 4.23}, {'text': ""see right here just go top it's free"", 'start': 40.829, 'duration': 5.581}, {'text': ""that's it being free is probably one of"", 'start': 43.68, 'duration': 6.3}, {'text': 'the most its biggest selling points here', 'start': 46.41, 'duration': 6.48}, {'text': ""so let's just go back out here as you"", 'start': 49.98, 'duration': 5.34}, {'text': 'can see we have vlingo right here vlingo', 'start': 52.89, 'duration': 6.27}, {'text': 'is probably a non jailbreakers best', 'start': 55.32, 'duration': 8.129}, {'text': 'alternative to Siri what vlingo does is', 'start': 59.16, 'duration': 8.819}, {'text': 'it gives you most of series abilities I', 'start': 63.449, 'duration': 6.751}, {'text': 'mean down here it has a whole lot of', 'start': 67.979, 'duration': 4.471}, {'text': ""different examples that you can use it's"", 'start': 70.2, 'duration': 4.14}, {'text': ""got a really nice user interface it's"", 'start': 72.45, 'duration': 4.04}, {'text': 'not the same thing of Siri but it gets', 'start': 74.34, 'duration': 4.68}, {'text': 'what Syria would do it gets that job', 'start': 76.49, 'duration': 5.35}, {'text': ""done so let's ask get a couple questions"", 'start': 79.02, 'duration': 5.489}, {'text': 'to demonstrate its flexibility and', 'start': 81.84, 'duration': 10.04}, {'text': 'versatility send an email to Bob', 'start': 84.509, 'duration': 7.371}, {'text': ""as you can see it's composed an email to"", 'start': 94.659, 'duration': 5.88}, {'text': ""Bob who is not in my address book that's"", 'start': 97.659, 'duration': 4.831}, {'text': 'some random name that I just thought of', 'start': 100.539, 'duration': 5.161}, {'text': 'so it says right here that it has no', 'start': 102.49, 'duration': 5.04}, {'text': 'match if I had someone in my address', 'start': 105.7, 'duration': 5.129}, {'text': 'book that I knew and I had used this or', 'start': 107.53, 'duration': 6.75}, {'text': 'I had asked it to email it it would just', 'start': 110.829, 'duration': 6.38}, {'text': 'do that same action it would give us a', 'start': 114.28, 'duration': 6.149}, {'text': ""thing like that this is an iPod so I'm"", 'start': 117.209, 'duration': 4.51}, {'text': 'not going to be able to demonstrate the', 'start': 120.429, 'duration': 3.061}, {'text': ""calling feature but let's see what it"", 'start': 121.719, 'duration': 3.99}, {'text': 'does when let me just show you that this', 'start': 123.49, 'duration': 4.499}, {'text': ""is an ipod and let's just see what it"", 'start': 125.709, 'duration': 5.881}, {'text': 'does when we try to use the calling', 'start': 127.989, 'duration': 11.761}, {'text': 'feature call mom as you can see voice', 'start': 131.59, 'duration': 10.649}, {'text': 'dialing is only available on iphone all', 'start': 139.75, 'duration': 4.86}, {'text': 'right as you can see here you can update', 'start': 142.239, 'duration': 6.12}, {'text': 'your twitter and facebook via speaking', 'start': 144.61, 'duration': 6.81}, {'text': ""and let's see what else we can do we can"", 'start': 148.359, 'duration': 6.421}, {'text': 'use the map feature from this find the', 'start': 151.42, 'duration': 9.99}, {'text': 'golden gate bridge as you can see it', 'start': 154.78, 'duration': 8.7}, {'text': 'gives us two options the list option and', 'start': 161.41, 'duration': 5.97}, {'text': ""the map option so it's giving me the"", 'start': 163.48, 'duration': 5.909}, {'text': 'eagle gate bridge another nice thing', 'start': 167.38, 'duration': 4.02}, {'text': ""about this is even when you're in that"", 'start': 169.389, 'duration': 4.261}, {'text': 'search area you can just tap the mic', 'start': 171.4, 'duration': 7.369}, {'text': 'again search for the Golden Gate Bridge', 'start': 173.65, 'duration': 5.119}, {'text': ""as you can see it's going to bring up"", 'start': 181.919, 'duration': 5.621}, {'text': 'the map right here and that is the', 'start': 184.299, 'duration': 4.921}, {'text': 'Golden Gate Bridge located in san', 'start': 187.54, 'duration': 4.919}, {'text': ""francisco california so let's go back"", 'start': 189.22, 'duration': 10.32}, {'text': 'here into vlingo and uh what else can we', 'start': 192.459, 'duration': 11.25}, {'text': ""do let's search for a cat videos Google"", 'start': 199.54, 'duration': 9.39}, {'text': ""cat videos and as you can see it's"", 'start': 203.709, 'duration': 10.971}, {'text': 'thinking Oh Cathy is what oops', 'start': 208.93, 'duration': 5.75}, {'text': 'cat videos there we go and we have our', 'start': 217.13, 'duration': 9.64}, {'text': 'awesome cat videos right there so it', 'start': 224.1, 'duration': 5.48}, {'text': 'basically does what you would expect a', 'start': 226.77, 'duration': 6.69}, {'text': 'decent voice assistant to do it does get', 'start': 229.58, 'duration': 6.49}, {'text': ""the job done it's probably the best"", 'start': 233.46, 'duration': 6.87}, {'text': 'version or best alternative for Siri for', 'start': 236.07, 'duration': 6.27}, {'text': ""you guys that don't have a jailbroken"", 'start': 240.33, 'duration': 4.65}, {'text': ""device if you're not Joe Brooke and"", 'start': 242.34, 'duration': 4.98}, {'text': ""don't jailbroke or jailbreak adjust for"", 'start': 244.98, 'duration': 6.03}, {'text': ""Siri so that's basically it thank you"", 'start': 247.32, 'duration': 5.25}, {'text': 'guys for watching subscribe rate and', 'start': 251.01, 'duration': 4.05}, {'text': 'comment tell me how it goes with this', 'start': 252.57, 'duration': 7.01}, {'text': 'app and thank you guys for watching', 'start': 255.06, 'duration': 4.52}]"
2lma,yxZkOWM5eRM,[451],
uxma,IJ_R-hy4XMc,[3],
kGma,ILvMRSo9BkQ,"[53, 58, 163, 166, 232]",
rQma,,"[0, 1, 42, 306]",
Tcma,qPfRpUBzt4A,"[1, 859, 1285]",
Bcma,ItcX1ePKZLA,"[9, 10, 31, 37, 40]",
4Cma,IyN2yKLqiG8,"[26, 136, 370, 526]",
