IUk4,VrbFeSg6DZ4,"[3, 6, 10, 28]",
Owk4,H9fQ4wvkTBU,"[2, 7, 171, 283, 457]","[{'text': 'schanberg Auto Sales here again with a', 'start': 0.829, 'duration': 5.2}, {'text': 'little Honda Civic midnight blue Honda', 'start': 3.27, 'duration': 6.59}, {'text': 'Civic good little good gas mileage car', 'start': 6.029, 'duration': 8.091}, {'text': 'great for running around town first car', 'start': 9.86, 'duration': 9.16}, {'text': 'for someone just turned 16 again you can', 'start': 14.12, 'duration': 7.06}, {'text': 'take a look at this and many others and', 'start': 19.02, 'duration': 5.4}, {'text': ""the wholesale car is direct.com that's"", 'start': 21.18, 'duration': 5.88}, {'text': 'our website you can contact us by email', 'start': 24.42, 'duration': 6.09}, {'text': ""it's Schamberg cars at gmail.com or by"", 'start': 27.06, 'duration': 6.24}, {'text': 'phone at three three six nine nine two', 'start': 30.51, 'duration': 6.06}, {'text': ""one one eight six again you're looking"", 'start': 33.3, 'duration': 5.91}, {'text': 'at a little Honda Civic go up close you', 'start': 36.57, 'duration': 3.899}, {'text': 'can see everything is in good condition', 'start': 39.21, 'duration': 3.84}, {'text': 'as far as the car let you take a look', 'start': 40.469, 'duration': 5.93}, {'text': 'all the way down the side of it', 'start': 43.05, 'duration': 3.349}, {'text': 'usually when you see a darker shade', 'start': 47.08, 'duration': 3.39}, {'text': ""you'll see a lot of scratches and"", 'start': 48.79, 'duration': 3.78}, {'text': ""crevices on it you don't see that on"", 'start': 50.47, 'duration': 3.96}, {'text': ""this car because it's been very well"", 'start': 52.57, 'duration': 5.34}, {'text': ""taken care of it's a little LAX"", 'start': 54.43, 'duration': 7.53}, {'text': '4-cylinder will pop up and look at these', 'start': 57.91, 'duration': 6.0}, {'text': 'hubcaps and tires their tires are in', 'start': 61.96, 'duration': 5.28}, {'text': 'excellent shape overall the car is in', 'start': 63.91, 'duration': 6.78}, {'text': ""excellent shape you'll see that as well"", 'start': 67.24, 'duration': 6.39}, {'text': 'as we get into inside the vehicle and', 'start': 70.69, 'duration': 4.77}, {'text': 'let you take a look at the interior as', 'start': 73.63, 'duration': 6.87}, {'text': ""well pop up in this door here there's a"", 'start': 75.46, 'duration': 7.79}, {'text': 'Honda it does have power windows power', 'start': 80.5, 'duration': 9.619}, {'text': 'locks OneTouch driver side window plus', 'start': 83.25, 'duration': 9.759}, {'text': ""power mirrors you'll see it does have a"", 'start': 90.119, 'duration': 5.231}, {'text': 'tan interior see if you can get a good', 'start': 93.009, 'duration': 7.231}, {'text': 'look at that interior pass of your seat', 'start': 95.35, 'duration': 7.25}, {'text': 'as well', 'start': 100.24, 'duration': 2.36}, {'text': 'oh good good condition as well outside', 'start': 102.93, 'duration': 6.75}, {'text': 'in the inside them both are in good', 'start': 107.43, 'duration': 4.04}, {'text': 'condition', 'start': 109.68, 'duration': 5.6}, {'text': 'you see these seats as well back here', 'start': 111.47, 'duration': 6.19}, {'text': ""cars got a good smell to it I wouldn't"", 'start': 115.28, 'duration': 5.58}, {'text': ""say that it's ever been smoked in"", 'start': 117.66, 'duration': 5.66}, {'text': 'we get in here you can see that it does', 'start': 120.86, 'duration': 5.04}, {'text': ""have cruise control it's located on the"", 'start': 123.32, 'duration': 7.11}, {'text': 'steering wheel am/fm CD player air', 'start': 125.9, 'duration': 8.82}, {'text': 'conditioned automatic transmission will', 'start': 130.43, 'duration': 6.15}, {'text': ""pop up close here let's see if I can get"", 'start': 134.72, 'duration': 7.1}, {'text': 'this in here for you the mileage 114 497', 'start': 136.58, 'duration': 8.88}, {'text': ""114 497 and it's a miles again you can"", 'start': 141.82, 'duration': 5.92}, {'text': 'see this and many others sell cars', 'start': 145.46, 'duration': 6.21}, {'text': 'direct comm go on our website fill out a', 'start': 147.74, 'duration': 5.76}, {'text': 'credit application take a look at any of', 'start': 151.67, 'duration': 4.32}, {'text': 'our inventory or call us at three three', 'start': 153.5, 'duration': 5.93}, {'text': 'six nine nine two one one eight six', 'start': 155.99, 'duration': 6.35}, {'text': 'email us at Schamberg cars at gmail.com', 'start': 159.43, 'duration': 5.79}, {'text': 'again call us at three three six nine', 'start': 162.34, 'duration': 6.88}, {'text': 'nine two one one eight six we got people', 'start': 165.22, 'duration': 5.91}, {'text': 'standing by take a look at our website', 'start': 169.22, 'duration': 5.33}, {'text': 'give us a shout', 'start': 171.13, 'duration': 3.42}]"
Alk4,HFCFppgKrfw,"[596, 609]",
6sk4,IEvF6fm0Bic,"[39, 121, 156, 233, 338]",
L9k4,jakFMv_T-p4,"[11, 20, 22]",
awk4,-Y12BwwG9Xc,"[0, 1, 36, 94]",
qlk4,-bFq-AL4GWs,"[2, 7, 104, 469, 792, 1179]",
uUk4,IcHo59Nio6I,"[25, 225]",
EMk4,,"[18, 43, 59, 60, 101, 286, 374, 906]",
ZVk4,JSl6-FF8444,"[3, 4, 6]",
pqk4,JYSkCqJBthU,"[5, 16, 136, 647, 1190, 2143]",
rPk4,gIbzBwnpsdM,"[6, 8]",
7Qk4,gJhkAAZtA5Y,"[17, 19, 340]",
xBk4,gLfpoMqZ7wc,"[677, 920]",
bok4,buuEuRo1NPc,[3],
hdk4,0_O0doPh1Mc,[310],
Pkk4,,[315],
2Zk4,C_cCwsvTmnk,"[0, 1, 42, 111]","[{'text': ""welcome everybody to jvk let's play boot"", 'start': 0.0, 'duration': 4.5}, {'text': ""camp edition today we're going to be"", 'start': 3.21, 'duration': 4.35}, {'text': 'talking about see essing CS thing is a', 'start': 4.5, 'duration': 5.67}, {'text': 'creep score for those of you who are new', 'start': 7.56, 'duration': 4.89}, {'text': 'to league of legends and SES refers to', 'start': 10.17, 'duration': 4.4}, {'text': 'when you last hit a minion as i just did', 'start': 12.45, 'duration': 4.56}, {'text': 'and get the gold from that that minion', 'start': 14.57, 'duration': 5.23}, {'text': 'so in league of legends you have to kill', 'start': 17.01, 'duration': 4.529}, {'text': 'the minion in order to get the gold as', 'start': 19.8, 'duration': 3.479}, {'text': 'you see these three i just did now if I', 'start': 21.539, 'duration': 2.761}, {'text': 'miss him in you know go ahead and miss', 'start': 23.279, 'duration': 3.361}, {'text': ""this one right here if I don't get the"", 'start': 24.3, 'duration': 5.61}, {'text': ""last hit that is gold wasted that's just"", 'start': 26.64, 'duration': 4.59}, {'text': 'I mean it goes to nobody nobody gets', 'start': 29.91, 'duration': 3.6}, {'text': 'that gold so a very very important part', 'start': 31.23, 'duration': 3.54}, {'text': 'of playing league of legends and being', 'start': 33.51, 'duration': 3.03}, {'text': 'in the lane is is picking up the creeps', 'start': 34.77, 'duration': 2.85}, {'text': ""person today we're going to talk about a"", 'start': 36.54, 'duration': 3.269}, {'text': 'few techniques on how to get more CS', 'start': 37.62, 'duration': 5.13}, {'text': 'than your opponent number one is to run', 'start': 39.809, 'duration': 5.941}, {'text': 'ad marks ad marks will make it so last', 'start': 42.75, 'duration': 4.469}, {'text': 'hitting is easier for you newer players', 'start': 45.75, 'duration': 3.239}, {'text': 'obviously players that are already level', 'start': 47.219, 'duration': 2.941}, {'text': '30 and already have a little bit of', 'start': 48.989, 'duration': 2.971}, {'text': ""experience won't want to run 80 rooms"", 'start': 50.16, 'duration': 3.329}, {'text': ""because they're going to already be able"", 'start': 51.96, 'duration': 3.96}, {'text': 'to last hit confidently without having', 'start': 53.489, 'duration': 4.471}, {'text': 'the extra ad but having more AV gives', 'start': 55.92, 'duration': 3.9}, {'text': 'you a bigger window in which you can', 'start': 57.96, 'duration': 6.18}, {'text': 'kill them step two is a walk trying to', 'start': 59.82, 'duration': 5.699}, {'text': 'keep an eye on all of the minions and', 'start': 64.14, 'duration': 2.7}, {'text': 'predicting which ones are going to go', 'start': 65.519, 'duration': 2.611}, {'text': 'the lowest fastest so as you guys can', 'start': 66.84, 'duration': 3.779}, {'text': ""see I'm keep doing a pretty good job of"", 'start': 68.13, 'duration': 6.23}, {'text': 'watching which minions are dying and', 'start': 70.619, 'duration': 6.75}, {'text': 'being prepared to to attack them cannon', 'start': 74.36, 'duration': 5.38}, {'text': 'minions kill a lot faster so focus on', 'start': 77.369, 'duration': 5.131}, {'text': 'those minions the next thing is watch', 'start': 79.74, 'duration': 4.89}, {'text': 'your your lane opponent there are times', 'start': 82.5, 'duration': 4.95}, {'text': 'you can get freezer ass an example is', 'start': 84.63, 'duration': 4.86}, {'text': 'this CS right here when she goes for it', 'start': 87.45, 'duration': 5.19}, {'text': ""I'm going to attack so because I was"", 'start': 89.49, 'duration': 4.98}, {'text': 'able to see that she wanted that CS I', 'start': 92.64, 'duration': 3.479}, {'text': 'knew that I was going to be able to get', 'start': 94.47, 'duration': 3.0}, {'text': 'a couple auto attacks off hopefully', 'start': 96.119, 'duration': 3.96}, {'text': 'without any retaliation now the same', 'start': 97.47, 'duration': 4.74}, {'text': ""goes for you if there's a CS that you"", 'start': 100.079, 'duration': 4.08}, {'text': 'want to get but in order to get it', 'start': 102.21, 'duration': 3.06}, {'text': ""you're going to be put in the line of"", 'start': 104.159, 'duration': 2.841}, {'text': 'danger', 'start': 105.27, 'duration': 4.26}, {'text': ""be careful because sometimes it won't be"", 'start': 107.0, 'duration': 4.689}, {'text': 'worth the trade another thing to think', 'start': 109.53, 'duration': 4.799}, {'text': 'about is when you have opinions you want', 'start': 111.689, 'duration': 4.801}, {'text': 'to fight as you guys Josiah was able to', 'start': 114.329, 'duration': 3.72}, {'text': 'use that minion and extra minion damage', 'start': 116.49, 'duration': 4.199}, {'text': 'I had to secure the kill so minions are', 'start': 118.049, 'duration': 4.5}, {'text': 'a lot more important and and a lot of', 'start': 120.689, 'duration': 3.72}, {'text': 'you know how the wave is how the waves', 'start': 122.549, 'duration': 3.0}, {'text': 'are moving is a lot more important than', 'start': 124.409, 'duration': 3.841}, {'text': 'a lot of people realize so remember if', 'start': 125.549, 'duration': 3.69}, {'text': 'you want to make sure that you get the', 'start': 128.25, 'duration': 2.549}, {'text': 'lasted on the minions by focusing on', 'start': 129.239, 'duration': 3.421}, {'text': ""their health bars you don't want to take"", 'start': 130.799, 'duration': 3.961}, {'text': 'too much damage to pick up any', 'start': 132.66, 'duration': 4.2}, {'text': 'individual minion from your opponent so', 'start': 134.76, 'duration': 3.119}, {'text': 'you need to be watching the enemy laner', 'start': 136.86, 'duration': 3.209}, {'text': 'and if the enemy laner is going for a CS', 'start': 137.879, 'duration': 3.481}, {'text': ""that's obviously getting low and you"", 'start': 140.069, 'duration': 2.551}, {'text': 'have a good angle to do some damage', 'start': 141.36, 'duration': 3.06}, {'text': ""you'll be able to get free damage off"", 'start': 142.62, 'duration': 6.929}, {'text': 'hopefully without him retaliate other', 'start': 144.42, 'duration': 6.84}, {'text': 'things to think about when deciding to', 'start': 149.549, 'duration': 4.561}, {'text': 'CS are which Champions to used most', 'start': 151.26, 'duration': 4.53}, {'text': 'champions can see s but some are', 'start': 154.11, 'duration': 4.17}, {'text': ""definitely better than others ad carry's"", 'start': 155.79, 'duration': 3.539}, {'text': 'and marksman have the best opportunity', 'start': 158.28, 'duration': 3.42}, {'text': 'to CS because of their high base attack', 'start': 159.329, 'duration': 4.38}, {'text': ""damage and also because you're building"", 'start': 161.7, 'duration': 3.39}, {'text': 'attack damage items these are also the', 'start': 163.709, 'duration': 3.991}, {'text': 'best champions to CS under turrets AO', 'start': 165.09, 'duration': 5.429}, {'text': 'images that have mana regen an example', 'start': 167.7, 'duration': 4.47}, {'text': 'of this would be Karthus or gragas that', 'start': 170.519, 'duration': 4.44}, {'text': 'can spam barrels or de files in order to', 'start': 172.17, 'duration': 4.2}, {'text': 'pick up as much as possible and', 'start': 174.959, 'duration': 3.36}, {'text': 'obviously 80 bruisers guys like ribbon', 'start': 176.37, 'duration': 4.11}, {'text': 'and jace that are going to be able to', 'start': 178.319, 'duration': 5.01}, {'text': 'get a lot of AD and have abilities that', 'start': 180.48, 'duration': 9.089}, {'text': 'will help them clear the cs bad see', 'start': 183.329, 'duration': 8.011}, {'text': 'essing champions also exist single', 'start': 189.569, 'duration': 3.691}, {'text': 'target mages like leblanc have a really', 'start': 191.34, 'duration': 4.049}, {'text': 'hard time see essing and the reason for', 'start': 193.26, 'duration': 3.509}, {'text': ""that is because they don't have"", 'start': 195.389, 'duration': 3.18}, {'text': 'abilities that can wave clear that are', 'start': 196.769, 'duration': 3.75}, {'text': 'on low enough cooldowns you can use the', 'start': 198.569, 'duration': 4.32}, {'text': 'blancs w to jump on minions and get some', 'start': 200.519, 'duration': 3.69}, {'text': ""minion kills however then it's on cool"", 'start': 202.889, 'duration': 2.611}, {'text': 'down for about 20 seconds while you', 'start': 204.209, 'duration': 4.081}, {'text': 'missed the rest her Q and her II also', 'start': 205.5, 'duration': 4.98}, {'text': ""aren't exactly effective when you are"", 'start': 208.29, 'duration': 3.99}, {'text': 'see essing because as soon as you use', 'start': 210.48, 'duration': 3.119}, {'text': 'them your enemy that has control of the', 'start': 212.28, 'duration': 3.72}, {'text': 'lane mages without mana regen also have', 'start': 213.599, 'duration': 3.841}, {'text': 'a really hard time seeing a good example', 'start': 216.0, 'duration': 3.959}, {'text': 'of that as anivia once she has her tier', 'start': 217.44, 'duration': 3.9}, {'text': 'and has some mana regen she can use her', 'start': 219.959, 'duration': 3.241}, {'text': 'ultimate to clear minions but when', 'start': 221.34, 'duration': 4.079}, {'text': ""you're just relying on her slow and hard"", 'start': 223.2, 'duration': 3.93}, {'text': ""to use auto attack animation it's very"", 'start': 225.419, 'duration': 4.051}, {'text': 'difficult to see s most supports have a', 'start': 227.13, 'duration': 5.039}, {'text': 'hard time with last hitting and anyone', 'start': 229.47, 'duration': 4.29}, {'text': 'with Lola ad under tower is going to be', 'start': 232.169, 'duration': 3.24}, {'text': 'difficult remember you let the tower', 'start': 233.76, 'duration': 4.11}, {'text': 'attack the melee minions twice and then', 'start': 235.409, 'duration': 4.05}, {'text': 'you auto attack and the caster minions', 'start': 237.87, 'duration': 2.08}, {'text': 'once', 'start': 239.459, 'duration': 2.221}, {'text': 'you auto attack or use your abilities', 'start': 239.95, 'duration': 3.99}, {'text': 'people who focus on fighting fighting', 'start': 241.68, 'duration': 3.76}, {'text': 'more than see essing will have a hard', 'start': 243.94, 'duration': 5.43}, {'text': ""time you know getting CS if you're too"", 'start': 245.44, 'duration': 6.09}, {'text': 'busy doing duels and trades with your', 'start': 249.37, 'duration': 4.05}, {'text': 'opponent you could find out that even', 'start': 251.53, 'duration': 3.179}, {'text': 'though you get a killer two extra by the', 'start': 253.42, 'duration': 2.939}, {'text': 'end of the game they have a lot more CS', 'start': 254.709, 'duration': 3.691}, {'text': 'remember 20 CS is about worth the kill', 'start': 256.359, 'duration': 3.841}, {'text': ""so sometimes it's worth it to get more"", 'start': 258.4, 'duration': 3.5}, {'text': 'CS and have less action in the lane', 'start': 260.2, 'duration': 4.35}, {'text': 'melee mages pre level six also have a', 'start': 261.9, 'duration': 4.72}, {'text': 'very hard time these are fizz and diana', 'start': 264.55, 'duration': 4.32}, {'text': ""people who don't necessarily have the"", 'start': 266.62, 'duration': 4.62}, {'text': 'mana regen to push the length of the', 'start': 268.87, 'duration': 4.59}, {'text': 'wave and that they can get harassed and', 'start': 271.24, 'duration': 3.899}, {'text': 'poke down very easily for taking CS', 'start': 273.46, 'duration': 4.08}, {'text': ""these are champions that don't have the"", 'start': 275.139, 'duration': 4.261}, {'text': ""ability to return damage when they're"", 'start': 277.54, 'duration': 3.3}, {'text': 'given damage because of their range', 'start': 279.4, 'duration': 3.54}, {'text': 'until they have their Ultimates and want', 'start': 280.84, 'duration': 4.829}, {'text': 'to go all-in also high cool down mages', 'start': 282.94, 'duration': 6.84}, {'text': 'have a hard time getting CS so remember', 'start': 285.669, 'duration': 6.541}, {'text': 'guys pick champions that will help you', 'start': 289.78, 'duration': 3.72}, {'text': ""get CS until you're more comfortable"", 'start': 292.21, 'duration': 3.3}, {'text': 'with the concept and remember how', 'start': 293.5, 'duration': 4.02}, {'text': 'important it is this week you guys were', 'start': 295.51, 'duration': 3.21}, {'text': 'doing a league of legends boot camp and', 'start': 297.52, 'duration': 2.22}, {'text': 'were going to be releasing a lot more', 'start': 298.72, 'duration': 2.759}, {'text': 'videos like this for the next month so', 'start': 299.74, 'duration': 3.149}, {'text': ""please let me know if there's any topics"", 'start': 301.479, 'duration': 2.431}, {'text': ""that you'd like me to go over any"", 'start': 302.889, 'duration': 2.851}, {'text': 'mechanics or anything important that you', 'start': 303.91, 'duration': 4.59}, {'text': 'think I can help newer players master', 'start': 305.74, 'duration': 4.59}, {'text': 'also you guys if you enjoyed the video', 'start': 308.5, 'duration': 3.63}, {'text': 'please hit the like and subscribe button', 'start': 310.33, 'duration': 3.12}, {'text': 'it helps me out a lot and helps me be', 'start': 312.13, 'duration': 3.63}, {'text': ""able to keep doing what I'm doing thank"", 'start': 313.45, 'duration': 3.33}, {'text': 'you guys and I hope you guys have a', 'start': 315.76, 'duration': 2.64}, {'text': 'wonderful week also check me out on', 'start': 316.78, 'duration': 6.57}, {'text': 'twitch at twitch twitch TV / jvk 27', 'start': 318.4, 'duration': 7.61}, {'text': 'thanks bye', 'start': 323.35, 'duration': 2.66}]"
xQk4,CdgHUWQU3hg,"[110, 1463]",
Skk4,8YIveFWgyr0,"[6, 8, 71, 152, 1640]",
