Q7fR,1lXtW-413x8,"[5, 14]",
Tses,-1MtqzFhZwM,"[2, 7, 116, 563]",
Lves,-1ssTam61tI,[5],
l7es,Fn9_0qVnKIw,[354],"[{'text': 'hey guys this is Dennis the founder', 'start': 0.0, 'duration': 2.73}, {'text': ""thick here and I'm David Griffin your"", 'start': 1.23, 'duration': 3.029}, {'text': 'resident comic book and video game guru', 'start': 2.73, 'duration': 4.5}, {'text': 'and we just want to quickly discuss this', 'start': 4.259, 'duration': 4.771}, {'text': ""new picture that's come out and it's not"", 'start': 7.23, 'duration': 4.829}, {'text': ""a verified official picture no but it's"", 'start': 9.03, 'duration': 6.779}, {'text': ""a it's it's supposedly concept art for"", 'start': 12.059, 'duration': 6.48}, {'text': 'the lizard right for the upcoming', 'start': 15.809, 'duration': 5.281}, {'text': 'amazing spider-man movie the face does', 'start': 18.539, 'duration': 4.23}, {'text': 'look similar to I guess there was a', 'start': 21.09, 'duration': 4.04}, {'text': 'picture released of the a PEZ dispenser', 'start': 22.769, 'duration': 5.85}, {'text': 'yeah the lizard a few days ago and it', 'start': 25.13, 'duration': 6.819}, {'text': ""looks like that we so we don't know if"", 'start': 28.619, 'duration': 5.521}, {'text': ""it's real or not but based on let's say"", 'start': 31.949, 'duration': 4.681}, {'text': 'hypothetically it is a real picture of', 'start': 34.14, 'duration': 4.919}, {'text': 'concept art for the lizard what do you', 'start': 36.63, 'duration': 5.1}, {'text': ""think um I see that they're trying to"", 'start': 39.059, 'duration': 5.761}, {'text': 'make him almost more believable like a', 'start': 41.73, 'duration': 4.919}, {'text': 'man turned into a monster instead of a', 'start': 44.82, 'duration': 2.759}, {'text': 'true monster', 'start': 46.649, 'duration': 3.121}, {'text': ""whereas I mean even though there's a man"", 'start': 47.579, 'duration': 4.41}, {'text': ""turn into a monster where's like go"", 'start': 49.77, 'duration': 4.32}, {'text': 'Marvel you have lizard he is a lizard', 'start': 51.989, 'duration': 3.931}, {'text': 'yes we looks like he looks fully foreign', 'start': 54.09, 'duration': 5.129}, {'text': 'lizard DC killer croc he looks like a', 'start': 55.92, 'duration': 6.24}, {'text': ""Killer Croc he don't look like almost"", 'start': 59.219, 'duration': 5.311}, {'text': 'Nix he looks almost like elegant in the', 'start': 62.16, 'duration': 4.38}, {'text': 'pose but it is concept art so I mean I', 'start': 64.53, 'duration': 3.75}, {'text': 'know they put a lot of photos up there', 'start': 66.54, 'duration': 2.88}, {'text': 'before they actually decide on which one', 'start': 68.28, 'duration': 2.07}, {'text': ""you're gonna choose but yeah it almost"", 'start': 69.42, 'duration': 3.18}, {'text': ""looked to I don't know I don't know I"", 'start': 70.35, 'duration': 5.07}, {'text': ""just I didn't look scary like one look a"", 'start': 72.6, 'duration': 4.29}, {'text': 'little more vicious you know a little', 'start': 75.42, 'duration': 3.839}, {'text': ""scarier but I didn't mind the body so"", 'start': 76.89, 'duration': 5.25}, {'text': 'much the head and face to me because it', 'start': 79.259, 'duration': 5.761}, {'text': ""doesn't look like a lizard it's kind of"", 'start': 82.14, 'duration': 4.83}, {'text': 'it looks more like an alien or something', 'start': 85.02, 'duration': 5.37}, {'text': 'like that gets humanoid but you know but', 'start': 86.97, 'duration': 5.1}, {'text': ""with kind of scale it's got a guy"", 'start': 90.39, 'duration': 4.53}, {'text': ""human-like face and so I don't know I"", 'start': 92.07, 'duration': 5.1}, {'text': ""don't know if I like that part so much I"", 'start': 94.92, 'duration': 4.739}, {'text': 'kind of like the the original look of', 'start': 97.17, 'duration': 4.409}, {'text': 'the lizard from the comic book I wonder', 'start': 99.659, 'duration': 4.551}, {'text': ""maybe they're looking for a more like"", 'start': 101.579, 'duration': 4.981}, {'text': 'nearly with the Red Skull looking for a', 'start': 104.21, 'duration': 4.6}, {'text': ""more they can do more use the actor's"", 'start': 106.56, 'duration': 4.08}, {'text': 'actual face as opposed to doing all full', 'start': 108.81, 'duration': 3.87}, {'text': 'CG or something that I want to be', 'start': 110.64, 'duration': 3.299}, {'text': ""curious enough that they're looking for"", 'start': 112.68, 'duration': 3.57}, {'text': ""yeah and if you notice he doesn't have"", 'start': 113.939, 'duration': 5.491}, {'text': 'any clothes on cuz you know and in the', 'start': 116.25, 'duration': 5.04}, {'text': ""comic series he's always has like the"", 'start': 119.43, 'duration': 5.189}, {'text': 'lab coat yeah in the pants ripped pants', 'start': 121.29, 'duration': 5.84}, {'text': 'in the lab coat and stuff like that', 'start': 124.619, 'duration': 6.17}, {'text': ""so yeah in yeah it just doesn't look"", 'start': 127.13, 'duration': 6.329}, {'text': 'quite as monstrous right and like you', 'start': 130.789, 'duration': 5.001}, {'text': ""said it just doesn't look as scary as"", 'start': 133.459, 'duration': 4.321}, {'text': 'you would expect', 'start': 135.79, 'duration': 4.48}, {'text': 'yeah I always thought of him as you know', 'start': 137.78, 'duration': 4.23}, {'text': ""bigger and I didn't I mean but it's hard"", 'start': 140.27, 'duration': 4.59}, {'text': ""to tell you know he's all by himself and"", 'start': 142.01, 'duration': 4.05}, {'text': 'generally saying next to me yeah it', 'start': 144.86, 'duration': 2.94}, {'text': ""wasn't I hope they don't go with that"", 'start': 146.06, 'duration': 3.179}, {'text': 'one I hope this is like from like a', 'start': 147.8, 'duration': 2.55}, {'text': 'board where they have a bunch of', 'start': 149.239, 'duration': 3.451}, {'text': 'different now proposed artists sketches', 'start': 150.35, 'duration': 3.69}, {'text': 'so I hope they they choose something', 'start': 152.69, 'duration': 4.53}, {'text': ""else we'll see all right so let us know"", 'start': 154.04, 'duration': 4.529}, {'text': 'what you guys think of the concert art', 'start': 157.22, 'duration': 4.049}, {'text': ""first do you think it's real now and if"", 'start': 158.569, 'duration': 4.531}, {'text': ""it is we are even if it isn't real what"", 'start': 161.269, 'duration': 3.541}, {'text': 'do you think of the look you had is it', 'start': 163.1, 'duration': 5.13}, {'text': 'compared to the comic book version and I', 'start': 164.81, 'duration': 6.59}, {'text': ""don't know do you think it's gonna work"", 'start': 168.23, 'duration': 5.19}, {'text': 'you post your comments below on the', 'start': 171.4, 'duration': 3.04}, {'text': 'website think here.com', 'start': 173.42, 'duration': 2.67}, {'text': 'welcome check us out on youtube at think', 'start': 174.44, 'duration': 3.84}, {'text': 'hero TV and you can chat with us on', 'start': 176.09, 'duration': 4.11}, {'text': ""twitter mine's a big hero and I'm at"", 'start': 178.28, 'duration': 4.429}, {'text': 'Griffin de', 'start': 180.2, 'duration': 2.509}]"
Hfes,KlCeCrSTsr0,[12],"[{'text': ""Neil we've been here before haven't way"", 'start': 0.0, 'duration': 3.24}, {'text': 'that was almost like watching Tuesday', 'start': 1.709, 'duration': 4.281}, {'text': 'night all over again it was yeah really', 'start': 3.24, 'duration': 5.31}, {'text': 'really pleased with so many things', 'start': 5.99, 'duration': 4.33}, {'text': 'really frustrated and disappointed with', 'start': 8.55, 'duration': 3.93}, {'text': 'the result and that could have been', 'start': 10.32, 'duration': 3.51}, {'text': ""worse you know you're thinking here we"", 'start': 12.48, 'duration': 3.329}, {'text': ""go again we're going to tell me our play"", 'start': 13.83, 'duration': 5.369}, {'text': 'seemed totally dominated team produced', 'start': 15.809, 'duration': 5.281}, {'text': 'some great football create chances and', 'start': 19.199, 'duration': 4.351}, {'text': ""isn't going to go in again thankfully we"", 'start': 21.09, 'duration': 4.199}, {'text': ""did we've got something for our efforts"", 'start': 23.55, 'duration': 4.17}, {'text': ""today I can't criticize the players at"", 'start': 25.289, 'duration': 4.201}, {'text': 'all for their application you know that', 'start': 27.72, 'duration': 3.809}, {'text': 'you can see they want to win you can see', 'start': 29.49, 'duration': 5.13}, {'text': 'the the desire this show to win and you', 'start': 31.529, 'duration': 4.921}, {'text': ""gotta be careful as well you don't we"", 'start': 34.62, 'duration': 3.45}, {'text': ""don't have an eejit reaction from this"", 'start': 36.45, 'duration': 3.15}, {'text': ""and think it isn't good enough because"", 'start': 38.07, 'duration': 3.72}, {'text': ""we haven't secured the points we can't"", 'start': 39.6, 'duration': 3.779}, {'text': ""we can't throw points away at home we"", 'start': 41.79, 'duration': 3.3}, {'text': ""can't keep doing that of course you know"", 'start': 43.379, 'duration': 5.221}, {'text': 'but it is those fine margins again just', 'start': 45.09, 'duration': 5.34}, {'text': 'before they score today how the ball', 'start': 48.6, 'duration': 3.66}, {'text': 'stayed I have no idea the keepers ended', 'start': 50.43, 'duration': 3.629}, {'text': 'up making a save on his back or most', 'start': 52.26, 'duration': 4.229}, {'text': 'them and all of a sudden you find', 'start': 54.059, 'duration': 4.531}, {'text': 'yourself one down but you know we got', 'start': 56.489, 'duration': 3.541}, {'text': 'the goal we cut again we could have', 'start': 58.59, 'duration': 3.269}, {'text': ""scored three four or five and again I've"", 'start': 60.03, 'duration': 3.299}, {'text': 'got another opposition manager coming up', 'start': 61.859, 'duration': 2.94}, {'text': ""to me saying I don't know how we've got"", 'start': 63.329, 'duration': 4.531}, {'text': ""something from that so yeah I'm pleased"", 'start': 64.799, 'duration': 4.921}, {'text': 'on please Dava slee the performance but', 'start': 67.86, 'duration': 4.049}, {'text': ""we've we've got to just avoid this where"", 'start': 69.72, 'duration': 4.41}, {'text': ""we're having to throw you know the"", 'start': 71.909, 'duration': 4.831}, {'text': 'kitchen sink opposition coming from', 'start': 74.13, 'duration': 4.02}, {'text': 'behind or not scoring the first off', 'start': 76.74, 'duration': 2.669}, {'text': ""that's the main concern for me now"", 'start': 78.15, 'duration': 3.719}, {'text': 'making sure we we sort out the first', 'start': 79.409, 'duration': 4.291}, {'text': 'half maybe get a goal in front because', 'start': 81.869, 'duration': 3.57}, {'text': 'great that we know we can come back in', 'start': 83.7, 'duration': 3.27}, {'text': ""two games but we don't need to be doing"", 'start': 85.439, 'duration': 3.18}, {'text': ""that you took my it's not a time for a"", 'start': 86.97, 'duration': 2.73}, {'text': 'knee-jerk reaction because the', 'start': 88.619, 'duration': 2.43}, {'text': ""performances have been good but it's"", 'start': 89.7, 'duration': 2.669}, {'text': 'just three points from the last four', 'start': 91.049, 'duration': 3.061}, {'text': ""home games and you can't afford to carry"", 'start': 92.369, 'duration': 2.941}, {'text': 'on like that can you exactly exactly', 'start': 94.11, 'duration': 3.24}, {'text': ""that's thus why you know we have to make"", 'start': 95.31, 'duration': 3.96}, {'text': ""sure that we can't keep doing that pure"", 'start': 97.35, 'duration': 3.9}, {'text': 'and simple you know one point from these', 'start': 99.27, 'duration': 4.2}, {'text': ""last two games it isn't good enough of"", 'start': 101.25, 'duration': 5.49}, {'text': 'course but as I say the performances are', 'start': 103.47, 'duration': 5.31}, {'text': 'then it could quite and we all know but', 'start': 106.74, 'duration': 5.159}, {'text': ""we're not we're not trying to make"", 'start': 108.78, 'duration': 5.01}, {'text': 'things up or cloud the issue we all know', 'start': 111.899, 'duration': 3.781}, {'text': 'we could have won three or four nil in', 'start': 113.79, 'duration': 4.35}, {'text': 'both of the games so as I say you know', 'start': 115.68, 'duration': 4.079}, {'text': ""you're not doing an awful lot wrong but"", 'start': 118.14, 'duration': 4.049}, {'text': 'ultimately the matter what I say no', 'start': 119.759, 'duration': 4.441}, {'text': 'matter we keep standing here saying that', 'start': 122.189, 'duration': 3.991}, {'text': 'we have got to turn that into salts in', 'start': 124.2, 'duration': 3.96}, {'text': 'the manner we were doing a few weeks ago', 'start': 126.18, 'duration': 2.92}, {'text': 'so', 'start': 128.16, 'duration': 2.68}, {'text': ""I'm not I'm not going to criticize the"", 'start': 129.1, 'duration': 3.78}, {'text': 'players for you know for not creating or', 'start': 130.84, 'duration': 3.3}, {'text': 'for not working hard enough because they', 'start': 132.88, 'duration': 2.58}, {'text': 'did die I mean everyone in the ground', 'start': 134.14, 'duration': 3.57}, {'text': 'Caesar well do we need a little bit of', 'start': 135.46, 'duration': 3.96}, {'text': 'luck I think so yeah do we need them', 'start': 137.71, 'duration': 3.39}, {'text': 'penalty decisions again going with us', 'start': 139.42, 'duration': 4.98}, {'text': ""yes but overall you know we've given a"", 'start': 141.1, 'duration': 5.1}, {'text': ""hell of a go and we just haven't got the"", 'start': 144.4, 'duration': 3.3}, {'text': 'results of these in his last few games', 'start': 146.2, 'duration': 2.82}, {'text': 'particularly at home you talked about', 'start': 147.7, 'duration': 2.91}, {'text': 'the penalty decisions do any complaints', 'start': 149.02, 'duration': 2.88}, {'text': 'about the one you can see you today oh', 'start': 150.61, 'duration': 4.05}, {'text': ""no i'll buy one we conceded no it's a"", 'start': 151.9, 'duration': 5.25}, {'text': ""penalty here john's he's got there late"", 'start': 154.66, 'duration': 4.8}, {'text': ""and let's a pen no two ways about it and"", 'start': 157.15, 'duration': 5.16}, {'text': 'what compounds that as i say 20 seconds', 'start': 159.46, 'duration': 4.35}, {'text': 'before that we think about we won a lot', 'start': 162.31, 'duration': 3.33}, {'text': ""at last we've got the goal and we go on"", 'start': 163.81, 'duration': 4.89}, {'text': 'and win it possibly and that is a that', 'start': 165.64, 'duration': 4.74}, {'text': 'was hard to take what it was a penalty', 'start': 168.7, 'duration': 3.3}, {'text': 'no complaints at all about that is a', 'start': 170.38, 'duration': 5.22}, {'text': 'foul I thought I thought josh murphy and', 'start': 172.0, 'duration': 5.4}, {'text': 'an identical foul committed on him', 'start': 175.6, 'duration': 4.02}, {'text': 'almost on the identical same spot that', 'start': 177.4, 'duration': 4.44}, {'text': 'has to be a penalty as well that Richard', 'start': 179.62, 'duration': 4.17}, {'text': 'brinley handled the ball in the box so', 'start': 181.84, 'duration': 4.41}, {'text': 'that was a penalty as well and he just', 'start': 183.79, 'duration': 3.99}, {'text': ""hasn't gone with us that that little bit"", 'start': 186.25, 'duration': 4.41}, {'text': ""of good fortune whatever it's called but"", 'start': 187.78, 'duration': 5.28}, {'text': 'generally the performances are there but', 'start': 190.66, 'duration': 3.57}, {'text': 'of course we have to turn that into', 'start': 193.06, 'duration': 3.03}, {'text': 'result some points you started the week', 'start': 194.23, 'duration': 3.51}, {'text': 'top of the table with two home games to', 'start': 196.09, 'duration': 3.12}, {'text': 'come to have any finish with one point', 'start': 197.74, 'duration': 3.09}, {'text': 'from those two you must feel like a bit', 'start': 199.21, 'duration': 3.51}, {'text': 'of a missed opportunity yeah and I think', 'start': 200.83, 'duration': 3.75}, {'text': 'what the examples well every other teams', 'start': 202.72, 'duration': 3.09}, {'text': 'probably stand the near saying the same', 'start': 204.58, 'duration': 3.93}, {'text': 'thing you know what act the way I look', 'start': 205.81, 'duration': 6.54}, {'text': ""at it is we've missed an opportunity to"", 'start': 208.51, 'duration': 5.52}, {'text': 'be three four five points clear at the', 'start': 212.35, 'duration': 3.75}, {'text': 'top now we still top of the table which', 'start': 214.03, 'duration': 3.96}, {'text': 'suggests we doing plenty things right', 'start': 216.1, 'duration': 4.98}, {'text': 'but I see it as many the supporters no', 'start': 217.99, 'duration': 4.71}, {'text': ""doubt well we've dropped five points at"", 'start': 221.08, 'duration': 4.65}, {'text': ""home put that onto a total now there's a"", 'start': 222.7, 'duration': 5.07}, {'text': 'nice little cushion as it as it is now', 'start': 225.73, 'duration': 3.81}, {'text': 'and every other teams in the same boat', 'start': 227.77, 'duration': 3.93}, {'text': ""that isn't the cushion it's so tight but"", 'start': 229.54, 'duration': 4.05}, {'text': ""we're still talk on until you know we"", 'start': 231.7, 'duration': 3.44}, {'text': ""see what happens with tomorrow's result"", 'start': 233.59, 'duration': 4.17}, {'text': ""but it is a frustrating 1 i'm really"", 'start': 235.14, 'duration': 4.87}, {'text': 'pleased with you know so many things in', 'start': 237.76, 'duration': 3.81}, {'text': ""our game but i'm disappointed and"", 'start': 240.01, 'duration': 4.11}, {'text': 'frustrated with with the the points with', 'start': 241.57, 'duration': 4.2}, {'text': 'let go', 'start': 244.12, 'duration': 4.85}, {'text': ""this guy's"", 'start': 245.77, 'duration': 3.2}]"
mZes,KqRFAHFPGXQ,"[0, 1, 5, 42, 695, 938, 1279]",
Qtes,KzrvvO9aCgU,"[133, 325]",
CZes,9MSYWkfSR94,[1875],
jPes,ue2rYwhLDPM,"[6, 8]",
a9es,VG87MHu5-PY,"[0, 1, 93, 102, 1193]",
MAes,VTZG396-ls4,"[6, 8, 206, 650]",
4Res,NdiUYSmnZ3o,"[3, 6, 8]",
sIes,_Zqc9MHUlas,"[11, 229, 749, 2945]","[{'text': 'hello Lou servers welcome GN on the', 'start': 0.0, 'duration': 2.82}, {'text': 'bureau you with me to the master of', 'start': 1.589, 'duration': 3.69}, {'text': 'puppets today I be enjoyed by Dalton x', 'start': 2.82, 'duration': 4.59}, {'text': 'ray dalton brought a beer over a stone', 'start': 5.279, 'duration': 4.86}, {'text': 'dear this is his stone imperial russian', 'start': 7.41, 'duration': 6.389}, {'text': ""stout the 2012 release and I've already"", 'start': 10.139, 'duration': 6.9}, {'text': 'reviewed an older vintage of this in a', 'start': 13.799, 'duration': 5.611}, {'text': 'big four-person cool that we did the guy', 'start': 17.039, 'duration': 4.051}, {'text': 'some of the guys of Duty nation me', 'start': 19.41, 'duration': 5.76}, {'text': 'winton rhyme and and Daniel that was', 'start': 21.09, 'duration': 6.39}, {'text': 'real cool real fun to do that tasting', 'start': 25.17, 'duration': 3.48}, {'text': 'like who had a different vintage each', 'start': 27.48, 'duration': 4.26}, {'text': 'and i had like it 09 vintage yeah but', 'start': 28.65, 'duration': 4.05}, {'text': ""this is the first time since I've never"", 'start': 31.74, 'duration': 2.61}, {'text': 'i refresh and now get wrinkly stone', 'start': 32.7, 'duration': 4.109}, {'text': 'russian stout out of my story reverses', 'start': 34.35, 'duration': 6.119}, {'text': ""top-class o'clock so yes'm have you had"", 'start': 36.809, 'duration': 5.671}, {'text': 'this nope this is actually gonna be my', 'start': 40.469, 'duration': 4.351}, {'text': 'first imperial russian stout they do', 'start': 42.48, 'duration': 5.309}, {'text': ""yeah oh so i thought i'd pick this up"", 'start': 44.82, 'duration': 5.07}, {'text': ""and try and make up you're gonna love"", 'start': 47.789, 'duration': 3.84}, {'text': ""louis if he likes Tuggle's I have to get"", 'start': 49.89, 'duration': 3.059}, {'text': ""a good work I'm looking forward to it"", 'start': 51.629, 'duration': 3.241}, {'text': ""yeah I have someone's in there we're"", 'start': 52.949, 'duration': 6.601}, {'text': ""gonna nice but yeah it's on it's pretty"", 'start': 54.87, 'duration': 7.739}, {'text': ""it's 10.5 it's an alcohol and yeah since"", 'start': 59.55, 'duration': 7.35}, {'text': 'you brought the beauty lounge sure so we', 'start': 62.609, 'duration': 9.571}, {'text': 'got the stove IRS poured and yeah page', 'start': 66.9, 'duration': 9.149}, {'text': 'by page wife no like comes real oven at', 'start': 72.18, 'duration': 5.549}, {'text': 'all a little light of the ages of your', 'start': 76.049, 'duration': 3.601}, {'text': ""eyes but it just it's not even just"", 'start': 77.729, 'duration': 6.171}, {'text': 'barely like a little light brown a nice', 'start': 79.65, 'duration': 7.829}, {'text': 'on my part one finger tan roasted', 'start': 83.9, 'duration': 5.32}, {'text': 'looking in looks like a real nice an', 'start': 87.479, 'duration': 6.091}, {'text': 'aerial stuff to go through ooh super', 'start': 89.22, 'duration': 6.539}, {'text': 'roasted liquor she definitely I got a', 'start': 93.57, 'duration': 4.32}, {'text': 'lot of you that that anise kind of', 'start': 95.759, 'duration': 5.581}, {'text': 'flavor some like dark dark chocolate it', 'start': 97.89, 'duration': 5.49}, {'text': 'has some booze to the doc yeah it has it', 'start': 101.34, 'duration': 4.529}, {'text': ""has a booze eNOS I've smoked aroma's an"", 'start': 103.38, 'duration': 3.54}, {'text': ""imperial stouts where they've been"", 'start': 105.869, 'duration': 2.671}, {'text': 'hitting better better but this does', 'start': 106.92, 'duration': 5.909}, {'text': 'monrovia own roasted coffee dark', 'start': 108.54, 'duration': 5.969}, {'text': 'chocolate he does have some dark fruit', 'start': 112.829, 'duration': 5.281}, {'text': ""notes yeah it's like raising prunes like"", 'start': 114.509, 'duration': 6.641}, {'text': 'even on the label it says current', 'start': 118.11, 'duration': 6.88}, {'text': 'smelled of current flavor yeah like a', 'start': 121.15, 'duration': 7.2}, {'text': ""dried yeah I can dance well that's it"", 'start': 124.99, 'duration': 5.73}, {'text': 'has like shit it has yeah nice roasted', 'start': 128.35, 'duration': 4.53}, {'text': 'feel to it like roasted coffee too but', 'start': 130.72, 'duration': 4.35}, {'text': ""that's a little bit of like a booze eNOS"", 'start': 132.88, 'duration': 3.93}, {'text': 'tuned I get a sharp alcohol in the air', 'start': 135.07, 'duration': 3.12}, {'text': ""oh man I didn't get that at all because"", 'start': 136.81, 'duration': 3.42}, {'text': ""I've only had him a oh nine vintage"", 'start': 138.19, 'duration': 3.78}, {'text': ""store only but I've had their own"", 'start': 140.23, 'duration': 3.39}, {'text': 'language yeah but it still smells like a', 'start': 141.97, 'duration': 4.23}, {'text': 'really really good curls talk normal', 'start': 143.62, 'duration': 8.84}, {'text': ""that's my goodness Asia cheers Cheers"", 'start': 146.2, 'duration': 6.26}, {'text': 'hello much more smooth than the taste', 'start': 156.4, 'duration': 4.63}, {'text': ""though yeah you don't taste 10-point"", 'start': 158.84, 'duration': 4.53}, {'text': ""what was a 10.45 no you don't taste that"", 'start': 161.03, 'duration': 5.16}, {'text': ""at all very well Matt then there's maybe"", 'start': 163.37, 'duration': 4.59}, {'text': ""a subtle hint a warmth but you don't"", 'start': 166.19, 'duration': 4.71}, {'text': ""need any boozy taste in it's very very"", 'start': 167.96, 'duration': 6.0}, {'text': 'dark fruity I think yeah lots of dark', 'start': 170.9, 'duration': 6.27}, {'text': ""didn't real dark chocolate like that not"", 'start': 173.96, 'duration': 5.37}, {'text': 'even the is not eighty percent not the', 'start': 177.17, 'duration': 5.76}, {'text': 'sweet like super super dark hmm is it', 'start': 179.33, 'duration': 5.37}, {'text': ""it's got a real good balance of roasted"", 'start': 182.93, 'duration': 3.42}, {'text': ""sweetness but it's more on the roast eat"", 'start': 184.7, 'duration': 3.93}, {'text': 'and kind of almost Ashley side yeah', 'start': 186.35, 'duration': 5.13}, {'text': 'compared to the sweeter ones like I had', 'start': 188.63, 'duration': 4.77}, {'text': 'the espresso o gauge Yeti in there we', 'start': 191.48, 'duration': 4.2}, {'text': ""can try some point that's going to be so"", 'start': 193.4, 'duration': 5.37}, {'text': 'much yeah or like the one I had recently', 'start': 195.68, 'duration': 5.13}, {'text': 'what you need to try the Telugu yet or', 'start': 198.77, 'duration': 4.08}, {'text': 'Goliath which is maybe coffee beans', 'start': 200.81, 'duration': 5.7}, {'text': 'those look like an 11-percent yeah ten', 'start': 202.85, 'duration': 5.04}, {'text': 'points something to everything but this', 'start': 206.51, 'duration': 3.63}, {'text': ""is really tasty yeah it's got a really"", 'start': 207.89, 'duration': 5.94}, {'text': 'nice roasted all sort of like a little', 'start': 210.14, 'duration': 5.07}, {'text': 'bitter that lingers on your tongue', 'start': 213.83, 'duration': 4.44}, {'text': 'afterward and it has like a slight kind', 'start': 215.21, 'duration': 5.13}, {'text': 'of maybe grassy hot flavor to it in the', 'start': 218.27, 'duration': 4.05}, {'text': 'first initials if I get kind of fresh', 'start': 220.34, 'duration': 4.56}, {'text': ""lightly hoppy character to it yeah we're"", 'start': 222.32, 'duration': 4.56}, {'text': ""just lightly it's a little surprising"", 'start': 224.9, 'duration': 3.27}, {'text': ""because like you said that you don't"", 'start': 226.88, 'duration': 3.56}, {'text': 'taste any alcohol and you get a hop', 'start': 228.17, 'duration': 5.07}, {'text': ""flavor that you don't smell yeah doesn't"", 'start': 230.44, 'duration': 4.9}, {'text': ""it come through the gosh it's fresh I'm"", 'start': 233.24, 'duration': 3.99}, {'text': 'sure yeah as in a couple of like you can', 'start': 235.34, 'duration': 4.32}, {'text': 'ages for a long time I pick up a bottle', 'start': 237.23, 'duration': 4.62}, {'text': 'actually and that age hold on to for a', 'start': 239.66, 'duration': 4.29}, {'text': 'year so that would be a great idea I', 'start': 241.85, 'duration': 4.35}, {'text': 'mind i had my last year from move from', 'start': 243.95, 'duration': 3.87}, {'text': ""online so it's like two years old and I"", 'start': 246.2, 'duration': 4.74}, {'text': 'was freaking phenomenal I like the own', 'start': 247.82, 'duration': 4.47}, {'text': 'either than this but this is still a', 'start': 250.94, 'duration': 2.85}, {'text': 'great great great great community but', 'start': 252.29, 'duration': 3.24}, {'text': 'real stuff the only thing I want to put', 'start': 253.79, 'duration': 2.04}, {'text': 'my', 'start': 255.53, 'duration': 2.1}, {'text': ""about it a little bit of heat but that's"", 'start': 255.83, 'duration': 6.42}, {'text': 'kind of a new agey definitely then drive', 'start': 257.63, 'duration': 6.57}, {'text': 'drive drive dark fruits of prunes', 'start': 262.25, 'duration': 5.31}, {'text': 'raisins a little bit of a dark coffee or', 'start': 264.2, 'duration': 6.06}, {'text': 'dark care a slight the slight sweetness', 'start': 267.56, 'duration': 4.86}, {'text': ""it's all yeah it's not to notice royalty"", 'start': 270.26, 'duration': 4.08}, {'text': 'but it does have the end like a solid', 'start': 272.42, 'duration': 4.14}, {'text': ""slight sweetness to this device isn't"", 'start': 274.34, 'duration': 4.26}, {'text': 'very well balanced yeah super well', 'start': 276.56, 'duration': 5.52}, {'text': ""balanced it's it's a real tasty it"", 'start': 278.6, 'duration': 5.88}, {'text': ""wasn't really tasty what did great would"", 'start': 282.08, 'duration': 7.98}, {'text': 'you get this hmm well this is my first', 'start': 284.48, 'duration': 8.13}, {'text': ""imperial russian stout and i'm very"", 'start': 290.06, 'duration': 5.34}, {'text': 'impressive um definitely gonna try this', 'start': 292.61, 'duration': 5.64}, {'text': ""aged but as it is i'm gonna give this"", 'start': 295.4, 'duration': 7.59}, {'text': ""one I think 97 that's up this is my this"", 'start': 298.25, 'duration': 7.29}, {'text': ""is my kind of beer yeah it's a big"", 'start': 302.99, 'duration': 5.04}, {'text': 'beards yeah I kissed your too um i think', 'start': 305.54, 'duration': 8.1}, {'text': 'i gave the 09 a 95 or 96 or something', 'start': 308.03, 'duration': 7.41}, {'text': ""I'm gonna go lower than that this one"", 'start': 313.64, 'duration': 3.42}, {'text': ""I'm gonna give it in 92 just because a"", 'start': 315.44, 'duration': 2.85}, {'text': 'little bit of booze character and all', 'start': 317.06, 'duration': 3.12}, {'text': 'and I like it with some age but still a', 'start': 318.29, 'duration': 4.08}, {'text': 'world-class Imperial Stout definitely', 'start': 320.18, 'duration': 3.3}, {'text': 'worth your time I know this should be', 'start': 322.37, 'duration': 2.67}, {'text': 'easy to get in the way to almost no', 'start': 323.48, 'duration': 3.6}, {'text': 'matter where you are in the country you', 'start': 325.04, 'duration': 3.69}, {'text': 'stole make some really really good beers', 'start': 327.08, 'duration': 3.75}, {'text': 'I yet to have a single one from on that', 'start': 328.73, 'duration': 3.75}, {'text': 'specifically I guys that does it for', 'start': 330.83, 'duration': 3.29}, {'text': 'this beer review of the stone imperial', 'start': 332.48, 'duration': 4.92}, {'text': 'russian stout from 2012 I remember so', 'start': 334.12, 'duration': 4.27}, {'text': 'that is not what you think of this crew', 'start': 337.4, 'duration': 2.43}, {'text': ""if you've had it as always room for"", 'start': 338.39, 'duration': 2.49}, {'text': 'comment subscribe check out the facebook', 'start': 339.83, 'duration': 2.82}, {'text': 'fan page and twitter organized a cheers', 'start': 340.88, 'duration': 4.53}, {'text': ""Cheers we're going to see you guys at"", 'start': 342.65, 'duration': 5.15}, {'text': 'the beauty', 'start': 345.41, 'duration': 2.39}]"
vBes,WIUg__U2Fx8,[354],
fLes,U2L8TjvPQE8,"[0, 52, 70, 125]",
TAes,0QNC6dEWv4Q,"[289, 669]",
vKes,r3cVDZ47TgU,[666],
wAes,rG2DgTDMUTM,"[71, 152, 849]",
