jqat,P945yGdwsa8,[13],
gWat,36hWreI8Jv8,[39],"[{'text': 'thank you', 'start': 7.059, 'duration': 9.761}, {'text': ""you know me to me I'm worth it hi guys"", 'start': 9.05, 'duration': 9.96}, {'text': 'welcome back to my channel and no it is', 'start': 16.82, 'duration': 4.95}, {'text': 'not another make it in my video it is a', 'start': 19.01, 'duration': 5.339}, {'text': 'target dulles one hole and I love', 'start': 21.77, 'duration': 4.649}, {'text': 'talking so much I know that you guys as', 'start': 24.349, 'duration': 4.531}, {'text': 'well so this is one of my favorite holds', 'start': 26.419, 'duration': 4.921}, {'text': ""to do in life because it's just so much"", 'start': 28.88, 'duration': 5.04}, {'text': 'fun target is like live ok I have said', 'start': 31.34, 'duration': 4.47}, {'text': ""that so many times before I'm probably"", 'start': 33.92, 'duration': 5.13}, {'text': 'in every time at all but yeah it is life', 'start': 35.81, 'duration': 6.12}, {'text': 'ok so I have a big pile up right here', 'start': 39.05, 'duration': 5.61}, {'text': ""nice organized so let's dig into it"", 'start': 41.93, 'duration': 4.62}, {'text': 'shall we so the first thing that I have', 'start': 44.66, 'duration': 4.769}, {'text': 'is a ton of sticky notes that I was so', 'start': 46.55, 'duration': 5.189}, {'text': 'crazy because targa had like this', 'start': 49.429, 'duration': 5.16}, {'text': ""amazing selection of what's a colored"", 'start': 51.739, 'duration': 5.19}, {'text': 'like stationery and I picked up every', 'start': 54.589, 'duration': 4.2}, {'text': ""single one of them because I love what's"", 'start': 56.929, 'duration': 3.961}, {'text': 'a color everything it is just such a', 'start': 58.789, 'duration': 3.781}, {'text': 'pretty thing and especially when it has', 'start': 60.89, 'duration': 4.05}, {'text': 'a handwritten font as a lot of the items', 'start': 62.57, 'duration': 4.77}, {'text': 'i will show you how a lot of selection', 'start': 64.94, 'duration': 4.23}, {'text': 'on sticky notes because you can just', 'start': 67.34, 'duration': 4.5}, {'text': 'take them in anything especially your', 'start': 69.17, 'duration': 4.71}, {'text': 'planner which is what I love to do at', 'start': 71.84, 'duration': 4.59}, {'text': 'sticky notes are a must and yeah this is', 'start': 73.88, 'duration': 4.23}, {'text': 'the Daleks was like everything was a', 'start': 76.43, 'duration': 4.56}, {'text': 'dollar next up I have a pack of these', 'start': 78.11, 'duration': 5.61}, {'text': 'cute little paper clips and every time I', 'start': 80.99, 'duration': 4.2}, {'text': 'say paper clips or any kind of', 'start': 83.72, 'duration': 3.66}, {'text': ""stationery items that I'm not like pens"", 'start': 85.19, 'duration': 4.23}, {'text': 'on paper I always vibey could always', 'start': 87.38, 'duration': 4.74}, {'text': 'come in so handy for like glue diys and', 'start': 89.42, 'duration': 4.86}, {'text': ""stuff so it's always fun to just pick up"", 'start': 92.12, 'duration': 4.44}, {'text': 'a bunch of these when it go okay so just', 'start': 94.28, 'duration': 5.01}, {'text': ""like sticky notes I can't not pick up"", 'start': 96.56, 'duration': 5.19}, {'text': 'all of their no paths days are so', 'start': 99.29, 'duration': 3.9}, {'text': 'proceed like this is something to', 'start': 101.75, 'duration': 3.84}, {'text': 'produce one but I got so far there is', 'start': 103.19, 'duration': 4.59}, {'text': 'like a watercolor flow of Chris one one', 'start': 105.59, 'duration': 3.69}, {'text': ""that says pretty little know it's like"", 'start': 107.78, 'duration': 3.75}, {'text': 'how cute is that then I have one with', 'start': 109.28, 'duration': 4.83}, {'text': 'like that red flower theme and I felt as', 'start': 111.53, 'duration': 3.99}, {'text': 'if that was a stuff because a lot of the', 'start': 114.11, 'duration': 3.63}, {'text': 'things like mushed together and then i', 'start': 115.52, 'duration': 4.35}, {'text': 'have this hombre one which says note to', 'start': 117.74, 'duration': 4.41}, {'text': 'self and all these notepad hot like my', 'start': 119.87, 'duration': 4.63}, {'text': 'land backings at the back sorry super', 'start': 122.15, 'duration': 4.0}, {'text': 'star like your friend to any magnetic', 'start': 124.5, 'duration': 3.72}, {'text': 'surface okay next up I went a bit', 'start': 126.15, 'duration': 4.41}, {'text': 'overboard in this but target this tired', 'start': 128.22, 'duration': 3.93}, {'text': 'have a ton of new cars which I never', 'start': 130.56, 'duration': 3.27}, {'text': 'released so before so when I saw these', 'start': 132.15, 'duration': 4.14}, {'text': 'Omega actually how was I to not get them', 'start': 133.83, 'duration': 4.53}, {'text': 'up especially since as you will see they', 'start': 136.29, 'duration': 5.13}, {'text': 'are beautiful and watercolor inspired so', 'start': 138.36, 'duration': 4.86}, {'text': ""i have this paper where's hombre and"", 'start': 141.42, 'duration': 4.289}, {'text': 'looks like paintbrushes stroke like she', 'start': 143.22, 'duration': 4.35}, {'text': 'like seem like a calligraphy pen stroke', 'start': 145.709, 'duration': 3.451}, {'text': ""that's how I looked then I have this one"", 'start': 147.57, 'duration': 3.15}, {'text': 'which is wiped with just de Silva', 'start': 149.16, 'duration': 3.33}, {'text': 'splotches on it i feel like i love', 'start': 150.72, 'duration': 2.97}, {'text': 'simple things like these that are', 'start': 152.49, 'duration': 3.3}, {'text': 'abstract because they look so good then', 'start': 153.69, 'duration': 3.87}, {'text': 'i have this big one which says why hello', 'start': 155.79, 'duration': 4.74}, {'text': 'why hello to you too and then I had this', 'start': 157.56, 'duration': 4.5}, {'text': 'beautiful mint green more which is a', 'start': 160.53, 'duration': 4.05}, {'text': 'thank you card and again boys to color', 'start': 162.06, 'duration': 4.05}, {'text': 'and handwritten font which is what I', 'start': 164.58, 'duration': 3.24}, {'text': ""love so I love my Tommy brings I'm"", 'start': 166.11, 'duration': 4.65}, {'text': 'stopping its super cohesive so beautiful', 'start': 167.82, 'duration': 5.73}, {'text': 'next up of course is some pens and', 'start': 170.76, 'duration': 4.979}, {'text': ""pencils I didn't really get much fun so"", 'start': 173.55, 'duration': 3.6}, {'text': 'when you got four but as you can see', 'start': 175.739, 'duration': 3.331}, {'text': 'where Z pencils it definitely matches', 'start': 177.15, 'duration': 4.53}, {'text': 'all the stationery that I got so I love', 'start': 179.07, 'duration': 4.98}, {'text': 'that margin beauty in their target have', 'start': 181.68, 'duration': 4.26}, {'text': 'I never really saw a step like this a', 'start': 184.05, 'duration': 3.81}, {'text': 'target so this is really exciting to', 'start': 185.94, 'duration': 3.72}, {'text': 'have off my stage very super marching', 'start': 187.86, 'duration': 4.05}, {'text': 'marching it I just love that and then I', 'start': 189.66, 'duration': 4.23}, {'text': 'have these two beautiful pens which', 'start': 191.91, 'duration': 3.63}, {'text': 'marks the notepads and these sticky', 'start': 193.89, 'duration': 3.99}, {'text': ""notes I'm a little card so loving these"", 'start': 195.54, 'duration': 5.07}, {'text': 'bits and I picked up this Q journal', 'start': 197.88, 'duration': 5.31}, {'text': ""which says notes on it again what's a"", 'start': 200.61, 'duration': 4.2}, {'text': ""cover and handwritten font like I don't"", 'start': 203.19, 'duration': 3.269}, {'text': 'have to say that anymore because you', 'start': 204.81, 'duration': 3.899}, {'text': 'definitely get the point at it I love', 'start': 206.459, 'duration': 4.231}, {'text': ""this size like it's so troubled sighs"", 'start': 208.709, 'duration': 4.171}, {'text': 'friendly i love that if you have more in', 'start': 210.69, 'duration': 4.17}, {'text': 'these girl I would have picked up every', 'start': 212.88, 'duration': 4.05}, {'text': 'single one in every single color and', 'start': 214.86, 'duration': 3.78}, {'text': 'then there is this play the cutest one', 'start': 216.93, 'duration': 4.26}, {'text': 'is this hombre de one with the gold', 'start': 218.64, 'duration': 4.92}, {'text': 'fonts have seen string then you have to', 'start': 221.19, 'duration': 4.44}, {'text': 'like open and like tire loan journal', 'start': 223.56, 'duration': 5.22}, {'text': ""together glasses so Oh Bosh on it's so"", 'start': 225.63, 'duration': 4.949}, {'text': ""cute i love it oh by the way we're like"", 'start': 228.78, 'duration': 3.929}, {'text': 'almost finished then I picked up these', 'start': 230.579, 'duration': 4.801}, {'text': 'folders so as you can see they mark', 'start': 232.709, 'duration': 5.461}, {'text': ""everything else they're so pretty and I"", 'start': 235.38, 'duration': 4.78}, {'text': 'love the tops we call it Tom', 'start': 238.17, 'duration': 4.53}, {'text': 'or later right on top hair and then oh', 'start': 240.16, 'duration': 5.07}, {'text': ""my god I can't chew this legs between"", 'start': 242.7, 'duration': 4.57}, {'text': 'this one and this one like which one do', 'start': 245.23, 'duration': 6.63}, {'text': 'you like more ok I have to say that I do', 'start': 247.27, 'duration': 6.39}, {'text': 'like me over it one more like when I', 'start': 251.86, 'duration': 3.69}, {'text': 'looked at it like so like II tipped a', 'start': 253.66, 'duration': 4.68}, {'text': 'blooping aquamarine teal thing going on', 'start': 255.55, 'duration': 5.31}, {'text': 'your back hair love this that as always', 'start': 258.34, 'duration': 3.81}, {'text': ""cuz you I'm weird like that i always"", 'start': 260.86, 'duration': 4.29}, {'text': 'have to pick up up at your time somehow', 'start': 262.15, 'duration': 4.68}, {'text': ""I always another one like what I'm gonna"", 'start': 265.15, 'duration': 4.08}, {'text': 'do with it I have no idea but I mean', 'start': 266.83, 'duration': 4.02}, {'text': ""it's the dumbest spot so you just don't"", 'start': 269.23, 'duration': 3.81}, {'text': ""pass these things that you just don't I"", 'start': 270.85, 'duration': 4.08}, {'text': 'have like these little clothes pins with', 'start': 273.04, 'duration': 3.51}, {'text': 'a scalloped edge and I think in my last', 'start': 274.93, 'duration': 3.93}, {'text': 'targets those bubble I have the white', 'start': 276.55, 'duration': 4.74}, {'text': 'ones I got you pink ones this time so', 'start': 278.86, 'duration': 4.17}, {'text': 'sorry for and then they have this cube', 'start': 281.29, 'duration': 4.23}, {'text': ""mini chopped wood so it's cute I will"", 'start': 283.03, 'duration': 4.8}, {'text': 'find something to do with these right', 'start': 285.52, 'duration': 3.96}, {'text': 'now I can just sit and appreciate its', 'start': 287.83, 'duration': 4.71}, {'text': ""busy okay its last two things yeah we're"", 'start': 289.48, 'duration': 5.58}, {'text': 'some baskets and I love this because it', 'start': 292.54, 'duration': 4.77}, {'text': 'could hold so much little things on it', 'start': 295.06, 'duration': 4.29}, {'text': 'on your desk or on your vanity or', 'start': 297.31, 'duration': 4.11}, {'text': 'anywhere like that so i have this white', 'start': 299.35, 'duration': 4.29}, {'text': 'Tupac square storage and this was a', 'start': 301.42, 'duration': 4.17}, {'text': 'dollar and this is also down this is the', 'start': 303.64, 'duration': 4.14}, {'text': 'pig right time yellow one so i can see', 'start': 305.59, 'duration': 5.16}, {'text': 'myself definitely using these a lot like', 'start': 307.78, 'duration': 4.92}, {'text': 'stole bits and pieces here and there so', 'start': 310.75, 'duration': 3.99}, {'text': 'i hope that you guys enjoyed this target', 'start': 312.7, 'duration': 3.45}, {'text': 'dollars butthole be sure to give it a', 'start': 314.74, 'duration': 3.69}, {'text': 'huge thumbs up because i am going away', 'start': 316.15, 'duration': 4.74}, {'text': ""very soon so something Awful's get to"", 'start': 318.43, 'duration': 3.989}, {'text': '800 likes if you want to see more', 'start': 320.89, 'duration': 3.54}, {'text': ""talking dolls but halls I'm like falls"", 'start': 322.419, 'duration': 3.541}, {'text': ""in general because it's time to go"", 'start': 324.43, 'duration': 3.81}, {'text': 'shopping yo let me know if you are a', 'start': 325.96, 'duration': 3.9}, {'text': 'success will be talking doll this foot', 'start': 328.24, 'duration': 3.69}, {'text': 'as I am because we all know I have a', 'start': 329.86, 'duration': 4.32}, {'text': ""slight obsession and i'll talk to you"", 'start': 331.93, 'duration': 3.66}, {'text': ""guys in my next video you don't forget"", 'start': 334.18, 'duration': 2.91}, {'text': 'to subscribe anyway i would see will', 'start': 335.59, 'duration': 3.95}, {'text': 'miss a day', 'start': 337.09, 'duration': 2.45}]"
dQat,nPZjv2W9dMs,"[0, 1, 395]",
jaat,sGdEfM25NXI,"[14, 174]",
lrat,aHjTu8IN4dM,"[8, 3715]",
wHat,o-vRpW4Wdy0,[0],"[{'text': 'Michael congratulations two out of two', 'start': 0.14, 'duration': 3.519}, {'text': ""but you didn't make it easy for yourself"", 'start': 2.46, 'duration': 4.2}, {'text': 'no no I started farewell this game on', 'start': 3.659, 'duration': 5.331}, {'text': 'the air with its working on the Devils', 'start': 6.66, 'duration': 6.87}, {'text': 'yeah I mistreat us before no and every', 'start': 8.99, 'duration': 6.25}, {'text': 'other one you make another year for', 'start': 13.53, 'duration': 4.56}, {'text': 'yourself and I I missed three or four', 'start': 15.24, 'duration': 4.949}, {'text': 'dots and after I made so difficult for', 'start': 18.09, 'duration': 5.31}, {'text': 'myself I was struggling struggling but', 'start': 20.189, 'duration': 5.461}, {'text': 'rumor was nothing to do the games well', 'start': 23.4, 'duration': 6.9}, {'text': 'and I knew that that makes it hard work', 'start': 25.65, 'duration': 6.87}, {'text': ""very hard in there but i'm really happy"", 'start': 30.3, 'duration': 10.11}, {'text': ""i said i f'd or two yeah you know you're"", 'start': 32.52, 'duration': 9.78}, {'text': 'not definitely through but you got kind', 'start': 40.41, 'duration': 3.57}, {'text': 'of thought in the second round just one', 'start': 42.3, 'duration': 2.97}, {'text': 'game left but it takes the pressure off', 'start': 43.98, 'duration': 6.3}, {'text': 'yes of course this is a this big big', 'start': 45.27, 'duration': 7.41}, {'text': 'step if you lose this game you need to', 'start': 50.28, 'duration': 5.22}, {'text': ""win the next one that's makes all the"", 'start': 52.68, 'duration': 4.59}, {'text': ""pressure in the last game now we're just"", 'start': 55.5, 'duration': 3.92}, {'text': 'go straight on Tuesday and I down there', 'start': 57.27, 'duration': 4.65}, {'text': 'another good game on Alan the moon see', 'start': 59.42, 'duration': 5.5}, {'text': 'what happens there ever been a good game', 'start': 61.92, 'duration': 5.37}, {'text': ""allowance on nexium I think I'm already"", 'start': 64.92, 'duration': 5.43}, {'text': 'true so but we will see what happened', 'start': 67.29, 'duration': 4.59}, {'text': 'you never know when every day is another', 'start': 70.35, 'duration': 7.589}, {'text': ""day I'm happier this day is don't ya Ted"", 'start': 71.88, 'duration': 7.68}, {'text': 'had a good win today he seemed to have', 'start': 77.939, 'duration': 4.11}, {'text': ""come back into Fontaine's yeah i think"", 'start': 79.56, 'duration': 4.919}, {'text': ""it's also 63 this faulty mr. close like"", 'start': 82.049, 'duration': 3.36}, {'text': 'five buttons', 'start': 84.479, 'duration': 2.731}, {'text': 'if he had the one that stood the other', 'start': 85.409, 'duration': 4.35}, {'text': 'game and it was set against me against e', 'start': 87.21, 'duration': 5.43}, {'text': 'Beeny missed first like two dots so this', 'start': 89.759, 'duration': 6.331}, {'text': 'business a bit of us all pole and after', 'start': 92.64, 'duration': 5.61}, {'text': 'that come into the game and some good', 'start': 96.09, 'duration': 4.319}, {'text': ""French in English what's going do you"", 'start': 98.25, 'duration': 3.63}, {'text': 'think is important and for you to make a', 'start': 100.409, 'duration': 3.0}, {'text': 'good start against Ted get the first', 'start': 101.88, 'duration': 2.939}, {'text': 'couple legs and put him under pressure', 'start': 103.409, 'duration': 3.361}, {'text': 'yeah of course you always need to do to', 'start': 104.819, 'duration': 4.86}, {'text': 'everyone in so Taylor does matter would', 'start': 106.77, 'duration': 4.68}, {'text': 'with this you need to play well from', 'start': 109.679, 'duration': 3.841}, {'text': 'startled Yelp and not only two or three', 'start': 111.45, 'duration': 4.47}, {'text': ""lectures he's a player who he gets"", 'start': 113.52, 'duration': 3.689}, {'text': 'involved with the crowd sometimes', 'start': 115.92, 'duration': 3.479}, {'text': 'sometimes as it a little bit slowing', 'start': 117.209, 'duration': 4.26}, {'text': 'down is that something that you think', 'start': 119.399, 'duration': 4.11}, {'text': 'this year you could handle a little bit', 'start': 121.469, 'duration': 3.871}, {'text': 'better it happens on Tuesday yeah of', 'start': 123.509, 'duration': 5.7}, {'text': 'course I learned a lot lost the last few', 'start': 125.34, 'duration': 6.39}, {'text': ""years especially last year and I'd made"", 'start': 129.209, 'duration': 6.39}, {'text': ""some big steps and and I don't mind what"", 'start': 131.73, 'duration': 6.66}, {'text': 'he is doing i play my own game and he', 'start': 135.599, 'duration': 4.621}, {'text': 'needs to do what he wants yeah you have', 'start': 138.39, 'duration': 3.51}, {'text': 'had some great games in the past last', 'start': 140.22, 'duration': 3.269}, {'text': 'year it was 10-9 here in the second', 'start': 141.9, 'duration': 6.14}, {'text': 'hannah stupid again yeah we play well in', 'start': 143.489, 'duration': 7.47}, {'text': 'some good finishing and that in the last', 'start': 148.04, 'duration': 5.949}, {'text': 'couple of flexion but that month is', 'start': 150.959, 'duration': 5.241}, {'text': 'another to invent the saudi air man', 'start': 153.989, 'duration': 5.37}, {'text': ""that's a one year ago we are living now"", 'start': 156.2, 'duration': 5.59}, {'text': 'yeah you guys have a day off now and', 'start': 159.359, 'duration': 4.921}, {'text': ""rest and relax a bit yes God's always"", 'start': 161.79, 'duration': 4.529}, {'text': 'nice weather day off you generally so', 'start': 164.28, 'duration': 3.1}, {'text': 'bitter', 'start': 166.319, 'duration': 4.551}, {'text': ""yeah there's always good i like to do"", 'start': 167.38, 'duration': 5.38}, {'text': ""yeah we'll see back a tuesday thanks"", 'start': 170.87, 'duration': 4.07}, {'text': 'Mike', 'start': 172.76, 'duration': 2.18}]"
vnat,rYcNyGyYwEY,"[26, 334, 527, 637, 1320]",
ryat,hTC-s1VZ6_w,"[0, 1, 70, 125]",
sCat,hZtBgpAU3l4,"[15, 18, 67, 140]",
22at,h_FpQnV_lKM,"[0, 817, 961]",
J5at,wGAiv7pZAOU,"[2, 30]",
23at,w57EPf8dZJ0,[816],
snat,pPvxtTnJ-jY,[144],
n0at,-hzV94P-1N4,"[0, 1, 19, 409, 467, 1547]",
T4at,-nI4jnjpoz8,"[18, 43, 59, 60, 101, 286, 1032]",
9Hat,-rOCTV8PJ9E,"[179, 667, 1009, 2285]",
x7at,-trcgdcuwpk,"[15, 535, 555, 1044, 1090]",
ozat,-wpp0IROXUo,"[0, 1, 35, 3350]",
ojat,CnG1apM3RzI,"[21, 23, 24, 73]",
bMat,DuewJfZXZSM,"[2, 7, 2159]",
SPat,,[1020],
a2at,DyefAAaQhi8,"[11, 20, 22, 29, 32, 122, 221, 430]",
SLat,ZLMjZk7BrBQ,"[17, 19]",
tdat,OYWLScwq-nI,"[5, 1940]",
90at,O_2Zmirix0U,"[46, 107, 114, 1170]",
acat,,"[3, 89, 324]",
P5at,fSbaWREJjGc,"[184, 400, 416, 1152]",
PKat,fS1Oks54Dtc,"[2, 7, 90, 235, 1789, 2694]","[{'text': 'okay so before we put our valve cover', 'start': 0.03, 'duration': 6.36}, {'text': 'back on we need to clean this all this', 'start': 2.129, 'duration': 7.231}, {'text': 'this groove this groove that the that', 'start': 6.39, 'duration': 4.62}, {'text': 'the the valve cover gasket is going to', 'start': 9.36, 'duration': 3.659}, {'text': ""go to I'm going to use some big clean"", 'start': 11.01, 'duration': 6.499}, {'text': 'and just go around', 'start': 13.019, 'duration': 4.49}, {'text': 'and just going to do the same thing on', 'start': 23.89, 'duration': 6.94}, {'text': ""top it's actually goes little grommets"", 'start': 27.41, 'duration': 4.95}, {'text': 'that are for the spark plug holes is', 'start': 30.83, 'duration': 3.75}, {'text': ""they go over these and they're kind of"", 'start': 32.36, 'duration': 4.17}, {'text': 'metallic and italic looking on top and', 'start': 34.58, 'duration': 4.409}, {'text': ""that's for when though the locking nut"", 'start': 36.53, 'duration': 6.81}, {'text': ""goes screws over and if you don't want"", 'start': 38.989, 'duration': 6.75}, {'text': 'any any leaking into your spark plug', 'start': 43.34, 'duration': 4.71}, {'text': 'well I just make sure you clean these', 'start': 45.739, 'duration': 10.381}, {'text': 'thoroughly wipe them down all right', 'start': 48.05, 'duration': 11.849}, {'text': 'makes you get your your new valve cover', 'start': 56.12, 'duration': 7.43}, {'text': 'gasket and you start going around and', 'start': 59.899, 'duration': 6.811}, {'text': 'just pressing it in and it should the', 'start': 63.55, 'duration': 6.91}, {'text': 'you know most of them they come you can', 'start': 66.71, 'duration': 6.72}, {'text': 'lock them into place come with little', 'start': 70.46, 'duration': 5.64}, {'text': ""tabs on the sides of these and they'll"", 'start': 73.43, 'duration': 4.76}, {'text': ""stay in place while you're trying to"", 'start': 76.1, 'duration': 4.409}, {'text': 'install it back on this on their head', 'start': 78.19, 'duration': 6.61}, {'text': ""and yeah there's no need to use any RTV"", 'start': 80.509, 'duration': 7.831}, {'text': ""silicone on the side really don't have"", 'start': 84.8, 'duration': 8.069}, {'text': 'never used any and so far they all come', 'start': 88.34, 'duration': 9.44}, {'text': ""out pretty good so I wouldn't use any"", 'start': 92.869, 'duration': 7.911}, {'text': 'yeah', 'start': 97.78, 'duration': 3.0}, {'text': 'make sure they all go there go in all', 'start': 102.25, 'duration': 7.2}, {'text': ""the way in and they're nice and tight"", 'start': 105.71, 'duration': 3.74}, {'text': 'and yeah it stays in place okay so', 'start': 113.32, 'duration': 10.45}, {'text': 'before we put our valve cover back on we', 'start': 120.14, 'duration': 7.86}, {'text': 'need to put some gasket maker so March', 'start': 123.77, 'duration': 6.81}, {'text': 'TV silicone same kind I used on the', 'start': 128.0, 'duration': 5.13}, {'text': 'variant cap back here on four areas', 'start': 130.58, 'duration': 6.12}, {'text': 'basically well the first on each sides', 'start': 133.13, 'duration': 6.51}, {'text': ""there's going to be a round bearing cap"", 'start': 136.7, 'duration': 5.55}, {'text': 'like this and there you need to put some', 'start': 139.64, 'duration': 4.74}, {'text': 'RTV silicone is on this side right at', 'start': 142.25, 'duration': 3.84}, {'text': 'this weird is the bearing cap meets the', 'start': 144.38, 'duration': 4.68}, {'text': 'Telex on the head just from here maybe', 'start': 146.09, 'duration': 5.369}, {'text': 'up to here and same thing on the back', 'start': 149.06, 'duration': 4.74}, {'text': 'just going to be hard to show you but', 'start': 151.459, 'duration': 4.981}, {'text': 'you need to just do the best as you can', 'start': 153.8, 'duration': 6.51}, {'text': 'to get you know get an even amount even', 'start': 156.44, 'duration': 6.15}, {'text': 'bead on this area and the same thing on', 'start': 160.31, 'duration': 6.45}, {'text': ""the back and on right here this there's"", 'start': 162.59, 'duration': 7.38}, {'text': ""an uneven surface due to the I don't"", 'start': 166.76, 'duration': 4.56}, {'text': ""know exactly what there's a cap I think"", 'start': 169.97, 'duration': 5.1}, {'text': ""I'm at metal cap that they uh the hammer"", 'start': 171.32, 'duration': 6.57}, {'text': 'into this sled or whatnot but anyway', 'start': 175.07, 'duration': 5.16}, {'text': ""it's slightly uneven right here here and"", 'start': 177.89, 'duration': 4.02}, {'text': 'here so you need to put a bead of', 'start': 180.23, 'duration': 4.979}, {'text': 'silicone right from here all the way to', 'start': 181.91, 'duration': 5.609}, {'text': 'here and same thing on the other side', 'start': 185.209, 'duration': 6.511}, {'text': 'basically put a put a bead from from', 'start': 187.519, 'duration': 6.991}, {'text': 'here to here and right where the cap', 'start': 191.72, 'duration': 4.859}, {'text': ""meets the top it's on the head here to"", 'start': 194.51, 'duration': 4.71}, {'text': 'here and same thing on that side okay so', 'start': 196.579, 'duration': 4.591}, {'text': 'after putting RTV silicone in the areas', 'start': 199.22, 'duration': 3.45}, {'text': ""I showed you it's time to put our valve"", 'start': 201.17, 'duration': 4.02}, {'text': 'cover back on make sure you put this you', 'start': 202.67, 'duration': 4.05}, {'text': 'get all the cables and stuff out of the', 'start': 205.19, 'duration': 3.98}, {'text': 'way and you put this evenly as you can', 'start': 206.72, 'duration': 4.98}, {'text': 'otherwise the valve cover gasket might', 'start': 209.17, 'duration': 5.26}, {'text': 'move and you might have to take it off', 'start': 211.7, 'duration': 7.3}, {'text': ""and put it back on you know it's pain"", 'start': 214.43, 'duration': 8.72}, {'text': 'okay all right', 'start': 219.0, 'duration': 7.69}, {'text': 'that came out pretty evenly okay so with', 'start': 223.15, 'duration': 5.13}, {'text': ""the valve cover back on now it's"", 'start': 226.69, 'duration': 3.93}, {'text': 'basically just putting everything back', 'start': 228.28, 'duration': 4.41}, {'text': ""together don't forget to put these"", 'start': 230.62, 'duration': 4.29}, {'text': 'rubber grommets back on over the spark', 'start': 232.69, 'duration': 5.85}, {'text': 'plug holes you can dab these in oil but', 'start': 234.91, 'duration': 6.72}, {'text': ""these are all the way at top and they're"", 'start': 238.54, 'duration': 4.65}, {'text': ""going in pretty easy shouldn't be any"", 'start': 241.63, 'duration': 5.13}, {'text': ""problems so yeah that's it pretty much"", 'start': 243.19, 'duration': 10.41}, {'text': 'it now we just get these metal locking', 'start': 246.76, 'duration': 9.69}, {'text': 'nuts I guess on and you want start from', 'start': 253.6, 'duration': 5.31}, {'text': 'the middle and get these to end first', 'start': 256.45, 'duration': 3.81}, {'text': 'two little by little and then work your', 'start': 258.91, 'duration': 4.47}, {'text': 'way out and push that in and push it in', 'start': 260.26, 'duration': 4.92}, {'text': 'evenly and you should be good to go oh', 'start': 263.38, 'duration': 4.05}, {'text': ""by the way don't forget to tighten that"", 'start': 265.18, 'duration': 5.22}, {'text': ""the bearing cap on if you're replacing"", 'start': 267.43, 'duration': 5.79}, {'text': 'your the bearing for the bearing cap', 'start': 270.4, 'duration': 5.1}, {'text': ""back in to nine foot per pound if you're"", 'start': 273.22, 'duration': 5.13}, {'text': 'replacing that look at it okay so yeah', 'start': 275.5, 'duration': 4.68}, {'text': 'just put this back in and you torque', 'start': 278.35, 'duration': 3.24}, {'text': 'these down to about the same you know', 'start': 280.18, 'duration': 2.76}, {'text': 'nine twelve foot per pound and you', 'start': 281.59, 'duration': 2.16}, {'text': 'should be good to go', 'start': 282.94, 'duration': 2.61}, {'text': 'alright I hope this video helps you guys', 'start': 283.75, 'duration': 4.38}, {'text': 'out there if you guys like what you see', 'start': 285.55, 'duration': 4.14}, {'text': 'please give a thumbs up and if you have', 'start': 288.13, 'duration': 2.85}, {'text': 'any comments or suggestions please leave', 'start': 289.69, 'duration': 3.12}, {'text': 'them below thanks for watching see you', 'start': 290.98, 'duration': 4.19}, {'text': 'guys next time', 'start': 292.81, 'duration': 2.36}]"
hSat,fXiIk7zqqEs,"[0, 1, 150, 204, 1558]",
XZat,fdFb_x_yxF0,"[9, 10, 34]",
oPat,RgZ3Lpxdh9U,"[5, 84, 169]",
