VWeW,IN9Uzw9Nxag,"[2, 17, 53, 58]",
sAeW,bggU9g0H-Mo,[16],
5LeW,biCtGUp9OzI,[2819],
u7eW,,"[3, 4, 9]",
steW,YQcB6bGaPkY,"[2, 7, 75, 95, 172, 224, 267, 1144]","[{'text': ""hey everyone so it's a nice warm sunny"", 'start': 0.41, 'duration': 7.179}, {'text': 'Sunday afternoon today and we got a new', 'start': 5.089, 'duration': 5.501}, {'text': ""project on the property 1 or 2 that's"", 'start': 7.589, 'duration': 6.031}, {'text': 'supposed to show up this is a 2000 Chevy', 'start': 10.59, 'duration': 8.31}, {'text': 'Silverado z71 v8 4-wheel Drive and quick', 'start': 13.62, 'duration': 9.78}, {'text': 'story on this is the person who', 'start': 18.9, 'duration': 7.799}, {'text': 'currently owns it bought it from a local', 'start': 23.4, 'duration': 6.289}, {'text': 'car lot where a friend of mine works', 'start': 26.699, 'duration': 5.79}, {'text': ""it's considered a cash vehicle was"", 'start': 29.689, 'duration': 4.721}, {'text': 'originally supposed to be financed', 'start': 32.489, 'duration': 4.441}, {'text': 'because of the year and the mileage over', 'start': 34.41, 'duration': 5.73}, {'text': '200,000 miles on it but he managed to', 'start': 36.93, 'duration': 6.6}, {'text': ""get it financed and there's no warranty"", 'start': 40.14, 'duration': 5.12}, {'text': 'on it because of the mileage so', 'start': 43.53, 'duration': 4.369}, {'text': ""obviously that's when bad luck strikes"", 'start': 45.26, 'duration': 4.75}, {'text': 'within a week of signing on the dotted', 'start': 47.899, 'duration': 2.941}, {'text': 'line', 'start': 50.01, 'duration': 4.11}, {'text': ""transmission wet it's a nice looking"", 'start': 50.84, 'duration': 6.1}, {'text': 'straight truck as you can tell but the', 'start': 54.12, 'duration': 5.31}, {'text': 'transmission is bad and without it being', 'start': 56.94, 'duration': 5.07}, {'text': ""an awardee my friend can't doing things"", 'start': 59.43, 'duration': 4.65}, {'text': 'about repairs and of course I live on', 'start': 62.01, 'duration': 4.62}, {'text': 'the highway so I gotta deal with all the', 'start': 64.08, 'duration': 6.15}, {'text': ""noise traffic noise anyway so he can't"", 'start': 66.63, 'duration': 4.95}, {'text': 'do anything officially for the repairs', 'start': 70.23, 'duration': 3.81}, {'text': 'or financial offsets as a result so he', 'start': 71.58, 'duration': 4.95}, {'text': 'called me to ask me if I could do it got', 'start': 74.04, 'duration': 5.49}, {'text': 'with the truck owner and crunch numbers', 'start': 76.53, 'duration': 5.19}, {'text': 'and long story short I want to end up', 'start': 79.53, 'duration': 4.74}, {'text': ""replacing the transmission on this he's"", 'start': 81.72, 'duration': 5.73}, {'text': 'going to provide the transmission fluid', 'start': 84.27, 'duration': 4.8}, {'text': ""filter and all the good stuff and I'm"", 'start': 87.45, 'duration': 3.66}, {'text': 'just going to do the labor and charge', 'start': 89.07, 'duration': 6.93}, {'text': 'him accordingly so we got a good-looking', 'start': 91.11, 'duration': 7.22}, {'text': 'interior here', 'start': 96.0, 'duration': 5.34}, {'text': ""nothing's tore up excessively it's nice"", 'start': 98.33, 'duration': 7.17}, {'text': 'shape I can get the liners in good shape', 'start': 101.34, 'duration': 7.529}, {'text': 'and we got a flashing security light', 'start': 105.5, 'duration': 4.96}, {'text': ""that's because I put the key in the"", 'start': 108.869, 'duration': 5.521}, {'text': ""ignition yet yeah there's all of our"", 'start': 110.46, 'duration': 5.49}, {'text': 'full wheel drive controls which', 'start': 114.39, 'duration': 4.08}, {'text': ""admittedly I'm not accustomed to I've"", 'start': 115.95, 'duration': 5.279}, {'text': 'always had the old-fashioned style full', 'start': 118.47, 'duration': 5.46}, {'text': 'drive with the stick then actually I', 'start': 121.229, 'duration': 4.111}, {'text': 'think would make a little easier than', 'start': 123.93, 'duration': 3.6}, {'text': 'our automatic Google Drive too high 4', 'start': 125.34, 'duration': 7.979}, {'text': 'low 4 high I mean 4 low so that actually', 'start': 127.53, 'duration': 7.5}, {'text': 'works a little to my benefit to make a', 'start': 133.319, 'duration': 4.651}, {'text': ""little easier there let's see what kind"", 'start': 135.03, 'duration': 7.32}, {'text': 'of mileage this monster has so for 200k', 'start': 137.97, 'duration': 6.83}, {'text': 'I know', 'start': 142.35, 'duration': 2.45}, {'text': 'okay two hundred and forty three', 'start': 145.98, 'duration': 4.569}, {'text': 'thousand two hundred and twenty-one', 'start': 148.659, 'duration': 9.42}, {'text': 'miles and sounds good now the service', 'start': 150.549, 'duration': 10.201}, {'text': 'engine soon light is on Hey look at that', 'start': 158.079, 'duration': 5.811}, {'text': 'low fuel figures anything', 'start': 160.75, 'duration': 6.35}, {'text': 'here buried in empty no gas service', 'start': 163.89, 'duration': 6.38}, {'text': 'engine soon light is on because somebody', 'start': 167.1, 'duration': 7.59}, {'text': 'not the current owner cut the catalytic', 'start': 170.27, 'duration': 7.54}, {'text': 'converters off and therefore the o2', 'start': 174.69, 'duration': 6.24}, {'text': 'sensors are tied into that and without', 'start': 177.81, 'duration': 5.39}, {'text': 'the o2 sensors the service light is on', 'start': 180.93, 'duration': 5.01}, {'text': 'so I recommended that we come up with an', 'start': 183.2, 'duration': 6.36}, {'text': 'o2 simulators which', 'start': 185.94, 'duration': 3.62}, {'text': 'without an o2 sensors check is light on', 'start': 190.0, 'duration': 6.04}, {'text': 'it seems to run good good a little', 'start': 193.01, 'duration': 7.28}, {'text': ""pressure no fuel good voltage it's cold"", 'start': 196.04, 'duration': 6.18}, {'text': 'been sitting here for about three hours', 'start': 200.29, 'duration': 4.0}, {'text': ""and I didn't drive it I doubt it"", 'start': 202.22, 'duration': 4.73}, {'text': 'it does move', 'start': 204.29, 'duration': 6.64}, {'text': ""it's got 1st and 2nd no high gear"", 'start': 206.95, 'duration': 3.98}, {'text': 'here', 'start': 211.09, 'duration': 2.45}, {'text': 'radio sounds good', 'start': 219.67, 'duration': 3.17}, {'text': ""CD player I'll check that out later"", 'start': 223.28, 'duration': 5.73}, {'text': 'got a little get air conditioning of', 'start': 226.79, 'duration': 3.89}, {'text': 'course', 'start': 229.01, 'duration': 5.089}, {'text': 'passenger side airbag on', 'start': 230.68, 'duration': 5.43}, {'text': 'like that', 'start': 234.099, 'duration': 4.351}, {'text': 'got all the overhead compartments and', 'start': 236.11, 'duration': 6.71}, {'text': 'gizmos and gadgets stuff that you love', 'start': 238.45, 'duration': 4.37}, {'text': 'lights', 'start': 245.41, 'duration': 2.6}, {'text': ""that that's what I was looking for"", 'start': 250.14, 'duration': 6.469}, {'text': ""that's a thing for sunglasses I think"", 'start': 251.64, 'duration': 9.11}, {'text': 'all these little drop-down', 'start': 256.609, 'duration': 4.141}, {'text': ""oh there's the sunglasses things OOP he"", 'start': 261.669, 'duration': 5.071}, {'text': 'might need those for work I know where', 'start': 264.58, 'duration': 5.67}, {'text': ""this guy works well let's shut this"", 'start': 266.74, 'duration': 8.399}, {'text': 'thing up before we run it out of gas but', 'start': 270.25, 'duration': 7.139}, {'text': 'anyway runs and drives going to have to', 'start': 275.139, 'duration': 4.68}, {'text': 'do a transmission replacement on it and', 'start': 277.389, 'duration': 5.46}, {'text': ""Bob I'm not going to charge him with a"", 'start': 279.819, 'duration': 5.88}, {'text': 'shop does I think he quoted me shop told', 'start': 282.849, 'duration': 4.051}, {'text': 'me it was like nine to twelve hundred', 'start': 285.699, 'duration': 3.21}, {'text': ""dollars just in labor clearly I'm not"", 'start': 286.9, 'duration': 4.71}, {'text': ""gonna charge him thousand dollars ain't"", 'start': 288.909, 'duration': 5.611}, {'text': ""going to happen but I'm going to make a"", 'start': 291.61, 'duration': 4.169}, {'text': 'little bit of money on this deal so', 'start': 294.52, 'duration': 4.109}, {'text': ""we'll make some update videos as we get"", 'start': 295.779, 'duration': 3.991}, {'text': 'some more work done on it', 'start': 298.629, 'duration': 4.34}, {'text': 'how much welcome', 'start': 299.77, 'duration': 3.199}]"
DZeW,On99_pkAcSc,"[3, 237]",
PJeW,OoK9Ei4hTIs,"[0, 1, 35, 134]",
n5eW,gk8bkyL_XVo,"[6, 8]",
2IeW,gpP9ilIPPU0,"[39, 121, 156, 207, 233, 338]",
oYeW,oijlrohf86w,"[8, 248]",
aEeW,kRYFyCvdKkI,"[3, 4, 13, 41]",
DCeW,cueUgipFSx8,[5],
MjeW,,"[0, 1, 27, 35]",
RTeW,d3RVxRGSANo,"[159, 2731]",
y5eW,d44RbOPWFR0,"[6, 8]",
NVeW,L4Dy5wH9j44,"[105, 294, 331]","[{'text': ""Xbox doesn't rhyme with Portugal"", 'start': 1.069, 'duration': 3.803}, {'text': '3 years ago, in 2008, I worked during the month of \n December as a promoter of Xbox 360 in Portugal.', 'start': 5.539, 'duration': 6.84}, {'text': 'The promotional campaign was centered on the karaoke game Lips', 'start': 13.146, 'duration': 2.77}, {'text': 'and its main goal was, above all,', 'start': 16.417, 'duration': 1.768}, {'text': 'to bring to the Xbox some of the party games \n that were so successful to the Playstation brand.', 'start': 18.185, 'duration': 4.371}, {'text': ""One of the shortcomings of Microsoft's karaoke game was the lack of Portuguese music,"", 'start': 23.057, 'duration': 4.771}, {'text': 'and as you may guess, it was not easy \n to advertise a game under these circumstances,', 'start': 28.262, 'duration': 4.704}, {'text': 'even more so when the competition had an \n extensive catalog of music, including Portuguese bands.', 'start': 33.1, 'duration': 6.173}, {'text': 'At the time, promoters were instructed to respond \n to anyone who asked for Portuguese music', 'start': 40.04, 'duration': 4.838}, {'text': 'that they would soon arrive.', 'start': 44.945, 'duration': 1.836}, {'text': 'Today, more than one hundred songs were gradually added to the Lips catalog,', 'start': 48.215, 'duration': 4.772}, {'text': 'without the release of any Portuguese music.', 'start': 53.02, 'duration': 3.704}, {'text': ""For that reason, here's my first question:"", 'start': 57.124, 'duration': 3.637}, {'text': ""Why didn't they release any Portuguese songs for Lips?"", 'start': 60.761, 'duration': 3.136}, {'text': 'In December 2009, Microsoft Portugal announced a partnership with Vodafone', 'start': 65.198, 'duration': 4.839}, {'text': 'to include “Vodafone Casa TV” (subscription TV service) on Xbox 360.', 'start': 70.404, 'duration': 4.704}, {'text': 'This integration allowed users of both platforms', 'start': 75.108, 'duration': 3.938}, {'text': ' to see pay-per view television channels in the \n console, using it as a traditional set-top box.', 'start': 79.046, 'duration': 4.671}, {'text': 'Although this type of functionality was perceived as very interesting,', 'start': 84.285, 'duration': 3.103}, {'text': 'it was frustrating to see Microsoft making a partnership with a TV \n service that is absent from the majority of Portuguese homes.', 'start': 87.421, 'duration': 5.906}, {'text': 'It turns out that Vodafone had, at the time of \n this partnership, 0.3% of pay-TV market in Portugal,', 'start': 93.66, 'duration': 6.206}, {'text': 'or if we look at the absolute numbers: about \n 7,800 subscribers, according to data from ANACOM.', 'start': 100.334, 'duration': 5.936}, {'text': 'On the other hand - and for the very same December of 2009 -', 'start': 107.24, 'duration': 3.5}, {'text': 'the i newspaper reports that the total sales of the \n Xbox 360 in Portugal was just under 40,000 units.', 'start': 110.911, 'duration': 6.839}, {'text': 'If we think of the 7800 Vodafone TV subscribers and the \n nearly 40,000 owners of an Xbox 360 in Portugal,', 'start': 118.285, 'duration': 6.335}, {'text': ' it will be easy to conclude that the amount of people \n who have both the service of Vodafone and an Xbox 360,', 'start': 124.958, 'duration': 7.072}, {'text': 'able to take advantage of this integration, would be minimal.', 'start': 132.032, 'duration': 3.708}, {'text': 'But the Xbox marketing in Portugal is full of surprises...', 'start': 136.269, 'duration': 4.201}, {'text': 'In February 2010, barely two months after the launch of this joint initiative,', 'start': 141.008, 'duration': 5.172}, {'text': 'Microsoft Portugal declares that 50% of Xbox users in Portugal \n joined the service of Vodafone TV on Xbox 360.', 'start': 146.447, 'duration': 9.513}, {'text': '50%...!', 'start': 156.59, 'duration': 1.33}, {'text': 'It is known that in the first quarter of \n 2010, Vodafone raised its market share to 0.6%,', 'start': 164.197, 'duration': 5.743}, {'text': 'which represented at that time about 14,500 subscribers.', 'start': 170.27, 'duration': 3.27}, {'text': '50% of the total Xbox 360 users in Portugal corresponded \n to 20,000 consoles at the end of 2009.', 'start': 173.541, 'duration': 7.209}, {'text': 'Even if all the subscribers of Vodafone TV \n had an Xbox 360 in February 2010,', 'start': 180.915, 'duration': 5.105}, {'text': 'all together would not be even half of all Xbox users in Portugal.', 'start': 186.62, 'duration': 4.47}, {'text': 'As much pointless as it may seem, it must be asked:', 'start': 192.159, 'duration': 3.671}, {'text': 'How is that 50% of Xbox 360 users have joined the \n Vodafone TV service from December 2009 to February 2010?', 'start': 196.363, 'duration': 9.577}, {'text': 'I confess that I struggle to keep up with this math ...', 'start': 206.307, 'duration': 3.833}, {'text': 'Fast-forward to Christmas 2010.', 'start': 210.745, 'duration': 1.995}, {'text': 'Once again, the campaigns return to stores in Portugal \n and this time the foundation is Kinect,', 'start': 213.447, 'duration': 4.473}, {'text': ""Microsoft's revolutionary camera, which allowed to play without controllers."", 'start': 218.251, 'duration': 3.739}, {'text': 'Among other features, Kinect also allows voice control,', 'start': 222.122, 'duration': 3.868}, {'text': 'used to navigate the interface in the console, \n control movie playback, or search with Bing.', 'start': 226.226, 'duration': 5.474}, {'text': 'Portugal was left out of the pioneers with native voice in Kinect,', 'start': 232.165, 'duration': 3.935}, {'text': 'which in fact is not surprising when you consider that this console \n is available for more than 6 years in our country', 'start': 236.103, 'duration': 5.807}, {'text': ""and we still don’t have Portugal's Portuguese language in its operating system."", 'start': 241.909, 'duration': 3.471}, {'text': 'And once again consumers were misled when promoters and \n even managers of the product in Portugal', 'start': 245.779, 'duration': 6.471}, {'text': ' predicted the arrival of Portuguese language for Kinect in 2011.', 'start': 252.252, 'duration': 4.508}, {'text': 'It seems legitimate to ask:', 'start': 256.923, 'duration': 1.937}, {'text': 'Where is support for Kinect in Portuguese?', 'start': 258.859, 'duration': 3.371}, {'text': 'This week marks the arrival of a new update to the Xbox 360,', 'start': 263.13, 'duration': 3.14}, {'text': 'which is not only renewing the presentation side of things, \n as the very content available on the console.', 'start': 266.267, 'duration': 5.333}, {'text': 'It is the first step in turning the \n Xbox into the living room TV portal,', 'start': 271.972, 'duration': 3.938}, {'text': 'through access to television channels and Internet services like YouTube and DailyMotion.', 'start': 275.909, 'duration': 4.801}, {'text': 'Portugal is for now off the list of contents to enter this first phase,', 'start': 281.214, 'duration': 3.506}, {'text': 'and a Microsoft representative has told Eurogamer Portugal, there are no \n plans for them to be included in the future.', 'start': 285.285, 'duration': 6.475}, {'text': 'The official Microsoft site refers to our country a \n peculiar exception - the Vodafone TV service.', 'start': 292.225, 'duration': 6.745}, {'text': 'And after all, if 50% of the players participated in \n this service, we may not even need anything else...', 'start': 298.966, 'duration': 6.574}, {'text': ""I'll recap the three questions I posed as a result of three \n years of promises and more dubious statistics that many political speeches:"", 'start': 307.441, 'duration': 7.069}, {'text': ""Why didn't they release any Portuguese songs for Lips?"", 'start': 315.182, 'duration': 3.338}, {'text': 'How is that 50% of Xbox 360 users have joined the \n Vodafone TV service from December 2009 to February 2010?', 'start': 319.085, 'duration': 9.345}, {'text': 'Where is support for Kinect in Portuguese?', 'start': 329.296, 'duration': 2.974}, {'text': 'Pass the message and share this video so we can see \n clarified, once and for all, these and other issues.', 'start': 333.334, 'duration': 8.076}]"
yPeW,L75KtPAfgLg,[3503],
cieW,LCsbmWmWiXI,"[260, 371]",
e2eW,WYiiEQ9jiUw,"[2, 44, 46, 107]",
e9eW,QaRmncjR-G4,[356],"[{'text': ""okay today we're gonna be looking at the"", 'start': 4.649, 'duration': 3.91}, {'text': 'muscles that move the shoulder in the', 'start': 6.819, 'duration': 4.741}, {'text': 'arm starting out in the back the large', 'start': 8.559, 'duration': 7.441}, {'text': 'trapezius muscle seen here and then on', 'start': 11.56, 'duration': 5.729}, {'text': 'the other side of the model the', 'start': 16.0, 'duration': 3.029}, {'text': 'trapezius muscle has been taken away and', 'start': 17.289, 'duration': 3.691}, {'text': 'the muscles of the shoulder the rotator', 'start': 19.029, 'duration': 4.681}, {'text': 'cuff spine of the scapula above the', 'start': 20.98, 'duration': 6.119}, {'text': 'spine is the supraspinatus below it', 'start': 23.71, 'duration': 7.639}, {'text': ""infraspinatus below that Terry's major"", 'start': 27.099, 'duration': 8.311}, {'text': ""deltoid muscle is right here I'm going"", 'start': 31.349, 'duration': 6.041}, {'text': 'to show that going down to the actual', 'start': 35.41, 'duration': 3.84}, {'text': 'arm model so you can see this would be', 'start': 37.39, 'duration': 5.219}, {'text': 'the same thing taking off the deltoid', 'start': 39.25, 'duration': 6.42}, {'text': 'muscle okay', 'start': 42.609, 'duration': 6.241}, {'text': 'and again showing those the spine of the', 'start': 45.67, 'duration': 6.29}, {'text': 'scapula above posterior superior', 'start': 48.85, 'duration': 7.709}, {'text': 'supraspinatus infraspinatus and teres', 'start': 51.96, 'duration': 8.289}, {'text': 'major these are also called the rotator', 'start': 56.559, 'duration': 8.521}, {'text': 'cuff muscles now anteriorly underside of', 'start': 60.249, 'duration': 8.701}, {'text': 'the scapula is the subscapularis so that', 'start': 65.08, 'duration': 5.79}, {'text': 'makes up the muscles of the shoulder', 'start': 68.95, 'duration': 4.62}, {'text': 'moving down to the upper arm we have the', 'start': 70.87, 'duration': 5.51}, {'text': 'biceps brachii so this is anterior', 'start': 73.57, 'duration': 8.54}, {'text': 'biceps breaking just deep to that muscle', 'start': 76.38, 'duration': 8.38}, {'text': 'underneath the biceps is the brachialis', 'start': 82.11, 'duration': 6.67}, {'text': 'and just medial to that coming off the', 'start': 84.76, 'duration': 7.53}, {'text': 'coracoid process of the scapula is the', 'start': 88.78, 'duration': 6.57}, {'text': 'coracobrachialis so those are three', 'start': 92.29, 'duration': 5.4}, {'text': 'anterior muscles in the arm upper arms', 'start': 95.35, 'duration': 5.72}, {'text': 'biceps brachii loose coracobrachialis', 'start': 97.69, 'duration': 6.15}, {'text': ""there's one muscle posterior lis in the"", 'start': 101.07, 'duration': 4.93}, {'text': ""arm and that's the triceps all this is"", 'start': 103.84, 'duration': 4.62}, {'text': ""the triceps there's three heads of the"", 'start': 106.0, 'duration': 5.76}, {'text': 'triceps but this muscle is entirely the', 'start': 108.46, 'duration': 5.0}, {'text': 'triceps', 'start': 111.76, 'duration': 4.36}, {'text': 'okay', 'start': 113.46, 'duration': 2.66}]"
AzeW,M5PjIqi-rPg,"[21, 23, 24, 684]",
