GQOf,bm-x2zlsd8o,"[21, 23, 2835]",
JFOy,Dl_sgtRMpLU,"[6, 8, 206]",
G6Oy,Jq4MXAXkEKc,"[0, 8, 834]",
r3Oy,OKaZXi2QF7o,"[0, 83, 542]",
62Oy,fUhMOqIU1W0,"[31, 40, 47, 57, 117]",
lAOy,Rrnvn1TY3EI,"[0, 1, 5, 358]","[{'text': ""welcome to another top ten I've been"", 'start': 0.03, 'duration': 5.01}, {'text': 'getting a lot of requests to do', 'start': 3.24, 'duration': 4.11}, {'text': 'platforming games after all there are', 'start': 5.04, 'duration': 4.679}, {'text': 'plenty of excellent platformers for the', 'start': 7.35, 'duration': 5.49}, {'text': 'D s so sit back and relax as I count', 'start': 9.719, 'duration': 5.641}, {'text': 'down my top ten platform games for the', 'start': 12.84, 'duration': 5.97}, {'text': 'Nintendo DS number 10', 'start': 15.36, 'duration': 6.15}, {'text': 'Henry Kats worth in the puzzle and', 'start': 18.81, 'duration': 5.879}, {'text': 'adventure this is a great game to start', 'start': 21.51, 'duration': 4.14}, {'text': 'off my list', 'start': 24.689, 'duration': 3.481}, {'text': 'Henry hats word has a unique blend of', 'start': 25.65, 'duration': 4.59}, {'text': 'platforming and puzzle solving and', 'start': 28.17, 'duration': 4.409}, {'text': 'whilst I was skeptical at first of this', 'start': 30.24, 'duration': 5.46}, {'text': 'unusual mix I discovered it actually', 'start': 32.579, 'duration': 3.75}, {'text': 'worked', 'start': 35.7, 'duration': 5.33}, {'text': 'you will need to get past the', 'start': 36.329, 'duration': 16.591}, {'text': ""you-know-whats I'll just show you still"", 'start': 41.03, 'duration': 13.99}, {'text': ""it's well worth checking out if you are"", 'start': 52.92, 'duration': 3.979}, {'text': 'looking for something different', 'start': 55.02, 'duration': 5.19}, {'text': 'number 9 contra fall', 'start': 56.899, 'duration': 5.771}, {'text': ""this game doesn't mess around it's"", 'start': 60.21, 'duration': 5.97}, {'text': ""classic contra on two screens I'd say"", 'start': 62.67, 'duration': 5.91}, {'text': ""it's more for those who played and more"", 'start': 66.18, 'duration': 5.009}, {'text': 'importantly liked the original contra', 'start': 68.58, 'duration': 4.829}, {'text': 'games but be sure to get my playthrough', 'start': 71.189, 'duration': 4.921}, {'text': ""if you're looking for a challenge just"", 'start': 73.409, 'duration': 5.1}, {'text': ""don't blame me if you end up snapping"", 'start': 76.11, 'duration': 7.649}, {'text': 'your deals in half number eight N+ talk', 'start': 78.509, 'duration': 7.171}, {'text': 'about again where the title tells you', 'start': 83.759, 'duration': 5.191}, {'text': 'absolutely nothing about it you play as', 'start': 85.68, 'duration': 6.42}, {'text': 'a ninja who collects gold crushes chasms', 'start': 88.95, 'duration': 5.58}, {'text': 'and traverses increasingly challenging', 'start': 92.1, 'duration': 5.61}, {'text': 'mazes to activate switches to get to an', 'start': 94.53, 'duration': 6.78}, {'text': 'all-important exit well actually n+ is a', 'start': 97.71, 'duration': 7.439}, {'text': 'part of sort of a 2005 freeware PC game', 'start': 101.31, 'duration': 8.22}, {'text': 'just called N and the N stands for ninja', 'start': 105.149, 'duration': 7.411}, {'text': ""well thank God other franchises didn't"", 'start': 109.53, 'duration': 5.79}, {'text': ""do this hey come round to my place let's"", 'start': 112.56, 'duration': 5.82}, {'text': ""play some Spyro the Dragon oh I'm sorry"", 'start': 115.32, 'duration': 7.799}, {'text': 'I meant to say STB I would say not to be', 'start': 118.38, 'duration': 6.96}, {'text': ""put off by this game's simplistic look"", 'start': 123.119, 'duration': 5.7}, {'text': ""as it's very addicting to play number 7"", 'start': 125.34, 'duration': 5.729}, {'text': 'the legendary Starfy', 'start': 128.819, 'duration': 4.581}, {'text': ""if you've never heard of stuffy"", 'start': 131.069, 'duration': 4.73}, {'text': ""I wouldn't blame you Staffing has had"", 'start': 133.4, 'duration': 4.259}, {'text': 'his own successful series of handheld', 'start': 135.799, 'duration': 4.77}, {'text': 'games of japan and v is the first to be', 'start': 137.659, 'duration': 5.341}, {'text': 'released in the west think of this game', 'start': 140.569, 'duration': 4.62}, {'text': ""as like super Mario's on the walls"", 'start': 143.0, 'duration': 4.95}, {'text': ""levels but better I'd say it's more"", 'start': 145.189, 'duration': 4.89}, {'text': ""directed at kids but there's a lot to"", 'start': 147.95, 'duration': 4.19}, {'text': 'dig into here for the moment sure player', 'start': 150.079, 'duration': 7.05}, {'text': ""number 6 Yoshi's Island es who doesn't"", 'start': 152.14, 'duration': 8.349}, {'text': 'love Yoshi thank God for his designer', 'start': 157.129, 'duration': 5.791}, {'text': 'although can you imagine how the meeting', 'start': 160.489, 'duration': 4.83}, {'text': 'went when the designer was describing', 'start': 162.92, 'duration': 5.58}, {'text': 'his ideas for him after all he is a', 'start': 165.319, 'duration': 5.73}, {'text': 'dinosaur slash horse hybrid with an', 'start': 168.5, 'duration': 4.68}, {'text': 'extendable tongue which can swallow', 'start': 171.049, 'duration': 6.75}, {'text': 'enemies halt and well poop out eggs but', 'start': 173.18, 'duration': 6.6}, {'text': ""seriously Yoshi's Island Deus is a"", 'start': 177.799, 'duration': 4.261}, {'text': 'worthy successor to the Super Nintendo', 'start': 179.78, 'duration': 4.59}, {'text': 'classic and well worth having in your', 'start': 182.06, 'duration': 7.039}, {'text': 'collection number 5 super mario 64 DS', 'start': 184.37, 'duration': 8.55}, {'text': 'this is the only 3d game to make my list', 'start': 189.099, 'duration': 6.42}, {'text': 'and knowing that what more need I say', 'start': 192.92, 'duration': 6.959}, {'text': 'this faithful remake of the 1996 and 64', 'start': 195.519, 'duration': 6.851}, {'text': 'classic has been updated with extra', 'start': 199.879, 'duration': 5.22}, {'text': 'characters and polygons sheesh', 'start': 202.37, 'duration': 4.89}, {'text': 'look at the Bowser he looks like he', 'start': 205.099, 'duration': 3.691}, {'text': 'belongs on a poster for neglected', 'start': 207.26, 'duration': 4.619}, {'text': 'canines this was one of the DSS launch', 'start': 208.79, 'duration': 5.279}, {'text': 'titles so you should be able to pick it', 'start': 211.879, 'duration': 4.741}, {'text': ""up fairly cheap now it's still the best"", 'start': 214.069, 'duration': 7.38}, {'text': '3d platformer on the DS number 4 Sonic', 'start': 216.62, 'duration': 8.699}, {'text': 'Rush all rejoice a recent sonic again', 'start': 221.449, 'duration': 6.831}, {'text': ""that doesn't suck this was one of those"", 'start': 225.319, 'duration': 6.78}, {'text': '2.5 B games already that sounds like an', 'start': 228.28, 'duration': 6.849}, {'text': 'improvement the game works great on two', 'start': 232.099, 'duration': 5.67}, {'text': ""screens it's fast fun and more"", 'start': 235.129, 'duration': 5.1}, {'text': 'importantly how Sonic should be playing', 'start': 237.769, 'duration': 5.101}, {'text': ""it's the best Sonic game for the current"", 'start': 240.229, 'duration': 6.301}, {'text': 'generation of consoles number three', 'start': 242.87, 'duration': 6.57}, {'text': 'Kirby canvas curse all I can say about', 'start': 246.53, 'duration': 5.76}, {'text': ""this game is I'm glad they changed his"", 'start': 249.44, 'duration': 5.34}, {'text': 'Japanese name Todd cheek hobby', 'start': 252.29, 'duration': 6.509}, {'text': 'translates to touch kirby oh my god', 'start': 254.78, 'duration': 6.179}, {'text': ""Kirby's been violated"", 'start': 258.799, 'duration': 4.17}, {'text': 'could you point out where he touched you', 'start': 260.959, 'duration': 4.77}, {'text': 'on this pink golf ball anyway this game', 'start': 262.969, 'duration': 3.621}, {'text': 'was made', 'start': 265.729, 'duration': 3.171}, {'text': 'for the vs the touchscreen controls are', 'start': 266.59, 'duration': 4.77}, {'text': 'perfect and it really makes the game a', 'start': 268.9, 'duration': 5.12}, {'text': 'lot of fun to play number two', 'start': 271.36, 'duration': 6.99}, {'text': 'Castlevania order of ecclesia this is', 'start': 274.02, 'duration': 8.47}, {'text': 'kind of hard is it a platformer an RPG', 'start': 278.35, 'duration': 7.68}, {'text': ""an action game well I'll be honest I"", 'start': 282.49, 'duration': 5.459}, {'text': 'completely forgot to mention the', 'start': 286.03, 'duration': 5.52}, {'text': 'Castlevania games my top 10 RPG video so', 'start': 287.949, 'duration': 6.421}, {'text': ""I guess I'm making up for it here now I"", 'start': 291.55, 'duration': 5.7}, {'text': 'love all three DS iterations but my', 'start': 294.37, 'duration': 5.25}, {'text': 'personal favorites is order of ecclesia', 'start': 297.25, 'duration': 5.7}, {'text': 'I love the art style and the difficulty', 'start': 299.62, 'duration': 5.97}, {'text': 'made it feel more classic Castlevania it', 'start': 302.95, 'duration': 4.74}, {'text': 'was the very first deus game I ever', 'start': 305.59, 'duration': 3.87}, {'text': ""played and it's still one of my"", 'start': 307.69, 'duration': 4.89}, {'text': 'favorites I especially like how truly', 'start': 309.46, 'duration': 5.87}, {'text': 'epic the introductory voice sounded', 'start': 312.58, 'duration': 5.64}, {'text': 'returning to life time and again since', 'start': 315.33, 'duration': 5.47}, {'text': 'the ancient Middle Ages the evil Lord', 'start': 318.22, 'duration': 5.4}, {'text': 'Dracula has driven people to terror now', 'start': 320.8, 'duration': 4.89}, {'text': ""isn't that the cool is a voice you've"", 'start': 323.62, 'duration': 5.4}, {'text': ""ever heard am i number one there's"", 'start': 325.69, 'duration': 5.97}, {'text': ""platformer I'm probably sure you've"", 'start': 329.02, 'duration': 4.83}, {'text': 'already guessed this new super mario', 'start': 331.66, 'duration': 5.52}, {'text': 'brothers yeah sure the game is all about', 'start': 333.85, 'duration': 5.819}, {'text': 'the princess getting kidnapped again and', 'start': 337.18, 'duration': 4.709}, {'text': 'Bowser forgetting to remove that', 'start': 339.669, 'duration': 4.411}, {'text': 'conspicuously handy bridge collapse', 'start': 341.889, 'duration': 4.891}, {'text': 'button he just so happens to keep right', 'start': 344.08, 'duration': 6.089}, {'text': ""next to the lava bridge but it's King"", 'start': 346.78, 'duration': 6.81}, {'text': 'Maria the king of jumping things though', 'start': 350.169, 'duration': 6.12}, {'text': 'I mean say jumping on things', 'start': 353.59, 'duration': 5.82}, {'text': 'oh yeah pad the only bad luck shut up', 'start': 356.289, 'duration': 5.88}, {'text': ""Mario who's Mario ever made a bad"", 'start': 359.41, 'duration': 5.009}, {'text': 'platforming game this was one of those', 'start': 362.169, 'duration': 4.56}, {'text': 'titles anyone can see in the video game', 'start': 364.419, 'duration': 5.341}, {'text': 'star and think yeah I need to earn that', 'start': 366.729, 'duration': 5.761}, {'text': ""game if you wanted yes and I've not"", 'start': 369.76, 'duration': 5.64}, {'text': 'played this game all I can ask is why', 'start': 372.49, 'duration': 6.33}, {'text': ""it's classic platforming at its best and"", 'start': 375.4, 'duration': 5.55}, {'text': ""that's why new Super Mario Brothers is"", 'start': 378.82, 'duration': 6.14}, {'text': 'my number one DS platformer', 'start': 380.95, 'duration': 4.01}]"
rROy,Rt0K6D7aBi0,"[0, 740]",
9wOy,TIMG4INCoMQ,"[2, 44, 46, 155, 264, 377]",
r5Oy,,"[0, 1, 63, 633]",
nyOy,TRmPK1NwonI,"[188, 386]",
EiOy,TW71Gu4FHdk,"[296, 359]",
ZmOy,vuPnUGlJHC0,[1582],
17Oy,2HoNFv6A1TA,"[2, 76, 227, 2568]",
dyOy,2UAjKVd8gSQ,"[0, 1]",
EzOy,2XetHwUhevc,"[17, 19, 448, 1173, 2115]",
21Oy,zmHKfDUFPWY,"[0, 1, 35, 134]","[{'text': '[Music]', 'start': 0.77, 'duration': 2.619}, {'text': ""wrote it on the real nigga I'm a ride"", 'start': 0.9, 'duration': 3.629}, {'text': 'for my dog', 'start': 3.389, 'duration': 3.151}, {'text': 'bull is ripping that you quick got you', 'start': 4.529, 'duration': 3.421}, {'text': 'jumping like a frog', 'start': 6.54, 'duration': 4.139}, {'text': 'people got Evo deal like some real nigga', 'start': 7.95, 'duration': 5.54}, {'text': 'just real muscle Linda who we talking', 'start': 10.679, 'duration': 10.591}, {'text': 'realism kill a clan this far bricks poor', 'start': 13.49, 'duration': 12.31}, {'text': 'Cibo Gotti Oh trapper Creek trailer', 'start': 21.27, 'duration': 8.19}, {'text': 'trash shit happy ride butter niggas that', 'start': 25.8, 'duration': 5.819}, {'text': 'be riding for the gallon turning real', 'start': 29.46, 'duration': 4.71}, {'text': 'Street niggas better never ever talk', 'start': 31.619, 'duration': 5.28}, {'text': ""sure they ever keep cow we don't keep a"", 'start': 34.17, 'duration': 5.31}, {'text': 'mouth goes you go so get you later', 'start': 36.899, 'duration': 5.041}, {'text': 'you should go get so shit slow copyright', 'start': 39.48, 'duration': 5.849}, {'text': 'put a negativity right leg of time real', 'start': 41.94, 'duration': 6.54}, {'text': 'sweet niggas never ever so sure the', 'start': 45.329, 'duration': 5.581}, {'text': ""other kids go they don't keep a mouse's"", 'start': 48.48, 'duration': 7.62}, {'text': ""oh shit like don't get your leather"", 'start': 50.91, 'duration': 7.71}, {'text': 'duffel bag fill it up with army good', 'start': 56.1, 'duration': 5.279}, {'text': 'never cleaning niggas do a drive-by with', 'start': 58.62, 'duration': 5.55}, {'text': 'tommy gun my clean full of killers yo', 'start': 61.379, 'duration': 5.691}, {'text': ""cleaning full of holes when it's war"", 'start': 64.17, 'duration': 8.02}, {'text': 'running like a bloody I sound like it', 'start': 67.07, 'duration': 9.95}, {'text': 'boy was it loving yourself up calls you', 'start': 72.19, 'duration': 4.83}, {'text': ""hello what's head 80-some top funny down"", 'start': 77.35, 'duration': 6.37}, {'text': 'to that few pubsey leave it out in blow', 'start': 80.99, 'duration': 5.07}, {'text': ""what's wrong with you what are you gonna"", 'start': 83.72, 'duration': 5.78}, {'text': ""tell him or salon I'm really screwed"", 'start': 86.06, 'duration': 5.28}, {'text': 'crack on Rosie', 'start': 89.5, 'duration': 5.979}, {'text': 'spit it out I threw it all the way okay', 'start': 91.34, 'duration': 7.38}, {'text': 'I had to power money the ladies but I', 'start': 95.479, 'duration': 5.011}, {'text': ""couldn't lay off the blow so I went into"", 'start': 98.72, 'duration': 3.78}, {'text': 'rehab and everything went to shit but so', 'start': 100.49, 'duration': 4.65}, {'text': 'what so when I came out I started', 'start': 102.5, 'duration': 5.009}, {'text': 'representing the Liberty City mob again', 'start': 105.14, 'duration': 4.53}, {'text': ""and that's how I ended up here but no"", 'start': 107.509, 'duration': 4.261}, {'text': 'one family would trust another family to', 'start': 109.67, 'duration': 3.96}, {'text': 'run the casino so I was put forth as a', 'start': 111.77, 'duration': 5.31}, {'text': 'neutral party so now I spend my days', 'start': 113.63, 'duration': 5.519}, {'text': 'waiting for one family to cap me and', 'start': 117.08, 'duration': 4.41}, {'text': 'blame the other one my only friend is a', 'start': 119.149, 'duration': 5.761}, {'text': 'bird named Tony I never fucked anyone', 'start': 121.49, 'duration': 4.92}, {'text': ""over in my life we didn't have it coming"", 'start': 124.91, 'duration': 4.92}, {'text': 'to him ah shit let me think about this', 'start': 126.41, 'duration': 5.43}, {'text': ""you'd like to break it down for me real"", 'start': 129.83, 'duration': 4.77}, {'text': 'quick okay okay the sindaccos are on the', 'start': 131.84, 'duration': 5.34}, {'text': 'warpath okay I mean something terrible', 'start': 134.6, 'duration': 4.38}, {'text': ""has happened to Johnny I mean he's in a"", 'start': 137.18, 'duration': 3.38}, {'text': 'shock induced coma at the hospital', 'start': 138.98, 'duration': 3.21}, {'text': 'across town', 'start': 140.56, 'duration': 3.7}, {'text': 'now the Forellis they will take this', 'start': 142.19, 'duration': 4.859}, {'text': 'opportunity to rub him up now if any hit', 'start': 144.26, 'duration': 4.8}, {'text': 'between the families succeeds on my turf', 'start': 147.049, 'duration': 4.5}, {'text': 'I will get the Oxbow let machete okay', 'start': 149.06, 'duration': 5.42}, {'text': 'okay relax', 'start': 151.549, 'duration': 2.931}, {'text': ""I'm gonna shoot over to the hospital and"", 'start': 154.66, 'duration': 4.63}, {'text': 'move the body or something there you go', 'start': 157.22, 'duration': 5.98}, {'text': ""my love things ain't so bad are they"", 'start': 159.29, 'duration': 9.79}, {'text': 'bada-bing simply addresses Waimea', 'start': 163.2, 'duration': 7.89}, {'text': 'Denisha William Swami production', 'start': 169.08, 'duration': 4.86}, {'text': 'Pettigrew beetles Londres attack', 'start': 171.09, 'duration': 5.16}, {'text': 'antennas the key also here but because', 'start': 173.94, 'duration': 4.74}, {'text': 'why is not common law said Ken Rosenberg', 'start': 176.25, 'duration': 6.32}, {'text': ""hey wake up to Wallace can't pull"", 'start': 178.68, 'duration': 9.09}, {'text': 'delivering on the permission is back', 'start': 182.57, 'duration': 7.81}, {'text': ""with missing I'm so emotional but we"", 'start': 187.77, 'duration': 9.53}, {'text': 'apply to every hospital is a bad Johnny', 'start': 190.38, 'duration': 6.92}, {'text': ""yeah just can't argue with the petrol"", 'start': 197.51, 'duration': 12.509}, {'text': ""Heat I've tried us hello sir can I help"", 'start': 202.19, 'duration': 9.629}, {'text': ""you yeah I'm here to pick up mr. Shin"", 'start': 210.019, 'duration': 4.201}, {'text': 'doc Oh mr. sand doc oh there must be', 'start': 211.819, 'duration': 4.771}, {'text': 'some mistake an ambulance just picked', 'start': 214.22, 'duration': 11.94}, {'text': 'him up okay thank you for you magic', 'start': 216.59, 'duration': 12.83}, {'text': 'through his life now', 'start': 226.16, 'duration': 3.26}, {'text': ""it's been namaste observe oh god no"", 'start': 229.74, 'duration': 6.39}, {'text': 'night emotional the whole business in', 'start': 231.96, 'duration': 10.17}, {'text': 'Jordan Johnson Dhaka stolen gem file and', 'start': 236.13, 'duration': 10.65}, {'text': ""sure it's a beautiful with aliens taking"", 'start': 242.13, 'duration': 8.25}, {'text': 'opinion finally incremental illegitimate', 'start': 246.78, 'duration': 6.66}, {'text': ""ocean technology without no it's not"", 'start': 250.38, 'duration': 6.41}, {'text': 'prime mission here with Corey for sure', 'start': 253.44, 'duration': 14.52}, {'text': 'what airport target installation into', 'start': 256.79, 'duration': 14.879}, {'text': 'magazine stylist', 'start': 267.96, 'duration': 6.83}, {'text': 'the hidden sorry', 'start': 271.669, 'duration': 5.181}, {'text': 'you', 'start': 274.79, 'duration': 2.06}, {'text': '[Music]', 'start': 281.44, 'duration': 17.87}, {'text': 'oops bubble is Ameche', 'start': 300.119, 'duration': 4.35}, {'text': ""yeah yet she probably isn't in there"", 'start': 307.499, 'duration': 9.15}, {'text': 'Liberace', 'start': 313.649, 'duration': 3.0}, {'text': ""Oona's estas Khanna's nose replace a"", 'start': 318.84, 'duration': 10.2}, {'text': 'spore formation Pokemon come back sesame', 'start': 321.12, 'duration': 11.73}, {'text': 'no chupacabra Tony Harrison baraja de', 'start': 329.04, 'duration': 8.04}, {'text': 'carros de do education in a pitch motion', 'start': 332.85, 'duration': 9.289}, {'text': 'a toaster collection ah1n1 an easy job', 'start': 337.08, 'duration': 6.63}, {'text': 'or on', 'start': 342.139, 'duration': 4.89}, {'text': '[Music]', 'start': 343.71, 'duration': 3.319}, {'text': '[Applause]', 'start': 349.19, 'duration': 4.449}, {'text': '[Music]', 'start': 352.03, 'duration': 6.669}, {'text': 'so my fear though it is like when you', 'start': 353.639, 'duration': 5.06}, {'text': '[Applause]', 'start': 363.9, 'duration': 3.29}, {'text': '[Music]', 'start': 377.84, 'duration': 5.78}, {'text': '[Applause]', 'start': 379.84, 'duration': 3.78}, {'text': ""all right who's messing with Forelli"", 'start': 387.63, 'duration': 6.9}, {'text': 'business yeah we got a death wish', 'start': 389.98, 'duration': 4.55}, {'text': 'what assured is our journey mask attaboy', 'start': 395.189, 'duration': 4.411}, {'text': 'yo', 'start': 397.619, 'duration': 5.231}, {'text': 'the customization lyokha option is a', 'start': 399.6, 'duration': 5.379}, {'text': 'cell signal the process carries valid', 'start': 402.85, 'duration': 5.93}, {'text': 'stop a good true', 'start': 404.979, 'duration': 3.801}, {'text': 'Staubach across on you three billion', 'start': 410.8, 'duration': 4.38}, {'text': 'a minute smear', 'start': 415.76, 'duration': 6.24}, {'text': ""it's just an option tree"", 'start': 418.5, 'duration': 3.5}, {'text': 'okay inaudible', 'start': 422.38, 'duration': 3.26}, {'text': 'now halt restriction where is optimism', 'start': 428.25, 'duration': 4.49}, {'text': '[Music]', 'start': 435.3, 'duration': 3.139}, {'text': 'Tabo Nextec me today upon a thought', 'start': 439.26, 'duration': 6.32}, {'text': 'process primo if you get season', 'start': 441.45, 'duration': 4.13}, {'text': 'meave autistic', 'start': 447.7, 'duration': 8.6}, {'text': '[Music]', 'start': 450.39, 'duration': 5.91}, {'text': 'hey Johnny how you feel', 'start': 459.34, 'duration': 3.97}, {'text': 'I think the givers gonna beat this judge', 'start': 461.78, 'duration': 4.129}, {'text': 'so tomorrow', 'start': 463.31, 'duration': 2.599}, {'text': '[Music]', 'start': 469.52, 'duration': 3.15}, {'text': 'Oh bills mistletoe beanie okay we poem', 'start': 475.129, 'duration': 8.25}, {'text': 'Mizoguchi partisan American osmotic', 'start': 480.729, 'duration': 4.571}, {'text': 'movie Joe States but the vehicle in', 'start': 483.379, 'duration': 6.02}, {'text': 'tourism that Jazeera it Parker', 'start': 485.3, 'duration': 4.099}]"
gfOy,DYW2TdqFhJQ,"[6, 8, 1480]",
kSOy,E5dWNiixrqE,"[0, 1]",
xdOy,EBNeLaSyehw,"[11, 20, 22, 29, 32, 112, 120, 122, 303, 560, 767, 2775]","[{'text': ""hi welcome to let's recipes today i'm"", 'start': 9.789, 'duration': 4.54}, {'text': 'going to make cashew chicken for dinner', 'start': 12.619, 'duration': 3.931}, {'text': 'this is really good sore river white or', 'start': 14.329, 'duration': 4.821}, {'text': 'brown rice', 'start': 16.55, 'duration': 2.6}, {'text': ""the amounts the ingredients that you're"", 'start': 25.7, 'duration': 3.3}, {'text': 'going to need to make this recipe will', 'start': 27.41, 'duration': 3.54}, {'text': 'be found in the information box below or', 'start': 29.0, 'duration': 3.81}, {'text': 'you can find it on the website the', 'start': 30.95, 'duration': 5.76}, {'text': 'ingredients are you need some chopped', 'start': 32.81, 'duration': 6.15}, {'text': 'garlic some boneless skinless chicken', 'start': 36.71, 'duration': 4.23}, {'text': ""breasts that you've cut into bite-size"", 'start': 38.96, 'duration': 4.62}, {'text': ""pieces you need an egg white you'll need"", 'start': 40.94, 'duration': 4.89}, {'text': ""green onions that you've sliced diced"", 'start': 43.58, 'duration': 5.22}, {'text': 'red pepper sliced mushrooms and some', 'start': 45.83, 'duration': 5.94}, {'text': 'cashews and for the sauce part you will', 'start': 48.8, 'duration': 5.64}, {'text': 'need some soy sauce chicken broth sugar', 'start': 51.77, 'duration': 7.41}, {'text': ""and cornstarch I'm going to start by"", 'start': 54.44, 'duration': 6.81}, {'text': 'slightly leaving these egg whites till', 'start': 59.18, 'duration': 14.189}, {'text': ""they're a little bit frothy and that"", 'start': 61.25, 'duration': 14.16}, {'text': 'looks good and I will pour them in this', 'start': 73.369, 'duration': 14.071}, {'text': ""bowl put the check it in I'm just going"", 'start': 75.41, 'duration': 13.95}, {'text': 'to stir the chicken and the egg whites', 'start': 87.44, 'duration': 9.209}, {'text': ""to coat and I'm going to set this aside"", 'start': 89.36, 'duration': 8.91}, {'text': 'for a minute to a move on to the next', 'start': 96.649, 'duration': 6.271}, {'text': 'step okay I must start by putting about', 'start': 98.27, 'duration': 7.799}, {'text': 'four tablespoons of vegetable oil in my', 'start': 102.92, 'duration': 5.99}, {'text': ""wok here I'm just kind of eyeballing it"", 'start': 106.069, 'duration': 5.041}, {'text': ""then I'm going to put my vegetables in"", 'start': 108.91, 'duration': 10.95}, {'text': 'green onion red pepper', 'start': 111.11, 'duration': 8.75}, {'text': 'all right', 'start': 122.56, 'duration': 3.239}, {'text': ""and we're just going to saute these"", 'start': 131.38, 'duration': 6.46}, {'text': ""until they're tender okay these"", 'start': 133.55, 'duration': 5.94}, {'text': ""vegetables are pretty tender so I'm"", 'start': 137.84, 'duration': 3.51}, {'text': 'going to remove them and put them in', 'start': 139.49, 'duration': 4.25}, {'text': 'this bowl', 'start': 141.35, 'duration': 2.39}, {'text': ""now i'm going to put a little bit more"", 'start': 156.85, 'duration': 9.69}, {'text': ""oil in and i'm going to add my chicken"", 'start': 158.75, 'duration': 7.79}, {'text': ""and I'm just going to cook this until"", 'start': 171.46, 'duration': 5.67}, {'text': ""it's all cooked through but not"", 'start': 173.29, 'duration': 9.18}, {'text': ""necessarily brown I'm going to mix the"", 'start': 177.13, 'duration': 7.89}, {'text': 'sauce together and that would be the cup', 'start': 182.47, 'duration': 5.03}, {'text': 'of chicken broth', 'start': 185.02, 'duration': 2.48}, {'text': 'the soy sauce and this is light soy', 'start': 195.47, 'duration': 4.77}, {'text': 'sauce but you can use whatever you want', 'start': 198.33, 'duration': 7.73}, {'text': 'the sugar and the cornstarch', 'start': 200.24, 'duration': 5.82}, {'text': ""and I'm just going to whisk this all"", 'start': 209.45, 'duration': 3.46}, {'text': ""together and we're going to set this"", 'start': 211.53, 'duration': 4.28}, {'text': 'aside for a few minutes', 'start': 212.91, 'duration': 2.9}, {'text': ""okay the chicken is ready now so I'm"", 'start': 220.14, 'duration': 6.99}, {'text': 'going to add back to the vegetables in', 'start': 222.61, 'duration': 4.52}, {'text': ""mix them with the chicken and now I'm"", 'start': 228.09, 'duration': 14.35}, {'text': 'going to pour the sauce over give it a', 'start': 236.5, 'duration': 10.709}, {'text': ""stir we're going to let this come to a"", 'start': 242.44, 'duration': 6.84}, {'text': ""boil and then we're going to put it on"", 'start': 247.209, 'duration': 3.511}, {'text': ""simmer and we're going to let it simmer"", 'start': 249.28, 'duration': 8.04}, {'text': 'for about 45 minutes to an hour my', 'start': 250.72, 'duration': 8.25}, {'text': ""cashew chicken is boiling so now I'm"", 'start': 257.32, 'duration': 3.479}, {'text': 'going to turn it in and just let it', 'start': 258.97, 'duration': 3.36}, {'text': 'continue to simmer for about 45 minutes', 'start': 260.799, 'duration': 7.681}, {'text': 'to an hour my cashew chicken is done', 'start': 262.33, 'duration': 8.37}, {'text': ""I've taken it off the stove and now I'm"", 'start': 268.48, 'duration': 7.89}, {'text': ""going to serve it I've put my cashew"", 'start': 270.7, 'duration': 8.01}, {'text': 'chicken on a bed of brown rice and so', 'start': 276.37, 'duration': 4.35}, {'text': ""now comes the cashews and I'm just going"", 'start': 278.71, 'duration': 10.68}, {'text': 'to sprinkle them over the top this is', 'start': 280.72, 'duration': 12.56}, {'text': 'cashew chicken I hope you enjoy', 'start': 289.39, 'duration': 3.89}, {'text': 'you', 'start': 298.54, 'duration': 2.06}]"
uAOy,75GIp77uS40,"[0, 223, 323]",
