meJq,zQ0ojdDLIwQ,"[31, 40]",
CcJq,fD-lIuIdKxY,[191],"[{'text': 'the boston park plaza hotel in towers is', 'start': 10.46, 'duration': 5.89}, {'text': 'an unbelievable hotel for groups and a', 'start': 13.59, 'duration': 5.4}, {'text': 'personal favorite of mine if you are', 'start': 16.35, 'duration': 4.74}, {'text': 'looking for appellants and classic', 'start': 18.99, 'duration': 4.379}, {'text': 'character the boston park plaza is the', 'start': 21.09, 'duration': 4.8}, {'text': 'place for you this hotel has hosted', 'start': 23.369, 'duration': 4.381}, {'text': 'every president of the united states', 'start': 25.89, 'duration': 5.37}, {'text': 'since its opening in 1927 and is one of', 'start': 27.75, 'duration': 6.39}, {'text': 'the best examples of how a historic', 'start': 31.26, 'duration': 6.06}, {'text': 'hotel can be completely modern the', 'start': 34.14, 'duration': 5.22}, {'text': 'boston park plaza can accommodate large', 'start': 37.32, 'duration': 4.95}, {'text': 'numbers i have planned three conferences', 'start': 39.36, 'duration': 6.84}, {'text': 'there each with 300 guests however the', 'start': 42.27, 'duration': 6.78}, {'text': 'hotel can serve up to 2,000 guests for', 'start': 46.2, 'duration': 6.3}, {'text': 'receptions the boston park plaza is just', 'start': 49.05, 'duration': 5.579}, {'text': '15 minutes from logan international', 'start': 52.5, 'duration': 4.62}, {'text': 'airport with easy access from all major', 'start': 54.629, 'duration': 5.25}, {'text': 'highways and is right next to public', 'start': 57.12, 'duration': 5.939}, {'text': 'transportation including the t-line the', 'start': 59.879, 'duration': 4.981}, {'text': 'hotel is across the street from the', 'start': 63.059, 'duration': 4.111}, {'text': 'Boston Common and is right next to the', 'start': 64.86, 'duration': 5.73}, {'text': 'theater district all the meeting spaces', 'start': 67.17, 'duration': 6.3}, {'text': 'are magnificent all of them have natural', 'start': 70.59, 'duration': 5.7}, {'text': 'light which is very important to help', 'start': 73.47, 'duration': 5.1}, {'text': 'your guests sustain the focus and', 'start': 76.29, 'duration': 5.329}, {'text': 'attention the Imperial ballroom is', 'start': 78.57, 'duration': 5.64}, {'text': 'unbelievable but my favorite is a', 'start': 81.619, 'duration': 5.801}, {'text': 'Georgian which is a more intimate space', 'start': 84.21, 'duration': 6.119}, {'text': 'that feels like its own separate area', 'start': 87.42, 'duration': 7.14}, {'text': 'for me the best thing about the boston', 'start': 90.329, 'duration': 7.981}, {'text': 'park plaza is their fantastic staff they', 'start': 94.56, 'duration': 6.39}, {'text': 'work with you from beginning to end and', 'start': 98.31, 'duration': 5.94}, {'text': 'make it memorable you never have a need', 'start': 100.95, 'duration': 6.18}, {'text': ""that isn't mad I recommend the Boston"", 'start': 104.25, 'duration': 5.759}, {'text': 'palasa if you need a whole package', 'start': 107.13, 'duration': 6.0}, {'text': 'meeting in a magnificent facility with', 'start': 110.009, 'duration': 5.61}, {'text': 'excellent staff at the end of your', 'start': 113.13, 'duration': 4.739}, {'text': 'meeting your guests feel like royalty', 'start': 115.619, 'duration': 4.741}, {'text': ""and you don't have to worry about a"", 'start': 117.869, 'duration': 5.941}, {'text': 'thing there is more information about', 'start': 120.36, 'duration': 7.58}, {'text': 'the boston park plaza on elite meetings', 'start': 123.81, 'duration': 7.13}, {'text': 'dot-com', 'start': 127.94, 'duration': 3.0}]"
LSJq,fF4NqPTmjac,[5],
3ZJq,fHXAT_rXoYU,"[71, 152]",
sMJq,fQyCldECi-Y,"[11, 229, 771, 1058]",
qCJq,rNlNQfmwzJk,"[2, 45, 51, 56, 77, 721]",
xQJq,R-i07nH6LSQ,[1],"[{'text': 'hi oh this is max from palm pre hacks', 'start': 0.0, 'duration': 4.589}, {'text': ""com today I'm going to show you how to"", 'start': 2.49, 'duration': 4.71}, {'text': 'install the video hack app on your palm', 'start': 4.589, 'duration': 6.861}, {'text': ""pre so our first you'll need to collect"", 'start': 7.2, 'duration': 7.41}, {'text': 'your palm pre to your computer via USB', 'start': 11.45, 'duration': 7.03}, {'text': ""cable which I'm doing and then choose"", 'start': 14.61, 'duration': 7.829}, {'text': 'the option discharge you know and then', 'start': 18.48, 'duration': 7.11}, {'text': 'you should have download it to two files', 'start': 22.439, 'duration': 6.481}, {'text': 'I put it in this Web OS directory two', 'start': 25.59, 'duration': 6.2}, {'text': 'files that one webos doctor and web', 'start': 28.92, 'duration': 6.9}, {'text': 'installer jar um if you have this icon', 'start': 31.79, 'duration': 5.74}, {'text': 'that means you java its installed', 'start': 35.82, 'duration': 3.149}, {'text': 'otherwise you need to install java', 'start': 37.53, 'duration': 4.86}, {'text': 'offers go to java calm now a double', 'start': 38.969, 'duration': 5.671}, {'text': ""click on this and you'll come up to"", 'start': 42.39, 'duration': 6.239}, {'text': 'screen it will try to install some like', 'start': 44.64, 'duration': 5.79}, {'text': ""nova conde to say that's the first time"", 'start': 48.629, 'duration': 5.61}, {'text': 'you do it and then here i also show you', 'start': 50.43, 'duration': 8.429}, {'text': ""that i've downloaded the files these"", 'start': 54.239, 'duration': 6.901}, {'text': ""this staff I'll you should have the two"", 'start': 58.859, 'duration': 6.181}, {'text': 'ipk files and SRC source files you just', 'start': 61.14, 'duration': 5.97}, {'text': 'need the ipk so go back here and press', 'start': 65.04, 'duration': 9.329}, {'text': 'on a plus and then choose both well', 'start': 67.11, 'duration': 9.689}, {'text': ""we'll do one at a time select and then"", 'start': 74.369, 'duration': 7.89}, {'text': 'select again the second one and then', 'start': 76.799, 'duration': 10.11}, {'text': 'simply click on install so it should', 'start': 82.259, 'duration': 8.461}, {'text': 'install this is a cool app by the way', 'start': 86.909, 'duration': 6.871}, {'text': 'the webos quick install from precentral', 'start': 90.72, 'duration': 6.63}, {'text': 'yeah it allows you to install ipk ipk', 'start': 93.78, 'duration': 5.49}, {'text': ""files really easily so now it's"", 'start': 97.35, 'duration': 4.92}, {'text': ""installed so i'm going to close this and"", 'start': 99.27, 'duration': 7.08}, {'text': ""let's reboot the palm so to reboot it"", 'start': 102.27, 'duration': 6.75}, {'text': ""it's very simple press on the power"", 'start': 106.35, 'duration': 6.75}, {'text': 'button and then snap your little buzzer', 'start': 109.02, 'duration': 9.62}, {'text': 'thing three times oops', 'start': 113.1, 'duration': 10.35}, {'text': 'there you go no turn it off turn it off', 'start': 118.64, 'duration': 8.619}, {'text': 'and it should reboot automatically so', 'start': 123.45, 'duration': 5.88}, {'text': ""I'll be right back once it reboots and"", 'start': 127.259, 'duration': 6.87}, {'text': ""film is up I oh this is back so now i'm"", 'start': 129.33, 'duration': 7.65}, {'text': 'going to my phone reboot it so just go', 'start': 134.129, 'duration': 6.661}, {'text': 'to the launcher and if you scroll down', 'start': 136.98, 'duration': 7.11}, {'text': 'you should see a video rec test so press', 'start': 140.79, 'duration': 7.529}, {'text': 'on that and it should come up now turn', 'start': 144.09, 'duration': 8.67}, {'text': 'it on turn it on and then you can start', 'start': 148.319, 'duration': 7.291}, {'text': 'recording by pressing this button so now', 'start': 152.76, 'duration': 5.72}, {'text': ""it's recording and let's record myself"", 'start': 155.61, 'duration': 7.29}, {'text': 'so the bad thing about this this app is', 'start': 158.48, 'duration': 7.03}, {'text': ""that while it's still crude it's just"", 'start': 162.9, 'duration': 4.199}, {'text': ""beginning stages it's a great thing that"", 'start': 165.51, 'duration': 5.24}, {'text': 'we can actually even record videos um', 'start': 167.099, 'duration': 7.11}, {'text': ""but uh there's no preview you know kind"", 'start': 170.75, 'duration': 5.17}, {'text': ""of just have to point and shoot so I'm"", 'start': 174.209, 'duration': 6.06}, {'text': 'just going to point shoot myself here hi', 'start': 175.92, 'duration': 8.849}, {'text': ""and then I'll let me uh let me stop it"", 'start': 180.269, 'duration': 7.19}, {'text': 'oops and the LCD sometimes goes off and', 'start': 184.769, 'duration': 5.461}, {'text': 'automatically stopped anyway stopped and', 'start': 187.459, 'duration': 7.241}, {'text': 'turn it off and then we can actually', 'start': 190.23, 'duration': 7.92}, {'text': 'access it on our computer to play it', 'start': 194.7, 'duration': 6.119}, {'text': 'back you can download this thing called', 'start': 198.15, 'duration': 6.149}, {'text': ""smplayer actually don't use the install"", 'start': 200.819, 'duration': 5.161}, {'text': 'version just use the portable version', 'start': 204.299, 'duration': 4.5}, {'text': ""which is great works great I don't know"", 'start': 205.98, 'duration': 4.95}, {'text': 'why anyway and then when you connect it', 'start': 208.799, 'duration': 5.28}, {'text': ""choose a USB Drive now it's on USB mode"", 'start': 210.93, 'duration': 7.35}, {'text': ""and then let's go to my computer here"", 'start': 214.079, 'duration': 8.31}, {'text': 'and you will see palm pre right up here', 'start': 218.28, 'duration': 8.16}, {'text': ""and then you'll see there's some a bunch"", 'start': 222.389, 'duration': 6.811}, {'text': 'of videos created or just one the one I', 'start': 226.44, 'duration': 4.35}, {'text': ""just took it's going to be time span"", 'start': 229.2, 'duration': 8.969}, {'text': 'which is 435 which is a 435 no 438 about', 'start': 230.79, 'duration': 9.66}, {'text': 'the same so let me drag this out to my', 'start': 238.169, 'duration': 4.021}, {'text': 'desktop and then instead of playing with', 'start': 240.45, 'duration': 4.56}, {'text': 'the windows media player download the', 'start': 242.19, 'duration': 4.99}, {'text': 'portal SN portable and issue', 'start': 245.01, 'duration': 6.929}, {'text': 'yeah run run button and then at the sm', 'start': 247.18, 'duration': 8.46}, {'text': 'player open the file you just download', 'start': 251.939, 'duration': 11.801}, {'text': 'it choose this one 35 press ok and we', 'start': 255.64, 'duration': 16.23}, {'text': 'should see myself doing stuff see so I', 'start': 263.74, 'duration': 11.1}, {'text': 'just put it to you that it you know you', 'start': 271.87, 'duration': 9.32}, {'text': ""can do this anyway it's turned off"", 'start': 274.84, 'duration': 9.859}, {'text': 'absolutely play again to show you', 'start': 281.19, 'duration': 5.83}, {'text': ""where's that part I'm saying hi yeah"", 'start': 284.699, 'duration': 5.5}, {'text': ""there you go it's sort of a little bit"", 'start': 287.02, 'duration': 5.07}, {'text': 'fast kind of like time-lapse video and', 'start': 290.199, 'duration': 4.171}, {'text': ""it's kind of cool because just because I"", 'start': 292.09, 'duration': 3.93}, {'text': 'can take videos in case of an emergency', 'start': 294.37, 'duration': 6.15}, {'text': 'do you know soon this app will get', 'start': 296.02, 'duration': 7.23}, {'text': 'better but anyway thanks to a pre', 'start': 300.52, 'duration': 4.769}, {'text': 'central and the guy who made this appt', 'start': 303.25, 'duration': 5.88}, {'text': 'possible and it should be getting better', 'start': 305.289, 'duration': 7.581}, {'text': 'and better every day so that was how to', 'start': 309.13, 'duration': 7.5}, {'text': 'install video soundless video on your', 'start': 312.87, 'duration': 7.66}, {'text': 'palm pre hex or palm pre exact see you', 'start': 316.63, 'duration': 6.05}, {'text': 'later', 'start': 320.53, 'duration': 2.15}]"
XCJq,R2Ab_h023qE,[145],
YGJq,EwgpO6Qaz5Q,[15],
8AJq,NgBz2lFLeDI,"[0, 1, 115]",
EWJq,Nm8OYutl0co,"[5, 81, 108, 615]",
4pJq,NrP15cEUPFE,"[0, 1, 111]",
XlJq,n6yqRnDHtnk,"[598, 1245]",
MlJq,-zic7AFxR58,"[9, 10, 34]",
w0Jq,03XCehIH83Q,"[17, 19, 129]",
O1Jq,08ec94tihR8,"[0, 1, 42, 223, 323]",
6fJq,tEw0TWzHqQg,"[158, 1905]",
qhJq,jpLsFzBwTS4,"[1, 1868]",
VuJq,6LzeImNonA0,"[2, 7, 48, 841]",
WBJq,,"[5, 662]",
YkJq,,"[0, 63, 167]",
7AJq,oRCf9KqT_4g,[863],
utJq,LioOTPIlrxs,"[68, 72, 98]",
MfJq,Lkw_-uBJCd8,"[0, 1, 139]",
SWJq,LnCOF7dVYkM,[71],
kxJq,M-jgiJqQjgE,"[0, 1, 35, 134]",
4TJq,WuU0Lhyp4Tc,"[191, 299]",
kuJq,9otXIxLG4Mw,[8],
BxJq,m2EECperrxM,"[2, 17, 30, 55, 710]",
